Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Agricultural land (% of land area),AG.LND.AGRI.ZS,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15
Africa Eastern and Southern,AFE,Agricultural land (% of land area),AG.LND.AGRI.ZS,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45
Afghanistan,AFG,Agricultural land (% of land area),AG.LND.AGRI.ZS,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60
Africa Western and Central,AFW,Agricultural land (% of land area),AG.LND.AGRI.ZS,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40
Angola,AGO,Agricultural land (% of land area),AG.LND.AGRI.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,45_50,45_50,45_50,45_50
Albania,ALB,Agricultural land (% of land area),AG.LND.AGRI.ZS,40_45,40_45,40_45,40_45,40_45,45_50,45_50,45_50,45_50,45_50,40_45,40_45,40_45,40_45,40_45,35_40,35_40,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,35_40,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45
Andorra,AND,Agricultural land (% of land area),AG.LND.AGRI.ZS,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,50_55,50_55,50_55,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,40_45,40_45,40_45,40_45,40_45,35_40,40_45,35_40,40_45,40_45,40_45,40_45,40_45,40_45
Arab World,ARB,Agricultural land (% of land area),AG.LND.AGRI.ZS,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40,35_40
United Arab Emirates,ARE,Agricultural land (% of land area),AG.LND.AGRI.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10
Argentina,ARG,Agricultural land (% of land area),AG.LND.AGRI.ZS,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Armenia,ARM,Agricultural land (% of land area),AG.LND.AGRI.ZS,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,45_50,45_50,45_50,45_50,45_50,45_50,45_50,50_55,50_55,55_60,60_65,60_65,60_65,60_65,60_65,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60
American Samoa,ASM,Agricultural land (% of land area),AG.LND.AGRI.ZS,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,15_20,15_20,15_20,15_20,15_20,15_20,20_25,20_25,20_25,20_25,20_25,25_30,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25
Antigua and Barbuda,ATG,Agricultural land (% of land area),AG.LND.AGRI.ZS,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25
