Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10
Africa Eastern and Southern,AFE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,70_75,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65
Afghanistan,AFG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,55_60,60_65,60_65,60_65,65_70,65_70,70_75,70_75,70_75,75_80,70_75,65_70,70_75,70_75,70_75,70_75,55_60,45_50,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45,40_45
Africa Western and Central,AFW,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,40_45,40_45,40_45,40_45,40_45,40_45,40_45,45_50,45_50,45_50,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Angola,AGO,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,70_75,70_75,70_75,65_70,65_70,65_70,60_65,60_65,60_65,60_65,60_65,60_65,55_60,60_65,55_60,55_60,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Albania,ALB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,60_65,60_65,60_65,65_70,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70
Andorra,AND,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Arab World,ARB,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,30_35,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30
United Arab Emirates,ARE,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Argentina,ARG,Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,75_80,75_80,75_80,75_80,75_80,75_80,75_80,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75
