Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,low,low,low,low,low,Unknown,Unknown,Unknown,low,Unknown,low,low,low,low,low,low,low,low
Africa Eastern and Southern,AFE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,Unknown,low,low,low,low,low,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,low,low,low,low,low,low,low,low,low,low,Unknown
Africa Western and Central,AFW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,Unknown,low,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,Unknown,Unknown,Unknown
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,Unknown,low,low,Unknown,Unknown,low,Unknown,Unknown,Unknown,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,Unknown
Arab World,ARB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,Unknown,Unknown,low,Unknown,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown
United Arab Emirates,ARE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,below_average,low,Unknown,Unknown,low,Unknown,Unknown,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,Unknown,Unknown,low,low,Unknown,low,low,Unknown,Unknown,Unknown,low,low,low,low,Unknown,low,low,low,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,Unknown,low,low,Unknown,low,Unknown,low,Unknown,low,Unknown,Unknown,Unknown
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,Unknown
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,low,Unknown,Unknown,low,Unknown,Unknown,Unknown,low,low,Unknown,Unknown,low,Unknown,Unknown
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,Unknown,low,low,low,low,low,low,Unknown,Unknown,Unknown,Unknown,low,Unknown,low,low,low,low,low,low,Unknown
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,Unknown,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,Unknown
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,low,low,low,Unknown,low,low,low,low,Unknown,low,low,low,Unknown
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,Unknown,Unknown,Unknown,low,Unknown,Unknown,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,Unknown,Unknown,low,low,low,low
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,Unknown
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,Unknown,low,low,low,Unknown,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,Unknown,low,low,Unknown,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,low,low,low,low,low,low,low,low,low,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,Unknown,low,Unknown,low,low,low,low,low,low,low,low,low,Unknown,low,low,low,low,low,low,low,low,low,low,Unknown
