Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,average,average,below_average,below_average,below_average,below_average,below_average,below_average,average,average,average,average,average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,above_average,above_average,above_average,above_average,above_average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,above_average,average,average,above_average,above_average,above_average,above_average,above_average,above_average,average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
