Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low,very_low
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high,very_high
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
