Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Africa Eastern and Southern,AFE,Access to electricity (% of population),EG.ELC.ACCS.ZS,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,25_30,25_30,20_25,25_30,25_30,25_30,25_30,25_30,25_30,30_35,30_35,30_35,30_35,35_40,35_40,40_45,40_45,40_45
Afghanistan,AFG,Access to electricity (% of population),EG.ELC.ACCS.ZS,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,25_30,30_35,40_45,45_50,40_45,40_45,65_70,65_70,85_90,70_75,95_100,95_100,95_100,95_100,95_100
Africa Western and Central,AFW,Access to electricity (% of population),EG.ELC.ACCS.ZS,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,30_35,35_40,35_40,40_45,35_40,35_40,35_40,40_45,40_45,40_45,40_45,45_50,40_45,45_50,45_50,45_50,50_55,45_50,50_55,50_55,50_55
Angola,AGO,Access to electricity (% of population),EG.ELC.ACCS.ZS,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,25_30,25_30,25_30,25_30,30_35,35_40,35_40,30_35,30_35,30_35,35_40,35_40,30_35,40_45,40_45,40_45,45_50,45_50,45_50
Albania,ALB,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Andorra,AND,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Arab World,ARB,Access to electricity (% of population),EG.ELC.ACCS.ZS,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,75_80,80_85,80_85,80_85,80_85,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90
United Arab Emirates,ARE,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,90_95,90_95,90_95,90_95,90_95,90_95,90_95,90_95,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Armenia,ARM,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
American Samoa,ASM,Access to electricity (% of population),EG.ELC.ACCS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Antigua and Barbuda,ATG,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Australia,AUS,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Austria,AUT,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Azerbaijan,AZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Burundi,BDI,Access to electricity (% of population),EG.ELC.ACCS.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,10_15,10_15,10_15
Belgium,BEL,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Benin,BEN,Access to electricity (% of population),EG.ELC.ACCS.ZS,10_15,10_15,10_15,10_15,10_15,10_15,10_15,15_20,15_20,20_25,20_25,20_25,20_25,20_25,25_30,25_30,25_30,25_30,25_30,25_30,30_35,35_40,35_40,30_35,30_35,25_30,35_40,30_35,35_40,40_45,40_45
Burkina Faso,BFA,Access to electricity (% of population),EG.ELC.ACCS.ZS,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,15_20,15_20,15_20,15_20,15_20,15_20,10_15,15_20,15_20
Bangladesh,BGD,Access to electricity (% of population),EG.ELC.ACCS.ZS,10_15,10_15,5_10,10_15,15_20,15_20,20_25,20_25,25_30,25_30,30_35,35_40,35_40,40_45,40_45,40_45,50_55,45_50,50_55,55_60,55_60,55_60,65_70,60_65,60_65,70_75,75_80,85_90,90_95,90_95,90_95
Bulgaria,BGR,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Bahrain,BHR,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
"Bahamas, The",BHS,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Bosnia and Herzegovina,BIH,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Belarus,BLR,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Belize,BLZ,Access to electricity (% of population),EG.ELC.ACCS.ZS,65_70,65_70,70_75,70_75,70_75,70_75,75_80,75_80,75_80,75_80,75_80,80_85,80_85,80_85,80_85,80_85,90_95,85_90,85_90,85_90,85_90,90_95,90_95,90_95,90_95,90_95,90_95,90_95,90_95,90_95,90_95
Bermuda,BMU,Access to electricity (% of population),EG.ELC.ACCS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Bolivia,BOL,Access to electricity (% of population),EG.ELC.ACCS.ZS,60_65,60_65,60_65,60_65,60_65,60_65,70_75,65_70,70_75,70_75,65_70,65_70,60_65,70_75,75_80,65_70,75_80,80_85,80_85,85_90,85_90,85_90,90_95,85_90,90_95,90_95,90_95,90_95,90_95,95_100,95_100
Brazil,BRA,Access to electricity (% of population),EG.ELC.ACCS.ZS,85_90,90_95,85_90,85_90,90_95,90_95,90_95,90_95,90_95,90_95,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
