Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,10_15,15_20,10_15,10_15,10_15,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,50_55,50_55,50_55,50_55,45_50,45_50,45_50,45_50,40_45,45_50,45_50,45_50,40_45,40_45,40_45,35_40,30_35,30_35,35_40,35_40,30_35,30_35,30_35,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30
Angola,AGO,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,85_90,80_85,85_90,90_95,90_95,90_95,85_90,75_80,80_85,65_70,60_65,60_65,60_65,60_65,75_80,75_80,80_85,75_80,75_80,65_70,65_70,70_75,60_65,55_60,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Albania,ALB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,85_90,90_95,95_100,90_95,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Andorra,AND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
United Arab Emirates,ARE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Argentina,ARG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,35_40,30_35,30_35,35_40,40_45,40_45,30_35,35_40,35_40,25_30,30_35,40_45,40_45,35_40,30_35,30_35,35_40,25_30,25_30,25_30,25_30,30_35,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30
Armenia,ARM,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,15_20,15_20,30_35,65_70,60_65,30_35,25_30,20_25,20_25,20_25,20_25,15_20,30_35,35_40,30_35,25_30,30_35,30_35,30_35,35_40,35_40,30_35,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30,25_30
