Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Afghanistan,AFG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,5_10,5_10,5_10,10_15,15_20,15_20,15_20,25_30,25_30,20_25,15_20,20_25,15_20,20_25,20_25,20_25,20_25,20_25,25_30,20_25,20_25,30_35,30_35,30_35,30_35,30_35,35_40,35_40,35_40,35_40,35_40,40_45,35_40,35_40,40_45,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,50_55
Angola,AGO,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Albania,ALB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Andorra,AND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,25_30,25_30,25_30,30_35,30_35,30_35,35_40,40_45,40_45,35_40,35_40,40_45,40_45,40_45,40_45,40_45,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,45_50,50_55,50_55,55_60,55_60,55_60,55_60,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65
United Arab Emirates,ARE,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Argentina,ARG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,20_25,25_30,20_25,15_20,15_20,20_25,20_25,25_30,20_25,20_25,25_30,25_30,20_25,40_45,45_50,35_40,35_40,35_40,35_40,30_35,35_40,45_50,40_45,45_50,55_60,50_55,45_50,45_50,50_55,50_55,50_55,45_50,50_55,50_55,50_55,45_50,40_45,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Armenia,ARM,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,25_30,20_25,20_25,25_30,50_55,35_40,45_50,45_50,40_45,45_50,45_50,25_30,25_30,30_35,25_30,20_25,25_30,25_30,20_25,20_25,30_35,40_45,40_45,40_45,35_40,35_40,35_40,35_40,35_40,35_40
American Samoa,ASM,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
