Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,10_15,10_15,10_15,10_15,15_20,10_15,10_15,10_15,10_15,10_15,10_15
Africa Eastern and Southern,AFE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,10_15,15_20,10_15,10_15,10_15,10_15,10_15,10_15,10_15,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,15_20,20_25,20_25,20_25,20_25,20_25,25_30,25_30,25_30,25_30,25_30,25_30
Afghanistan,AFG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,65_70,65_70,65_70,65_70,65_70,65_70,70_75,70_75,70_75,70_75,70_75,70_75,75_80,70_75,70_75,70_75,70_75,70_75,65_70,85_90,85_90,80_85,85_90,75_80,85_90,85_90,85_90,85_90,85_90,85_90,85_90
Africa Western and Central,AFW,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,55_60,60_65,55_60,55_60,50_55,55_60,50_55,50_55,45_50,50_55,50_55,50_55,45_50,45_50,45_50,40_45,40_45,35_40,40_45,40_45,35_40,35_40,35_40,35_40,30_35,30_35,30_35,30_35,30_35,30_35,30_35
Angola,AGO,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85_90,80_85,85_90,90_95,90_95,90_95,85_90,75_80,80_85,65_70,60_65,60_65,60_65,60_65,75_80,75_80,80_85,75_80,75_80,65_70,65_70,70_75,60_65,55_60,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Albania,ALB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,85_90,90_95,95_100,90_95,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,90_95,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100
Andorra,AND,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,95_100,90_95,70_75,80_85,75_80,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90,85_90
Arab World,ARB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,5_10,5_10,5_10,5_10,5_10,5_10,5_10,5_10,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
United Arab Emirates,ARE,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5,0_5
Argentina,ARG,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,35_40,30_35,30_35,35_40,40_45,40_45,30_35,35_40,35_40,25_30,30_35,40_45,40_45,35_40,30_35,30_35,35_40,25_30,25_30,25_30,25_30,30_35,25_30,30_35,30_35,25_30,25_30,25_30,25_30,25_30,25_30
