Country Name,Country Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Africa Eastern and Southern,AFE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
Afghanistan,AFG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,average,average,above_average,above_average,above_average,above_average,above_average,high,high,high,above_average,above_average,high,above_average,above_average,above_average,average,below_average,below_average,below_average,below_average,below_average,average,average,average,average,average,average,average
Africa Western and Central,AFW,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
Angola,AGO,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,above_average,above_average,above_average,high,high,high,high,high
Albania,ALB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,average,average,average,average,average,average,average,average,average,average,average,above_average,above_average,high,high,high,high,high,high,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Andorra,AND,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,average,average,average,average,average,average,average,average,average,average,average
Arab World,ARB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,low,low,low,low,low,low,low,low,low,low,low,low,low,low
United Arab Emirates,ARE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Argentina,ARG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Armenia,ARM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
American Samoa,ASM,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low
Antigua and Barbuda,ATG,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low
Australia,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Austria,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Azerbaijan,AZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Burundi,BDI,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
Belgium,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Benin,BEN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,above_average,high,high,high,high,high,above_average,above_average,above_average,above_average,above_average
Burkina Faso,BFA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high
Bangladesh,BGD,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,high,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,average,average,average,average
Bulgaria,BGR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,average,below_average,below_average,below_average,below_average,average,average,average
Bahrain,BHR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
"Bahamas, The",BHS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Bosnia and Herzegovina,BIH,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,above_average,above_average,above_average,average,average,average,average,average,average,average,average,average,average,below_average,below_average,below_average,average,below_average,below_average,average,average,average,average,average,above_average,above_average,above_average
Belarus,BLR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
Belize,BLZ,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,average,average,average,above_average,average,above_average,above_average,above_average,average,above_average,above_average,high,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average
Bermuda,BMU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,low,low,low,low,low,low,low,low,low,low,low,low,low,low
Bolivia,BOL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,above_average,average,average,average,average,average,average,average,average,average,average,average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average,below_average
