Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Africa Eastern and Southern,AFE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Africa Western and Central,AFW,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Angola,AGO,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Albania,ALB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Andorra,AND,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
United Arab Emirates,ARE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,65_70,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,70_75,65_70,65_70,65_70,65_70,65_70
Argentina,ARG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Armenia,ARM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
American Samoa,ASM,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Antigua and Barbuda,ATG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Australia,AUS,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Austria,AUT,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Azerbaijan,AZE,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Burundi,BDI,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Belgium,BEL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Benin,BEN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Burkina Faso,BFA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Bangladesh,BGD,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Bulgaria,BGR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Bahrain,BHR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,55_60,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65,60_65
"Bahamas, The",BHS,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Bosnia and Herzegovina,BIH,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Belarus,BLR,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Belize,BLZ,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Bermuda,BMU,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bolivia,BOL,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Brazil,BRA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Barbados,BRB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
Brunei Darussalam,BRN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Bhutan,BTN,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55,50_55
Botswana,BWA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50,45_50
