Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.7781386938110638,2.569842113241869e-07,POS,True
Albania,ALB,-0.3355664758160095,0.06496493298827767,NEG,False
Algeria,DZA,0.00035154040364449024,0.9985024860079176,POS,False
Andorra,AND,,,NO,False
Angola,AGO,0.8945362920385989,1.1769322656208016e-11,POS,True
Argentina,ARG,0.9700773254827512,2.2455947796709005e-19,POS,True
Armenia,ARM,-0.11014691531890548,0.5552780955685076,NEG,False
Australia,AUS,,,NO,False
Austria,AUT,,,NO,False
Azerbaijan,AZE,-0.7868708432739556,1.5258641397274537e-07,NEG,True
"Bahamas, The",BHS,,,NO,False
Bahrain,BHR,0.4306697142785523,0.015581662740775706,POS,True
Bangladesh,BGD,0.9847188662829099,1.4459051036608634e-23,POS,True
Barbados,BRB,0.159459891900228,0.3915265764296051,POS,False
Belarus,BLR,,,NO,False
Belgium,BEL,,,NO,False
Belize,BLZ,0.47610521441687903,0.006781262506667475,POS,True
Benin,BEN,0.9534892358692857,1.2094210738615508e-16,POS,True
Bhutan,BTN,0.8888922069228742,2.4143406814731575e-11,POS,True
Bolivia,BOL,0.9452128106342913,1.2321991016863755e-15,POS,True
Bosnia and Herzegovina,BIH,-0.022891445111438338,0.902715019470452,NEG,False
Botswana,BWA,0.8847403871327498,3.997954759026033e-11,POS,True
Brazil,BRA,0.927450840862267,6.439974263854393e-14,POS,True
Brunei Darussalam,BRN,,,NO,False
Bulgaria,BGR,,,NO,False
Burkina Faso,BFA,0.9186074233367997,3.221726276679059e-13,POS,True
Burundi,BDI,0.9403381680101132,4.108852030355218e-15,POS,True
Cabo Verde,CPV,0.9172603671641659,4.0515675879878617e-13,POS,True
Cambodia,KHM,0.9848581237597892,1.2672840260504989e-23,POS,True
Cameroon,CMR,0.7868908338886392,1.5240024115489796e-07,POS,True
Canada,CAN,,,NO,False
Central African Republic,CAF,0.9504247495530792,2.9909354509612023e-16,POS,True
Chad,TCD,0.9104847097493796,1.2133047838141763e-12,POS,True
Chile,CHL,0.9091995595416914,1.4793300405125073e-12,POS,True
China,CHN,0.9943835307128777,7.651214411632342e-30,POS,True
Colombia,COL,0.7909806328983123,1.1839113465653467e-07,POS,True
Comoros,COM,0.9336239399552473,1.8464853497846862e-14,POS,True
"Congo, Dem. Rep.",COD,0.5516069309121042,0.0012970719808881946,POS,True
"Congo, Rep.",COG,0.1832366486964557,0.3237993665170165,POS,False
Costa Rica,CRI,0.9320046860013329,2.591482902785906e-14,POS,True
