Country_Name,Country_Code,R,P_Value,correlation,Significant
Albania,ALB,,,NO,False
Algeria,DZA,,,NO,False
Angola,AGO,,,NO,False
Argentina,ARG,0.17000534622280067,0.3605421805728989,POS,False
Armenia,ARM,,,NO,False
Australia,AUS,-0.6550167905104447,6.37362708877864e-05,NEG,True
Austria,AUT,0.5783035180830081,0.0006554313320504062,POS,True
Azerbaijan,AZE,,,NO,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,0.7392671264086418,2.029416173760915e-06,POS,True
Belarus,BLR,,,NO,False
Belgium,BEL,0.7793503319583914,2.39387151093625e-07,POS,True
Benin,BEN,,,NO,False
Bolivia,BOL,,,NO,False
Bosnia and Herzegovina,BIH,0.909538102876542,1.404459923015099e-12,POS,True
Botswana,BWA,-0.10592544419304636,0.5706249519999895,NEG,False
Brazil,BRA,0.7515097692907468,1.1022956625313365e-06,POS,True
Brunei Darussalam,BRN,,,NO,False
Bulgaria,BGR,0.24541756373686655,0.18327697526050488,POS,False
Cambodia,KHM,0.9414389145876723,3.159016395505657e-15,POS,True
Cameroon,CMR,,,NO,False
Canada,CAN,-0.5538718574857598,0.0012267832741850934,NEG,True
Chile,CHL,0.6793130182145196,2.6448626023987103e-05,POS,True
China,CHN,-0.31940375518539565,0.07986103511618187,NEG,False
Colombia,COL,0.4219760625898361,0.018051999120069457,POS,True
"Congo, Dem. Rep.",COD,,,NO,False
"Congo, Rep.",COG,,,NO,False
Costa Rica,CRI,,,NO,False
Cote d'Ivoire,CIV,,,NO,False
Croatia,HRV,0.4096779106676119,0.022093668593112046,POS,True
Cuba,CUB,,,NO,False
Cyprus,CYP,,,NO,False
Czech Republic,CZE,0.8730405528133812,1.5023369805239218e-10,POS,True
Denmark,DNK,0.8233493518174491,1.2905171105432673e-08,POS,True
Dominican Republic,DOM,0.5095926134100255,0.003409167620765553,POS,True
Ecuador,ECU,,,NO,False
"Egypt, Arab Rep.",EGY,,,NO,False
El Salvador,SLV,,,NO,False
Eritrea,ERI,,,NO,False
Estonia,EST,-0.437286808361581,0.01389603614793169,NEG,True
Ethiopia,ETH,,,NO,False
Finland,FIN,0.8528034552263296,1.1196352782345362e-09,POS,True
France,FRA,0.7957296985244678,8.768236607939257e-08,POS,True
Gabon,GAB,,,NO,False
Georgia,GEO,,,NO,False
Germany,DEU,0.9560345534055192,5.4361504868561534e-17,POS,True
Ghana,GHA,,,NO,False
Greece,GRC,0.3970488905198827,0.02699151209812379,POS,True
Guatemala,GTM,0.9464961201306057,8.811040917496648e-16,POS,True
Haiti,HTI,,,NO,False
Honduras,HND,0.6962928367549035,1.3605550240609775e-05,POS,True
Hungary,HUN,0.7891389543685644,1.3273912283666275e-07,POS,True
Iceland,ISL,,,NO,False
India,IND,0.769184640951157,4.2835471280276996e-07,POS,True
Indonesia,IDN,0.9503716663311002,3.036669044760417e-16,POS,True
"Iran, Islamic Rep.",IRN,0.04972264681626484,0.7905230331309727,POS,False
Iraq,IRQ,,,NO,False
Ireland,IRL,-0.4614092175917268,0.008982628920978975,NEG,True
Israel,ISR,-0.01965821843248277,0.9164040500430998,NEG,False
Italy,ITA,-0.22279342343121605,0.22831957946774464,NEG,False
Jamaica,JAM,,,NO,False
Japan,JPN,0.3152878252436775,0.0840445179370958,POS,False
Jordan,JOR,,,NO,False
Kazakhstan,KAZ,0.3984905069697558,0.026391132246992743,POS,True
Kenya,KEN,,,NO,False
"Korea, Dem. People's Rep.",PRK,0.8899912050711025,2.1055653616029895e-11,POS,True
"Korea, Rep.",KOR,0.8905223994079633,1.9697837983902183e-11,POS,True
Kuwait,KWT,,,NO,False
Kyrgyz Republic,KGZ,0.5915029202124453,0.00045748189993120777,POS,True
Latvia,LVA,-0.1726001800186183,0.3531481219048186,NEG,False
Lebanon,LBN,,,NO,False
Libya,LBY,,,NO,False
Lithuania,LTU,,,NO,False
Luxembourg,LUX,0.35259303774052986,0.051717604787594976,POS,False
Malaysia,MYS,0.937351224737338,8.183397055033802e-15,POS,True
Malta,MLT,0.10244223230344157,0.5834301177201173,POS,False
Mauritius,MUS,0.9649712659514156,2.134386078799899e-18,POS,True
Mexico,MEX,0.5841731964501504,0.0005596400198650516,POS,True
Moldova,MDA,0.8257222685935727,1.0780812374870556e-08,POS,True
Mongolia,MNG,-0.7083832296854526,8.241402504803892e-06,NEG,True
Montenegro,MNE,0.6741587364474663,3.208948136620147e-05,POS,True
Morocco,MAR,0.348357617226712,0.054793195556806465,POS,False
Mozambique,MOZ,-0.3105303688226498,0.08908708012488266,NEG,False
Myanmar,MMR,-0.12032076844417375,0.5190977832966341,NEG,False
Namibia,NAM,-0.2965491498491576,0.10524482700864272,NEG,False
Nepal,NPL,,,NO,False
Netherlands,NLD,-0.4944086676086179,0.0046960304062811835,NEG,True
New Zealand,NZL,0.7293949473519823,3.2417045613514464e-06,POS,True
Nicaragua,NIC,,,NO,False
Niger,NER,-0.8103595344698243,3.3025777136064453e-08,NEG,True
Nigeria,NGA,-0.33379402927799107,0.06648364703447322,NEG,False
North Macedonia,MKD,0.6934230442516707,1.5270870396483015e-05,POS,True
Norway,NOR,0.4797515000840103,0.006312473384203098,POS,True
Oman,OMN,,,NO,False
