Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.8481191276958628,1.7084596693800245e-09,POS,True
Albania,ALB,0.7852759367974357,1.6812726584123023e-07,POS,True
Algeria,DZA,0.8955672891523101,1.0276661560215816e-11,POS,True
Andorra,AND,,,NO,False
Angola,AGO,0.940735639434391,3.738924574911363e-15,POS,True
Argentina,ARG,0.9529278034206518,1.434051322429978e-16,POS,True
Armenia,ARM,-0.15858052440205964,0.394177516009438,NEG,False
Australia,AUS,,,NO,False
Austria,AUT,,,NO,False
Azerbaijan,AZE,-0.7416322165029596,1.8084416162508908e-06,NEG,True
"Bahamas, The",BHS,,,NO,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,0.9904657528054345,1.604663614438101e-26,POS,True
Barbados,BRB,0.3291019604451913,0.0706378470752192,POS,False
Belarus,BLR,-0.364318987097901,0.04391170230976304,NEG,True
Belgium,BEL,,,NO,False
Belize,BLZ,0.5005728988872269,0.004130685447923111,POS,True
Benin,BEN,0.9765113274314816,6.992441370923676e-21,POS,True
Bhutan,BTN,0.884846170877015,3.9478558973591824e-11,POS,True
Bolivia,BOL,0.16797874066588858,0.36638053582441416,POS,False
Bosnia and Herzegovina,BIH,0.7161110392917233,5.903490313894738e-06,POS,True
Botswana,BWA,0.8770557354787081,9.683831376281085e-11,POS,True
Brazil,BRA,0.926721517299643,7.409803965084493e-14,POS,True
Brunei Darussalam,BRN,,,NO,False
Bulgaria,BGR,-0.6410459857005019,0.0001021299041451128,NEG,True
Burkina Faso,BFA,0.9847945005524928,1.3461788610958127e-23,POS,True
Burundi,BDI,0.9112407643617793,1.0782389000610963e-12,POS,True
Cabo Verde,CPV,0.9590239281414886,1.9962710439603384e-17,POS,True
Cambodia,KHM,0.9715121062012245,1.1114415975452383e-19,POS,True
Cameroon,CMR,0.6712945948774699,3.5670981379499017e-05,POS,True
Canada,CAN,,,NO,False
Central African Republic,CAF,0.8778075352870793,8.904322035439312e-11,POS,True
Chad,TCD,-0.9549630216021822,7.6547567438572e-17,NEG,True
Chile,CHL,0.9482618430939113,5.478443170049855e-16,POS,True
China,CHN,0.9898818535953211,3.7851817459649104e-26,POS,True
Colombia,COL,0.8641074670718284,3.7927772725825514e-10,POS,True
Comoros,COM,0.9206069022352481,2.275852317057058e-13,POS,True
"Congo, Dem. Rep.",COD,0.6234384683850126,0.000179168289438237,POS,True
"Congo, Rep.",COG,0.32711692712058693,0.07245484929748396,POS,False
Costa Rica,CRI,0.9432590644334757,2.022278127009612e-15,POS,True
Cote d'Ivoire,CIV,0.710524053320823,7.5218395518273756e-06,POS,True
Croatia,HRV,0.09073998183086662,0.6273495007856842,POS,False
Cuba,CUB,0.15256268909797457,0.41259308355756297,POS,False
Cyprus,CYP,,,NO,False
Czech Republic,CZE,-0.804898480898234,4.800373945759485e-08,NEG,True
Denmark,DNK,,,NO,False
Djibouti,DJI,0.8589517402975941,6.286317847108062e-10,POS,True
Dominica,DMA,0.5837126914021287,0.0005666817584345185,POS,True
Dominican Republic,DOM,0.8411935942437084,3.1117928690341176e-09,POS,True
Ecuador,ECU,0.9697176979150305,2.664187493785827e-19,POS,True
"Egypt, Arab Rep.",EGY,0.9769684223133971,5.274010767657181e-21,POS,True
El Salvador,SLV,0.722401847921739,4.463312689659276e-06,POS,True
Equatorial Guinea,GNQ,0.744707398412173,1.5538274741822988e-06,POS,True
Eritrea,ERI,0.248610878068955,0.17746228879365858,POS,False
Estonia,EST,-0.2980804501578585,0.10337482763341042,NEG,False
Eswatini,SWZ,0.3481905263389941,0.05491742703311324,POS,False
Ethiopia,ETH,0.9459816583926329,1.0088894802342375e-15,POS,True
Fiji,FJI,0.8342922930739124,5.5019102512234305e-09,POS,True
Finland,FIN,,,NO,False
France,FRA,,,NO,False
Gabon,GAB,0.4326813908461881,0.015052098913255514,POS,True
"Gambia, The",GMB,0.719500148943977,5.082515078882226e-06,POS,True
Georgia,GEO,-0.17107231003303042,0.3574907683612683,NEG,False
Germany,DEU,,,NO,False
Ghana,GHA,0.9662799754929665,1.2391881613594835e-18,POS,True
Greece,GRC,-0.29174579760527763,0.1112756519256994,NEG,False
Grenada,GRD,0.5463632562532288,0.0014734459811673725,POS,True
Guatemala,GTM,0.9135497444380205,7.469927363954503e-13,POS,True
Guinea,GIN,0.8365070263718912,4.595455895518529e-09,POS,True
Guinea-Bissau,GNB,0.933348593452435,1.9572067505316612e-14,POS,True
Guyana,GUY,0.8233935087517787,1.2862362382547987e-08,POS,True
Haiti,HTI,0.9550745431649759,7.389765522028493e-17,POS,True
Honduras,HND,0.9320136892252296,2.5866634678366977e-14,POS,True
Hungary,HUN,,,NO,False
Iceland,ISL,,,NO,False
India,IND,0.9866258984677864,2.1182833151179994e-24,POS,True
Indonesia,IDN,0.9461123449841107,9.74893775000072e-16,POS,True
"Iran, Islamic Rep.",IRN,0.9760004638338794,9.521522608250356e-21,POS,True
Iraq,IRQ,0.7636551892164674,5.807533258230863e-07,POS,True
Ireland,IRL,,,NO,False
Israel,ISR,,,NO,False
Italy,ITA,,,NO,False
Jamaica,JAM,-0.34814317101432457,0.05495267595939538,NEG,False
Japan,JPN,,,NO,False
Jordan,JOR,0.9564503030778168,4.749216957009748e-17,POS,True
Kazakhstan,KAZ,0.5204074856777611,0.002689512290107035,POS,True
Kenya,KEN,0.9837542890656916,3.49085314677803e-23,POS,True
Kiribati,KIR,0.7736246655475943,3.3344065082964556e-07,POS,True
"Korea, Dem. People's Rep.",PRK,-0.8889370267032317,2.4009716222578493e-11,NEG,True
"Korea, Rep.",KOR,0.89019831085951,2.0516298961259187e-11,POS,True
Kuwait,KWT,,,NO,False
Kyrgyz Republic,KGZ,0.1011514202028534,0.5882074526021721,POS,False
Lao PDR,LAO,0.8360372145835306,4.775403447485546e-09,POS,True
Latvia,LVA,-0.49103206434260044,0.00503291175883777,NEG,True
Lesotho,LSO,0.961141391461617,9.375752776858726e-18,POS,True
Liberia,LBR,0.9556302623567268,6.191609415279631e-17,POS,True
Lithuania,LTU,,,NO,False
Luxembourg,LUX,,,NO,False
Madagascar,MDG,-0.908335693180084,1.6874271374248019e-12,NEG,True
Malawi,MWI,0.89189101122876,1.656306511308134e-11,POS,True
Malaysia,MYS,0.9310065924384308,3.1804651720843434e-14,POS,True
Maldives,MDV,0.9181325995943239,3.494360788207474e-13,POS,True
Mali,MLI,-0.9182677891486907,3.414640228467361e-13,NEG,True
Malta,MLT,,,NO,False
Marshall Islands,MHL,0.8124436180491704,2.8542796949515352e-08,POS,True
Mauritania,MRT,0.9400168142049138,4.432441068446417e-15,POS,True
Mauritius,MUS,0.962322412907919,6.038657085607199e-18,POS,True
Mexico,MEX,0.8698929456849871,2.098150867695302e-10,POS,True
"Micronesia, Fed. Sts.",FSM,0.5420441197114688,0.0016340786475813314,POS,True
Moldova,MDA,-0.46604662535440117,0.008230721652626385,NEG,True
Mongolia,MNG,0.9112659661794453,1.0739860988176167e-12,POS,True
Montenegro,MNE,0.9112638803019704,1.0743375003347919e-12,POS,True
Morocco,MAR,0.9779349960480178,2.849922797826309e-21,POS,True
Mozambique,MOZ,0.9586595411548269,2.26440316816331e-17,POS,True
Myanmar,MMR,0.8739732505135445,1.358447824495926e-10,POS,True
Namibia,NAM,0.9682986018596967,5.128816339073043e-19,POS,True
Nauru,NRU,-0.8427537988175632,2.725430381790071e-09,NEG,True
Nepal,NPL,0.9118538510357881,9.790763820599383e-13,POS,True
Netherlands,NLD,,,NO,False
New Zealand,NZL,,,NO,False
Nicaragua,NIC,0.8538350173245397,1.0181546255698462e-09,POS,True
Niger,NER,0.9651818945480349,1.9583023018185263e-18,POS,True
Nigeria,NGA,0.9039145083285245,3.2449727016710187e-12,POS,True
North Macedonia,MKD,-0.560497027715473,0.0010399254438885025,NEG,True
Norway,NOR,,,NO,False
Oman,OMN,0.9504226863885777,2.992700957007847e-16,POS,True
Pakistan,PAK,0.9491759743333867,4.255639026125007e-16,POS,True
Palau,PLW,0.5498407066398442,0.0013543000850665564,POS,True
Panama,PAN,0.9613163850124447,8.79167492331211e-18,POS,True
Papua New Guinea,PNG,0.9550865320287896,7.361790956540752e-17,POS,True
Paraguay,PRY,0.8790411045134163,7.749602164111803e-11,POS,True
Peru,PER,0.9542536191418365,9.557950597188213e-17,POS,True
Philippines,PHL,0.8366970136951193,4.5244724009154355e-09,POS,True
Poland,POL,,,NO,False
Portugal,PRT,,,NO,False
Qatar,QAT,0.952238524809777,1.762691557090246e-16,POS,True
Romania,ROU,-0.7696289147050428,4.178554959028357e-07,NEG,True
Russian Federation,RUS,-0.1985289194047349,0.284331144550893,NEG,False
Rwanda,RWA,0.8957965517868245,9.96945506348738e-12,POS,True
Samoa,WSM,0.9082433607318344,1.7112013543261112e-12,POS,True
Sao Tome and Principe,STP,0.025409952627634902,0.8920707597129208,POS,False
Senegal,SEN,-0.1772188945958381,0.34021373972330854,NEG,False
Serbia,SRB,-0.3212740172749604,0.0780138828634882,NEG,False
Seychelles,SYC,0.5291986090047341,0.0022052696462859867,POS,True
Sierra Leone,SLE,0.9235315416232265,1.3461530705749052e-13,POS,True
Singapore,SGP,,,NO,False
Slovak Republic,SVK,-0.8431968858451901,2.6240428468445538e-09,NEG,True
Slovenia,SVN,0.057577616048830896,0.7583410820193442,POS,False
Solomon Islands,SLB,0.9083893944693738,1.6737407349835462e-12,POS,True
Somalia,SOM,0.5438400426346736,0.0015655240910148929,POS,True
South Africa,ZAF,0.9450242050183479,1.293576162638143e-15,POS,True
Spain,ESP,,,NO,False
Sri Lanka,LKA,0.9325466156111015,2.315737900414055e-14,POS,True
St. Kitts and Nevis,KNA,,,NO,False
St. Lucia,LCA,0.3419023484636876,0.05975656483744551,POS,False
St. Vincent and the Grenadines,VCT,0.5188934690748835,0.002781579223678226,POS,True
Suriname,SUR,0.35003331314112557,0.053559555564429935,POS,False
Sweden,SWE,,,NO,False
Switzerland,CHE,,,NO,False
Syrian Arab Republic,SYR,0.15574859782496872,0.4027842468638554,POS,False
Tajikistan,TJK,0.17291974985279857,0.3522438255560599,POS,False
Tanzania,TZA,0.9887187098857819,1.82020377316107e-25,POS,True
Thailand,THA,0.9099926642623081,1.3094374584266794e-12,POS,True
Timor-Leste,TLS,0.9779938320810709,2.7427234721392253e-21,POS,True
Togo,TGO,0.747038121771376,1.383050408742474e-06,POS,True
Tonga,TON,0.7650919990092215,5.37013823650373e-07,POS,True
Trinidad and Tobago,TTO,0.8637673749114357,3.92378714599161e-10,POS,True
Tunisia,TUN,0.9490664271461289,4.387489718722781e-16,POS,True
Turkmenistan,TKM,0.951814588316252,1.9981920875323996e-16,POS,True
Tuvalu,TUV,,,NO,False
Uganda,UGA,-0.9668667520486386,9.643272625225836e-19,NEG,True
Ukraine,UKR,-0.7152642478537199,6.126512934644197e-06,NEG,True
United Arab Emirates,ARE,0.9467298905250777,8.28150638257099e-16,POS,True
United Kingdom,GBR,,,NO,False
United States,USA,,,NO,False
Uruguay,URY,0.7206339482791693,4.831870809179011e-06,POS,True
Uzbekistan,UZB,0.014397180466831895,0.9387271095916497,POS,False
Vanuatu,VUT,0.6708834902027667,3.621348585811879e-05,POS,True
"Venezuela, RB",VEN,0.6845355708850449,2.1658536546180185e-05,POS,True
Vietnam,VNM,0.9760824381808605,9.065409806717307e-21,POS,True
World,WLD,0.9839849679719463,2.841257162127352e-23,POS,True
"Yemen, Rep.",YEM,0.3565790538818703,0.04894961310082137,POS,True
Zambia,ZMB,0.8294356416352683,8.091751905135247e-09,POS,True
Zimbabwe,ZWE,0.511726242525531,0.003255338515617158,POS,True
