Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.0219986195303436,0.9064925478240231,POS,False
Albania,ALB,-0.6934572739626361,1.5249970303686449e-05,NEG,True
Algeria,DZA,-0.762517774624463,6.176530040639091e-07,NEG,True
Andorra,AND,-0.8949264811511356,1.118232478348406e-11,NEG,True
Angola,AGO,0.21374227184726693,0.2482685492898108,POS,False
Argentina,ARG,-0.5070684327800808,0.0035992056605169227,NEG,True
Armenia,ARM,0.29616576029264485,0.10571697036838448,POS,False
Australia,AUS,0.45053507914105173,0.010976274518533462,POS,True
Austria,AUT,0.059862008351719086,0.7490532646561651,POS,False
Azerbaijan,AZE,0.7885450805445715,1.376939844706551e-07,POS,True
"Bahamas, The",BHS,0.12902657326001765,0.4890830102305414,POS,False
Bahrain,BHR,-0.41294929972881805,0.020952090988051154,NEG,True
Bangladesh,BGD,-0.03767157994239497,0.8405435302693075,NEG,False
Barbados,BRB,0.026421054735681293,0.8878024941510241,POS,False
Belarus,BLR,0.0781157790567889,0.676169094273831,POS,False
Belgium,BEL,0.17029686437106653,0.3597069343420813,POS,False
Belize,BLZ,-0.06592079745401105,0.7245891489280757,NEG,False
Benin,BEN,0.8869616055323416,3.0599197860937903e-11,POS,True
Bhutan,BTN,-0.704618635217725,9.659067337167184e-06,NEG,True
Bolivia,BOL,-0.767311967894414,4.7530599948829875e-07,NEG,True
Bosnia and Herzegovina,BIH,0.6387950915825786,0.00010995167390504867,POS,True
Botswana,BWA,-0.5632247112915184,0.0009705541111198158,NEG,True
Brazil,BRA,-0.7609758149491644,6.710875398615329e-07,NEG,True
Brunei Darussalam,BRN,0.011301123456618628,0.9518863889430492,POS,False
Bulgaria,BGR,-0.2582940889146726,0.16062848408735594,NEG,False
Burkina Faso,BFA,-0.8563326382245043,8.064809469062029e-10,NEG,True
Burundi,BDI,0.2161304209208426,0.24289642222177044,POS,False
Cabo Verde,CPV,-0.7634449510534851,5.874186838093311e-07,NEG,True
Cambodia,KHM,-0.6118388466392093,0.00025479399259138887,NEG,True
Cameroon,CMR,0.47570056470727146,0.006835066520037146,POS,True
Canada,CAN,0.535948234316223,0.001886651641705617,POS,True
Central African Republic,CAF,0.21807351231957947,0.2385829816812509,POS,False
Chad,TCD,,,NO,False
Chile,CHL,0.7194337366238825,5.0975550142413415e-06,POS,True
China,CHN,0.5185223349399198,0.002804559107181152,POS,True
Colombia,COL,0.47879872329312745,0.006432220243019871,POS,True
Comoros,COM,-0.17769453484823208,0.33889828902314284,NEG,False
"Congo, Rep.",COG,-0.6066929350962225,0.0002965784233882081,NEG,True
