Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,,,NO,False
Albania,ALB,0.6131921462524385,0.0002447120066601223,POS,True
Algeria,DZA,0.9424574581742223,2.4656281546357416e-15,POS,True
Andorra,AND,,,NO,False
Angola,AGO,-0.9247946214369137,1.0660892308457552e-13,NEG,True
Argentina,ARG,-0.9694600836036064,3.007416234615006e-19,NEG,True
Armenia,ARM,0.33276903790726675,0.06737445895354491,POS,False
Australia,AUS,-0.4506263123831824,0.010958116542857083,NEG,True
Austria,AUT,0.3385622801507473,0.06245974778682615,POS,False
Azerbaijan,AZE,-0.8189979354189435,1.782597449993468e-08,NEG,True
"Bahamas, The",BHS,,,NO,False
Bahrain,BHR,0.975962958541877,9.73723890789723e-21,POS,True
Bangladesh,BGD,-0.9533393110206452,1.26597166142497e-16,NEG,True
Barbados,BRB,,,NO,False
Belarus,BLR,-0.6260611261723682,0.00016513464482802967,NEG,True
Belgium,BEL,-0.0007369344505011764,0.9968607660564374,NEG,False
Belize,BLZ,-0.474092215179417,0.007052524095908408,NEG,True
Benin,BEN,-0.9665648138339129,1.0977670708676543e-18,NEG,True
Bhutan,BTN,0.6424099582681951,9.763554916516143e-05,POS,True
Bolivia,BOL,-0.9345011361225419,1.531253065213826e-14,NEG,True
Bosnia and Herzegovina,BIH,0.13414571834852312,0.4718571880453664,POS,False
Botswana,BWA,-0.8806557465022757,6.446568655043912e-11,NEG,True
Brazil,BRA,-0.9554194815600996,6.623058563084972e-17,NEG,True
Brunei Darussalam,BRN,-0.9110236074150846,1.115534842255514e-12,NEG,True
Bulgaria,BGR,-0.6759762558949207,2.9987746752097613e-05,NEG,True
Burkina Faso,BFA,-0.9422745806950003,2.5786638713293845e-15,NEG,True
Burundi,BDI,0.678230582950154,2.7553191250516836e-05,POS,True
Cabo Verde,CPV,0.8597555780188051,5.817753513804788e-10,POS,True
Cambodia,KHM,-0.9765452659457645,6.848846768981482e-21,NEG,True
Cameroon,CMR,-0.7947147781178606,9.35545414777581e-08,NEG,True
Canada,CAN,-0.9241162480408212,1.2089753483548425e-13,NEG,True
Central African Republic,CAF,-0.9667443786895448,1.0164807405920815e-18,NEG,True
Chad,TCD,-0.9274588386747531,6.430023234994085e-14,NEG,True
Chile,CHL,0.9658306189492755,1.4970972109119055e-18,POS,True
China,CHN,0.9772427106121868,4.44073794422526e-21,POS,True
Colombia,COL,-0.8535854399407894,1.0418990660783079e-09,NEG,True
Comoros,COM,-0.9327568669998892,2.216279388110362e-14,NEG,True
"Congo, Dem. Rep.",COD,-0.5044588388727349,0.003805191810433701,NEG,True
"Congo, Rep.",COG,-0.45125009055552856,0.010834642894638261,NEG,True
