Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,-0.32009751201301395,0.07917196411018382,NEG,False
Albania,ALB,-0.23090841055321257,0.2113785888470219,NEG,False
Algeria,DZA,-0.1656742504533569,0.37308684213455484,NEG,False
Andorra,AND,0.16002456498499174,0.38982973196560017,POS,False
Angola,AGO,0.08062059340994679,0.6663715029483606,POS,False
Argentina,ARG,-0.1547310285070833,0.40590267032144434,NEG,False
Armenia,ARM,-0.5566230390145702,0.001145899459539911,NEG,True
Australia,AUS,-0.08011291203177104,0.6683530131710734,NEG,False
Austria,AUT,0.08484853756777422,0.6499562435911743,POS,False
Azerbaijan,AZE,-0.4206249964871899,0.018463578666878314,NEG,True
"Bahamas, The",BHS,-0.21835308720891358,0.23796659839925424,NEG,False
Bahrain,BHR,-0.4182893109021909,0.019193435925836094,NEG,True
Bangladesh,BGD,0.5395528853605288,0.0017334963911868374,POS,True
Barbados,BRB,-0.18364051818680002,0.32271555504599975,NEG,False
Belarus,BLR,-0.4196779211310856,0.018756699972595436,NEG,True
Belgium,BEL,0.39442161035166423,0.028114373051220484,POS,True
Belize,BLZ,-0.3705174425281925,0.04018361640581917,NEG,True
Benin,BEN,-0.010766593985218821,0.9541596722446132,NEG,False
Bhutan,BTN,-0.3049157470167821,0.09533139957048738,NEG,False
Bolivia,BOL,-0.1283185378006047,0.49149051460679877,NEG,False
Bosnia and Herzegovina,BIH,-0.6212016902605214,0.0001919648652787842,NEG,True
Botswana,BWA,-0.33874079519507116,0.06231289159891232,NEG,False
Brazil,BRA,-0.18179539682320434,0.3276853454896175,NEG,False
Brunei Darussalam,BRN,-0.38513755825212814,0.032391450069451544,NEG,True
Bulgaria,BGR,-0.3834940515756855,0.033200882274330525,NEG,True
Burkina Faso,BFA,0.01776317564420757,0.9244385755602714,POS,False
Burundi,BDI,0.042713566704219205,0.8195296290558761,POS,False
Cabo Verde,CPV,-0.5441855859003557,0.001552625363301543,NEG,True
Cambodia,KHM,0.3145133106311221,0.08485018219152513,POS,False
Cameroon,CMR,0.5863044674228515,0.0005280443320154642,POS,True
Canada,CAN,-0.12600043638333688,0.49941462181796226,NEG,False
Central African Republic,CAF,-0.003394241726425923,0.985541736471262,NEG,False
Chad,TCD,0.03835430866356744,0.8376914233345363,POS,False
Chile,CHL,-0.5755928541713548,0.0007043395230749482,NEG,True
China,CHN,-0.4204408202452786,0.018520282263640924,NEG,True
Colombia,COL,-0.20549883919067874,0.2674134838932941,NEG,False
Comoros,COM,0.16491657655688638,0.3753073761055159,POS,False
"Congo, Dem. Rep.",COD,0.4305694047933535,0.015608469752052575,POS,True
"Congo, Rep.",COG,0.3741598996852393,0.03811427007228199,POS,True
Costa Rica,CRI,-0.27304437853867913,0.13723147004024555,NEG,False
Cote d'Ivoire,CIV,0.5263994416023883,0.002350506766090604,POS,True
Croatia,HRV,-0.056569266252519054,0.7624514200821499,NEG,False
Cuba,CUB,0.2536122545310655,0.16861883275720566,POS,False
Cyprus,CYP,-0.1508067911201371,0.4180559623842684,NEG,False
Czech Republic,CZE,-0.3444821218313329,0.05773229622164588,NEG,False
Denmark,DNK,0.23706563174189588,0.19911351585451587,POS,False
Djibouti,DJI,-0.12198996803311052,0.5132740027295684,NEG,False
Dominica,DMA,-0.19209530417067372,0.3005425019924684,NEG,False
Dominican Republic,DOM,0.03322889883583649,0.8591497833308004,POS,False
Ecuador,ECU,-0.16073199708914881,0.3877098849791143,NEG,False
"Egypt, Arab Rep.",EGY,-0.028019823828975696,0.8810597822250028,NEG,False
El Salvador,SLV,-0.3828971936258386,0.03349886202762203,NEG,True
Equatorial Guinea,GNQ,-0.39312031071131415,0.028684480479963633,NEG,True
Eritrea,ERI,-0.0686093076365529,0.7138166443976148,NEG,False
Estonia,EST,0.07514323191351067,0.6878638616165703,POS,False
Eswatini,SWZ,-0.1514693581710918,0.4159898877171629,NEG,False
Ethiopia,ETH,0.34931187505283606,0.054087954855559374,POS,False
Fiji,FJI,-0.26149449415882453,0.15532475481132685,NEG,False
Finland,FIN,0.3828424540990115,0.033526298675162616,POS,True
France,FRA,0.3863120563294602,0.03182287156327907,POS,True
Gabon,GAB,0.31384078185934267,0.08555454553255956,POS,False
"Gambia, The",GMB,0.020872847558272865,0.9112585155966089,POS,False
Georgia,GEO,-0.7322879259492943,2.831908369881465e-06,NEG,True
Germany,DEU,0.35429103859446953,0.05052368783262585,POS,False
Ghana,GHA,0.22270929176118562,0.22849987297743718,POS,False
Greece,GRC,0.3461274506926389,0.056469712461563515,POS,False
Grenada,GRD,-0.3356819945990048,0.06486689994501142,NEG,False
Guatemala,GTM,-0.31568532191268983,0.08363331822183315,NEG,False
Guinea,GIN,0.48712302963858145,0.005448543611958413,POS,True
Guinea-Bissau,GNB,0.13459915411855888,0.4703468205697256,POS,False
Guyana,GUY,0.2767157237088897,0.13181648269318047,POS,False
Haiti,HTI,0.20112435196328132,0.2779530533034635,POS,False
Honduras,HND,-0.04296585021933619,0.8184812583656677,NEG,False
Hungary,HUN,-0.13064323031778485,0.48360859455139615,NEG,False
Iceland,ISL,0.232271769578829,0.20861925054063546,POS,False
India,IND,-0.12696660287105105,0.4961041275350963,NEG,False
Indonesia,IDN,-0.09484034957218396,0.6118072710214207,NEG,False
"Iran, Islamic Rep.",IRN,-0.33318560302641337,0.06701131036519249,NEG,False
Iraq,IRQ,-0.08517608211188366,0.6486910992248885,NEG,False
Ireland,IRL,-0.14924498677102954,0.422948697985977,NEG,False
Israel,ISR,-0.2977240770640769,0.10380777488293222,NEG,False
Italy,ITA,0.35115068536428834,0.052749229333987804,POS,False
Jamaica,JAM,0.062136100420049245,0.7398414437768173,POS,False
Japan,JPN,0.27842487549775385,0.1293497982878341,POS,False
Jordan,JOR,-0.23986403773278842,0.19370531475795777,NEG,False
Kazakhstan,KAZ,-0.38758161400773783,0.03121741382808011,NEG,True
Kenya,KEN,0.42230029940232056,0.017954366097180454,POS,True
Kiribati,KIR,0.2428754428388047,0.18800051496247616,POS,False
"Korea, Rep.",KOR,-0.5640656522874063,0.0009500013763587027,NEG,True
Kuwait,KWT,-0.5813160616663627,0.0006046046256870249,NEG,True
Kyrgyz Republic,KGZ,-0.22075025099260576,0.23272524732357028,NEG,False
Lao PDR,LAO,-0.319669539320065,0.07959650284138357,NEG,False
Latvia,LVA,-0.053891105859837356,0.7733989873618076,NEG,False
Lebanon,LBN,-0.7022215673707285,1.0672893951693502e-05,NEG,True
Lesotho,LSO,-0.5985966515672854,0.0003746632141988514,NEG,True
Liberia,LBR,-0.06862136880620466,0.7137684366480412,NEG,False
Libya,LBY,0.07686245803789726,0.6810911533634358,POS,False
Liechtenstein,LIE,0.6053773656029969,0.0003081901491399305,POS,True
Lithuania,LTU,0.11160305112273577,0.5500291113813232,POS,False
Luxembourg,LUX,-0.08341200491801097,0.6555161236948283,NEG,False
Madagascar,MDG,0.15615765773766271,0.40153449317179307,POS,False
Malawi,MWI,0.028437083072867082,0.8793013403466723,POS,False
Malaysia,MYS,-0.39199137990690724,0.02918667506409938,NEG,True
Maldives,MDV,-0.26806478961542,0.1448332417987693,NEG,False
