Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.9592825525529146,1.824189785826529e-17,POS,True
Albania,ALB,0.7721802359689426,3.619703385094992e-07,POS,True
Algeria,DZA,0.8010205318431378,6.216900754506287e-08,POS,True
Andorra,AND,0.5267611602529454,0.002331284337276524,POS,True
Angola,AGO,0.9041654297660981,3.1294149054653807e-12,POS,True
Argentina,ARG,0.7795523566493074,2.3656243737490572e-07,POS,True
Armenia,ARM,-0.102504919768212,0.5831985463163895,NEG,False
Australia,AUS,0.795099579441107,9.128708582174714e-08,POS,True
Austria,AUT,0.28812684002621164,0.11598730839729324,POS,False
Azerbaijan,AZE,-0.7049250966147727,9.53592767144865e-06,NEG,True
"Bahamas, The",BHS,0.20715258171971987,0.2634978053638472,POS,False
Bahrain,BHR,0.9728304206883623,5.63863962953888e-20,POS,True
Bangladesh,BGD,0.9600470306419796,1.3926696122563705e-17,POS,True
Barbados,BRB,0.3657774880090824,0.043010538225691244,POS,True
Belarus,BLR,-0.16817294762161786,0.3658186473095152,NEG,False
Belgium,BEL,-0.8395281577680963,3.5792781172797805e-09,NEG,True
Belize,BLZ,0.48209265930684725,0.006026270589221522,POS,True
Benin,BEN,0.9376450385466242,7.658778221201348e-15,POS,True
Bhutan,BTN,0.9241888628279529,1.1928740958524378e-13,POS,True
Bolivia,BOL,0.9888773233288015,1.483850188101996e-25,POS,True
Bosnia and Herzegovina,BIH,0.7193985157782942,5.105547570060503e-06,POS,True
Botswana,BWA,0.8196627395587092,1.6977030169520912e-08,POS,True
Brazil,BRA,0.8470700215139954,1.8744302625867117e-09,POS,True
Brunei Darussalam,BRN,0.8678949069439623,2.582217940497258e-10,POS,True
Bulgaria,BGR,-0.5918951971696041,0.00045251199339215484,NEG,True
Burkina Faso,BFA,0.9051649844098479,2.7058220564337945e-12,POS,True
Burundi,BDI,0.8303761669640704,7.516398402785548e-09,POS,True
Cabo Verde,CPV,0.9440633384435417,1.652736346529931e-15,POS,True
Cambodia,KHM,0.9832086636459543,5.616284196129641e-23,POS,True
Cameroon,CMR,0.5018881264481478,0.004017941526546131,POS,True
Canada,CAN,0.8287069468365121,8.56501479027305e-09,POS,True
Central African Republic,CAF,0.29365171421767255,0.1088525256455096,POS,False
Chad,TCD,0.8564118118430025,8.004875321695527e-10,POS,True
Chile,CHL,0.9592733708254604,1.8300554272608885e-17,POS,True
China,CHN,0.9459844958982557,1.008139822947763e-15,POS,True
Colombia,COL,0.8396429019931549,3.545108855238567e-09,POS,True
Comoros,COM,0.6950335618937178,1.4314997311625127e-05,POS,True
"Congo, Dem. Rep.",COD,0.6579110662316817,5.763179790990807e-05,POS,True
"Congo, Rep.",COG,0.6526220393576264,6.92180110073693e-05,POS,True
Costa Rica,CRI,0.9153537478142638,5.567482820302993e-13,POS,True
Cote d'Ivoire,CIV,0.8503360441760525,1.401268503177266e-09,POS,True
Croatia,HRV,0.29219991837294795,0.11069467096959577,POS,False
Cuba,CUB,0.12192238909058366,0.5135091556797311,POS,False
Cyprus,CYP,0.8076988621876385,3.9684956308906305e-08,POS,True
Czech Republic,CZE,-0.8011249085465746,6.174238322852332e-08,NEG,True
Denmark,DNK,-0.7600129979644329,7.065529162200838e-07,NEG,True
Djibouti,DJI,0.7335688169644954,2.6659613194690817e-06,POS,True
Dominica,DMA,0.6331898480231697,0.00013180108257123158,POS,True
Dominican Republic,DOM,0.8896597029704846,2.1946281803174766e-11,POS,True
Ecuador,ECU,0.974251670885891,2.610821133011074e-20,POS,True
"Egypt, Arab Rep.",EGY,0.9148914858140308,6.006732856584464e-13,POS,True
El Salvador,SLV,0.8204882800273184,1.5974468241021602e-08,POS,True
Equatorial Guinea,GNQ,0.9241685562477735,1.197356661520353e-13,POS,True
Eritrea,ERI,0.3035291451998037,0.09692341543737704,POS,False
Estonia,EST,-0.28230740071998217,0.12387286912543542,NEG,False
Eswatini,SWZ,0.3212444352700393,0.07804284063342054,POS,False
Ethiopia,ETH,0.9552626377359232,6.962032839156961e-17,POS,True
Fiji,FJI,0.866537693902486,2.967605169144608e-10,POS,True
Finland,FIN,-0.3866366388982397,0.03166717719485118,NEG,True
France,FRA,-0.6107156507531413,0.0002634397540760301,NEG,True
Gabon,GAB,0.3688169992904743,0.04118007612579476,POS,True
"Gambia, The",GMB,0.4079577080471171,0.02271419580385578,POS,True
Georgia,GEO,-0.005294070190328762,0.977450817244163,NEG,False
Germany,DEU,-0.8945907484579457,1.1685724517897264e-11,NEG,True
Ghana,GHA,0.948417259182457,5.249869590747496e-16,POS,True
Greece,GRC,0.3180170884490266,0.08125215921607436,POS,False
Grenada,GRD,0.4926671306720308,0.004867286321138948,POS,True
Guatemala,GTM,0.9477515777482376,6.295455898233471e-16,POS,True
Guinea,GIN,0.8311119460189458,7.0927495334982255e-09,POS,True
Guinea-Bissau,GNB,0.9119478032306151,9.646483186909056e-13,POS,True
Guyana,GUY,0.8280313226078251,9.026374247752527e-09,POS,True
Haiti,HTI,0.9354059502271439,1.2589357852441476e-14,POS,True
Honduras,HND,0.9105182291480911,1.2069996141016656e-12,POS,True
Hungary,HUN,-0.8186699452220254,1.8258994738348697e-08,NEG,True
Iceland,ISL,0.3651027806424613,0.043425562155552384,POS,True
India,IND,0.9905762197374236,1.3561258690384448e-26,POS,True
Indonesia,IDN,0.9359440442536654,1.1190356810059062e-14,POS,True
"Iran, Islamic Rep.",IRN,0.7560139066288223,8.728711653851385e-07,POS,True
Iraq,IRQ,0.5705641960341088,0.0008036243582271092,POS,True
Ireland,IRL,0.35452786350145793,0.05035892102617727,POS,False
Israel,ISR,0.6237266308468653,0.00017757615422756828,POS,True
Italy,ITA,-0.23421034812058347,0.2047384415702909,NEG,False
Jamaica,JAM,-0.06963177223856844,0.709733776333133,NEG,False
Japan,JPN,0.3780851401673207,0.03598121996778828,POS,True
Jordan,JOR,0.9465333037617801,8.724764625576199e-16,POS,True
Kazakhstan,KAZ,0.6137659822792668,0.0002405449620903675,POS,True
Kenya,KEN,0.9770594622224517,4.98255245750936e-21,POS,True
