Country_Name,Country_Code,R,P_Value,correlation,Significant
Albania,ALB,0.34790000407354194,0.05513395865444458,POS,False
Algeria,DZA,-0.5210767814261021,0.00264966015173432,NEG,True
Angola,AGO,-0.7794816172761967,2.375480369642072e-07,NEG,True
Argentina,ARG,-0.7690690742932699,4.311249455705625e-07,NEG,True
Armenia,ARM,-0.3292949975850821,0.0704630560609481,NEG,False
Australia,AUS,-0.9454209086764008,1.167619297708039e-15,NEG,True
Austria,AUT,-0.6736668204353283,3.268062130210472e-05,NEG,True
Azerbaijan,AZE,-0.17820557370580437,0.3374883887863867,NEG,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,-0.8357666510245209,4.881949338846573e-09,NEG,True
Belarus,BLR,-0.33144333020665495,0.068540383081321,NEG,False
Belgium,BEL,-0.00645170799947601,0.9725217390308915,NEG,False
Benin,BEN,0.443212991812064,0.012518477630038657,POS,True
Bolivia,BOL,-0.9263662133335959,7.929746973107322e-14,NEG,True
Bosnia and Herzegovina,BIH,-0.9042265013560816,3.101871055485975e-12,NEG,True
Botswana,BWA,,,NO,False
Brazil,BRA,-0.9146920790547595,6.205934028100462e-13,NEG,True
Brunei Darussalam,BRN,,,NO,False
Bulgaria,BGR,-0.641622719596046,0.0001002074841835149,NEG,True
Cambodia,KHM,0.8580945986582934,6.824045469440968e-10,POS,True
Cameroon,CMR,-0.701513935415516,1.099002142256416e-05,NEG,True
Canada,CAN,-0.7575369367033911,8.057343696034591e-07,NEG,True
Chile,CHL,-0.8979648708586836,7.455585468705601e-12,NEG,True
China,CHN,0.061413159501942594,0.7427661478445982,POS,False
Colombia,COL,-0.6624526306068808,4.910357451900499e-05,NEG,True
"Congo, Dem. Rep.",COD,-0.14597452690797133,0.4332963976374241,NEG,False
"Congo, Rep.",COG,-0.44709267630330995,0.011680145094940376,NEG,True
Costa Rica,CRI,-0.7421199912445706,1.7656817114100676e-06,NEG,True
Cote d'Ivoire,CIV,-0.9164024154338735,4.678887407607191e-13,NEG,True
Croatia,HRV,-0.6243366669144258,0.00017424707734754256,NEG,True
Cuba,CUB,0.0414094575527786,0.8249537234523858,POS,False
Cyprus,CYP,,,NO,False
Czech Republic,CZE,-0.04931636230834224,0.7921973256411848,NEG,False
Denmark,DNK,0.17027765739983788,0.35976192994292583,POS,False
Dominican Republic,DOM,-0.4072096807434553,0.02298846766529558,NEG,True
Ecuador,ECU,-0.8990324340954943,6.446338267167688e-12,NEG,True
"Egypt, Arab Rep.",EGY,-0.9619364029584845,6.983152781639235e-18,NEG,True
El Salvador,SLV,-0.9042660341646983,3.084161072693751e-12,NEG,True
Eritrea,ERI,,,NO,False
Estonia,EST,-0.39464747102423753,0.02801637028003288,NEG,True
Ethiopia,ETH,-0.16457777614229996,0.3763028036464012,NEG,False
Finland,FIN,-0.8362657698228481,4.6870689353698076e-09,NEG,True
France,FRA,0.3787202817892924,0.03564531394006634,POS,True
Gabon,GAB,-0.492088297483216,0.004925377902638999,NEG,True
Georgia,GEO,-0.8221772607367576,1.4090385393762345e-08,NEG,True
Germany,DEU,0.3855268246376878,0.032202099153444894,POS,True
Ghana,GHA,-0.9140025198537319,6.942871725358105e-13,NEG,True
Greece,GRC,-0.5623189255825216,0.0009931265115978218,NEG,True
Guatemala,GTM,-0.7496134088445111,1.2143277217684105e-06,NEG,True
Haiti,HTI,-0.9433114110074716,1.9960705060598398e-15,NEG,True
Honduras,HND,-0.9363851653462376,1.0152491578034997e-14,NEG,True
Hungary,HUN,-0.6618891924683024,5.009618520948986e-05,NEG,True
Iceland,ISL,-0.16043451823459498,0.3886004794627427,NEG,False
India,IND,-0.8022517345960648,5.730418722943019e-08,NEG,True
Indonesia,IDN,-0.8384104290851846,3.9283184132933204e-09,NEG,True
"Iran, Islamic Rep.",IRN,-0.6334206355758218,0.00013083027818764956,NEG,True
