Country_Name,Country_Code,R,P_Value,correlation,Significant
Albania,ALB,,,NO,False
Algeria,DZA,0.8493653300127413,1.5289134614003315e-09,POS,True
Angola,AGO,,,NO,False
Argentina,ARG,0.5454543830685731,0.001506053549572559,POS,True
Armenia,ARM,-0.3958872276298862,0.02748338280132599,NEG,True
Australia,AUS,0.7853512856015291,1.6736170555791326e-07,POS,True
Austria,AUT,0.5488218906825578,0.001388303425577946,POS,True
Azerbaijan,AZE,-0.5865286439766122,0.0005248141898022559,NEG,True
Bahrain,BHR,-0.07714115440405347,0.6799955320432242,NEG,False
Bangladesh,BGD,-0.56497866720107,0.0009281199732564624,NEG,True
Belarus,BLR,-0.8355742533955842,4.959037751900497e-09,NEG,True
Belgium,BEL,-0.7025624992701043,1.0523073222817826e-05,NEG,True
Benin,BEN,,,NO,False
Bolivia,BOL,0.9027884427141718,3.8137884405343925e-12,POS,True
Bosnia and Herzegovina,BIH,0.5955205431618367,0.00040878933130944787,POS,True
Botswana,BWA,,,NO,False
Brazil,BRA,0.909091829101828,1.5039184304182944e-12,POS,True
Brunei Darussalam,BRN,-0.674398357600303,3.180502079165312e-05,NEG,True
Bulgaria,BGR,0.7584431232734334,7.680540234085467e-07,POS,True
Cambodia,KHM,,,NO,False
Cameroon,CMR,0.6811934866380688,2.4624016915363712e-05,POS,True
Canada,CAN,0.9014166906009065,4.630890897308002e-12,POS,True
Chile,CHL,0.29080464414102,0.11248697172532379,POS,False
China,CHN,0.9506364147246388,2.8148565689703797e-16,POS,True
Colombia,COL,0.4785193529329825,0.006467696685154791,POS,True
"Congo, Dem. Rep.",COD,0.09446194116073826,0.613234831303783,POS,False
"Congo, Rep.",COG,0.4436228883195177,0.012427589282133854,POS,True
Costa Rica,CRI,,,NO,False
Cote d'Ivoire,CIV,0.8384061195720347,3.929722677227022e-09,POS,True
Croatia,HRV,0.46181508158071966,0.008914583825471311,POS,True
Cuba,CUB,0.18371296939810866,0.32252136459489644,POS,False
Cyprus,CYP,,,NO,False
Czech Republic,CZE,-0.7806158202241814,2.2218823502354895e-07,NEG,True
Denmark,DNK,0.27702250667742984,0.1313712042835242,POS,False
Dominican Republic,DOM,0.8003917445562524,6.479666955814308e-08,POS,True
Ecuador,ECU,0.895441322580575,1.0449153147194206e-11,POS,True
"Egypt, Arab Rep.",EGY,0.7644416134746685,5.564268779288291e-07,POS,True
El Salvador,SLV,,,NO,False
Eritrea,ERI,,,NO,False
Estonia,EST,0.2730201449332083,0.13726774444649417,POS,False
Ethiopia,ETH,,,NO,False
Finland,FIN,0.7986039708613865,7.283277271320074e-08,POS,True
France,FRA,-0.3150583305502678,0.08428262868923721,NEG,False
Gabon,GAB,0.6051107424255051,0.0003105919453103029,POS,True
Georgia,GEO,0.3700133386123218,0.04047698037273967,POS,True
Germany,DEU,-0.6059213955347688,0.00030334038583211526,NEG,True
Ghana,GHA,0.8461980112253664,2.0235319300503712e-09,POS,True
Greece,GRC,0.09843455311899252,0.5983181616214917,POS,False
Guatemala,GTM,,,NO,False
Haiti,HTI,,,NO,False
Honduras,HND,,,NO,False
Hungary,HUN,0.024867385012485897,0.8943623834677243,POS,False
Iceland,ISL,,,NO,False
India,IND,-0.23570626083743923,0.2017779926443589,NEG,False
Indonesia,IDN,0.12130106012245978,0.5156736667965631,POS,False
"Iran, Islamic Rep.",IRN,0.6762769695834336,2.965219550164896e-05,POS,True
Iraq,IRQ,0.14597017822170133,0.4333102484710033,POS,False
Ireland,IRL,0.605600976479127,0.00030618851591225827,POS,True
Israel,ISR,0.6343826934568829,0.0001268516938961988,POS,True
Italy,ITA,0.1500363218378384,0.4204656889974289,POS,False
Jamaica,JAM,,,NO,False
Japan,JPN,0.14746625302275662,0.42855949277579525,POS,False
Jordan,JOR,0.5365189663489285,0.0018616456862311879,POS,True
Kazakhstan,KAZ,0.4364192893936531,0.014107939251046567,POS,True
Kenya,KEN,,,NO,False
"Korea, Dem. People's Rep.",PRK,,,NO,False
"Korea, Rep.",KOR,0.9145765207566573,6.324152909335191e-13,POS,True
Kuwait,KWT,-0.35067625255494556,0.053092097887873516,NEG,False
Kyrgyz Republic,KGZ,0.34628909297196153,0.056346855855315854,POS,False
Latvia,LVA,-0.3441210464331803,0.058012326736119446,NEG,False
Lebanon,LBN,0.08826209858369993,0.6368188515148882,POS,False
Libya,LBY,0.8445520689973816,2.3350717021624867e-09,POS,True
Lithuania,LTU,-0.2126978481700955,0.2506425252802813,NEG,False
Luxembourg,LUX,0.02836363273384637,0.8796108390377119,POS,False
Malaysia,MYS,-0.07373408330124769,0.6934328214396225,NEG,False
Malta,MLT,,,NO,False
Mauritius,MUS,,,NO,False
Mexico,MEX,0.9538852635324697,1.0711172601875059e-16,POS,True
Moldova,MDA,-0.9115828692195093,1.0218164378096391e-12,NEG,True
Mongolia,MNG,,,NO,False
Montenegro,MNE,,,NO,False
Morocco,MAR,0.9428035640364522,2.2641768917744564e-15,POS,True
Mozambique,MOZ,0.9452260395567098,1.2279971070082748e-15,POS,True
Myanmar,MMR,-0.11629285946757188,0.5332827883557322,NEG,False
Namibia,NAM,,,NO,False
Nepal,NPL,,,NO,False
Netherlands,NLD,0.6183596197879574,0.00020939275731415234,POS,True
New Zealand,NZL,0.15016392816272203,0.4200660533712757,POS,False
Nicaragua,NIC,,,NO,False
Niger,NER,,,NO,False
Nigeria,NGA,0.729897651806371,3.166848711942447e-06,POS,True
North Macedonia,MKD,-0.6281766259599956,0.0001545366335973734,NEG,True
Norway,NOR,0.6586704688497431,5.611941477631556e-05,POS,True
Oman,OMN,0.8484819746003166,1.6542785664417451e-09,POS,True
Pakistan,PAK,-0.28818021134385496,0.11591676078227386,NEG,False
Panama,PAN,,,NO,False
Paraguay,PRY,,,NO,False
Peru,PER,0.9757185099478719,1.1258379198348572e-20,POS,True
Philippines,PHL,0.5362057583483015,0.0018753326142075815,POS,True
Poland,POL,-0.6434530629241715,9.431853651202257e-05,NEG,True
Portugal,PRT,0.5374129887796745,0.0018230542513459269,POS,True
Qatar,QAT,,,NO,False
Romania,ROU,0.8959378504986366,9.784367304853293e-12,POS,True
Russian Federation,RUS,0.23088391109965667,0.21142840138069693,POS,False
Senegal,SEN,-0.15890809200121853,0.3931888313396728,NEG,False
Serbia,SRB,0.5611146960329747,0.001023847620308585,POS,True
Singapore,SGP,0.7287054004879557,3.346991771500636e-06,POS,True
Slovak Republic,SVK,0.09393733685886678,0.6152162209517165,POS,False
Slovenia,SVN,0.3995390234787499,0.025961362445544565,POS,True
South Africa,ZAF,,,NO,False
Spain,ESP,0.656669064525146,6.018410230019013e-05,POS,True
