Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.8143580631108501,2.4923374068905695e-08,POS,True
Albania,ALB,0.34790000407354194,0.05513395865444458,POS,False
Algeria,DZA,-0.46778187434173535,0.007963425180196191,NEG,True
Andorra,AND,-0.21287595103243365,0.25023663960969234,NEG,False
Angola,AGO,-0.7794816172761962,2.3754803696421334e-07,NEG,True
Antigua and Barbuda,ATG,0.0796669939260863,0.6700952656897736,POS,False
Argentina,ARG,-0.7073995884221828,8.592410775523761e-06,NEG,True
Armenia,ARM,-0.32952465639720024,0.07025554273236537,NEG,False
Australia,AUS,0.24114907383031375,0.19125640135812366,POS,False
Austria,AUT,-0.5564893692046126,0.001149718683338484,NEG,True
Azerbaijan,AZE,-0.20537323287458606,0.2677124302973289,NEG,False
"Bahamas, The",BHS,,,NO,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,-0.8202078673812456,1.6308751541724432e-08,NEG,True
Barbados,BRB,,,NO,False
Belarus,BLR,-0.27010891259567243,0.1416765941513565,NEG,False
Belgium,BEL,-0.9169831579593314,4.245188523817138e-13,NEG,True
Belize,BLZ,0.3602171443321567,0.046527241090148434,POS,True
Benin,BEN,0.6154372244066726,0.0002287653045463234,POS,True
Bhutan,BTN,0.36956664570499875,0.04073836835384089,POS,True
Bolivia,BOL,-0.9153824396133434,5.541224314916594e-13,NEG,True
Bosnia and Herzegovina,BIH,-0.9042265013560816,3.101871055485975e-12,NEG,True
Botswana,BWA,0.6656372221322648,4.3817419349560764e-05,POS,True
Brazil,BRA,-0.9190053841456578,3.008535888796107e-13,NEG,True
Brunei Darussalam,BRN,0.6331445634982664,0.00013199232294649807,POS,True
Bulgaria,BGR,-0.652716449866394,6.899415932348305e-05,NEG,True
Burkina Faso,BFA,-0.543937219193059,0.0015618872010558329,NEG,True
Burundi,BDI,-0.8958419607506646,9.909623938633358e-12,NEG,True
Cabo Verde,CPV,0.5894758381451582,0.00048393951035150733,POS,True
Cambodia,KHM,0.8646944597731668,3.57609565259768e-10,POS,True
Cameroon,CMR,-0.7110990488100523,7.338506658018079e-06,NEG,True
Canada,CAN,0.12815074635222867,0.49206193101270923,POS,False
Central African Republic,CAF,0.7554499592685,8.98994724971388e-07,POS,True
Chad,TCD,,,NO,False
Chile,CHL,-0.8045643825908075,4.90961442319974e-08,NEG,True
China,CHN,0.62934086134461,0.00014896632954049284,POS,True
Colombia,COL,-0.5500892008583462,0.00134611763267876,NEG,True
