Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,-0.8024369466779422,5.6603293687868394e-08,NEG,True
Albania,ALB,-0.8021567810953529,5.766658893567628e-08,NEG,True
Algeria,DZA,-0.7725572600776875,3.5431645585450125e-07,NEG,True
Andorra,AND,0.2589350700254633,0.15955600686222307,POS,False
Angola,AGO,-0.9568678789497437,4.1411110725490724e-17,NEG,True
Antigua and Barbuda,ATG,0.21734320078862263,0.24019814262307956,POS,False
Argentina,ARG,-0.35624928471474826,0.04917404768564038,NEG,True
Armenia,ARM,-0.5983602501898583,0.0003771934304054835,NEG,True
Australia,AUS,0.047260593191903025,0.8006828982957761,POS,False
Austria,AUT,-0.19146802549166417,0.3021537013384696,NEG,False
Azerbaijan,AZE,-0.7595412710091786,7.245444124821573e-07,NEG,True
"Bahamas, The",BHS,0.22383721174152924,0.2260907283222315,POS,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,-0.9681033843590399,5.599301868707321e-19,NEG,True
Barbados,BRB,-0.25931343837472964,0.15892534103382952,NEG,False
Belarus,BLR,-0.714807046519285,6.250070234199162e-06,NEG,True
Belgium,BEL,-0.9430691275137748,2.120074471193977e-15,NEG,True
Belize,BLZ,-0.054527236384879524,0.77079470883338,NEG,False
Benin,BEN,-0.9187475679620665,3.1451044701611966e-13,NEG,True
Bhutan,BTN,-0.982211596883459,1.2880814591145066e-22,NEG,True
Bolivia,BOL,-0.9609442953889638,1.0076646518351424e-17,NEG,True
Bosnia and Herzegovina,BIH,-0.4276290739539659,0.01641149046182068,NEG,True
Botswana,BWA,-0.6937551258437255,1.506919229832336e-05,NEG,True
Brazil,BRA,-0.42938090135912754,0.01592902362690659,NEG,True
Brunei Darussalam,BRN,-0.3965518733732572,0.027201070810548,NEG,True
Bulgaria,BGR,-0.7838217264319964,1.835432547510753e-07,NEG,True
Burkina Faso,BFA,-0.9430293455000064,2.1411054436569346e-15,NEG,True
Burundi,BDI,-0.9867940174421789,1.7651691086503315e-24,NEG,True
Cabo Verde,CPV,-0.9429603421924125,2.1780438472093228e-15,NEG,True
Cambodia,KHM,-0.9291585028582068,4.610233323444149e-14,NEG,True
Cameroon,CMR,-0.4890921077019725,0.005235655342444023,NEG,True
Canada,CAN,0.33710660001887033,0.06366740979023994,POS,False
Central African Republic,CAF,-0.8951101855483571,1.091543216464301e-11,NEG,True
Chad,TCD,-0.880737006827821,6.386672077130825e-11,NEG,True
Chile,CHL,-0.8973630198146354,8.087016896751489e-12,NEG,True
China,CHN,-0.9624519015280535,5.749393550479717e-18,NEG,True
Colombia,COL,-0.1665280952983879,0.37059371587821627,NEG,False
Comoros,COM,0.17200564662331302,0.354834186667545,POS,False
"Congo, Dem. Rep.",COD,-0.8400182725210863,3.435411806795182e-09,NEG,True
"Congo, Rep.",COG,-0.4905086690975096,0.005086938222825004,NEG,True
Costa Rica,CRI,0.05973213456616364,0.7495803920953351,POS,False
Cote d'Ivoire,CIV,-0.6502543389560037,7.504875903378525e-05,NEG,True
Croatia,HRV,-0.8358713813965037,4.840450950300199e-09,NEG,True
Cuba,CUB,-0.34088714412982063,0.060568282219220705,NEG,False
Cyprus,CYP,0.4149778526967205,0.020268981086779388,POS,True
Czech Republic,CZE,-0.9160794873164606,4.937439435580598e-13,NEG,True
Denmark,DNK,-0.946608610241138,8.552428229130284e-16,NEG,True
Djibouti,DJI,0.015537281435557382,0.9338851071152399,POS,False
Dominica,DMA,-0.5717423928772534,0.0007793217136703187,NEG,True
Dominican Republic,DOM,-0.9430152658173462,2.148594977701473e-15,NEG,True
Ecuador,ECU,-0.832347746954557,6.43022384014293e-09,NEG,True
"Egypt, Arab Rep.",EGY,-0.9726435208207468,6.220513126633277e-20,NEG,True
El Salvador,SLV,-0.9128970894090493,8.295027900542274e-13,NEG,True
Equatorial Guinea,GNQ,-0.9345856776149051,1.503669471299395e-14,NEG,True
Eritrea,ERI,-0.7991413094038641,7.032650842667994e-08,NEG,True
Estonia,EST,-0.6754979839691851,3.052846009292689e-05,NEG,True
Eswatini,SWZ,-0.6056899467550059,0.00030539531419873216,NEG,True
Ethiopia,ETH,-0.9829854496054697,6.79192622436792e-23,NEG,True
Fiji,FJI,-0.83687543994893,4.458726939739568e-09,NEG,True
Finland,FIN,-0.7119596614061552,7.071647361543978e-06,NEG,True
France,FRA,-0.912563804470724,8.748160042347274e-13,NEG,True
Gabon,GAB,-0.1917547447275379,0.30141657326903215,NEG,False
"Gambia, The",GMB,-0.8736755455404919,1.4029318709862014e-10,NEG,True
Georgia,GEO,-0.7920960248191431,1.104057412850407e-07,NEG,True
Germany,DEU,-0.9424232654485769,2.4864068476260307e-15,NEG,True
Ghana,GHA,-0.9736359196932559,3.6634530037329495e-20,NEG,True
Greece,GRC,-0.7723174142634188,3.5916823635999166e-07,NEG,True
Grenada,GRD,0.4264115472751464,0.016753915159027993,POS,True
Guatemala,GTM,-0.568496661213315,0.0008478829299070022,NEG,True
Guinea,GIN,-0.9827533678947635,8.254049315896163e-23,NEG,True
Guinea-Bissau,GNB,-0.864617158551424,3.6039632877631166e-10,NEG,True
Guyana,GUY,-0.9236903420094422,1.3075374653422866e-13,NEG,True
Haiti,HTI,-0.75712465722296,8.234278976596794e-07,NEG,True
Honduras,HND,-0.8490822383210478,1.568104171252567e-09,NEG,True
Hungary,HUN,-0.951884420010351,1.9574924732915066e-16,NEG,True
Iceland,ISL,-0.06355763969238747,0.7341009290577043,NEG,False
India,IND,-0.9950217950135498,1.3360445977848357e-30,NEG,True
Indonesia,IDN,-0.9948787128230574,2.0131207607960697e-30,NEG,True
"Iran, Islamic Rep.",IRN,-0.14863601287243924,0.4248650276621487,NEG,False
Iraq,IRQ,-0.040492528226818224,0.828772207527003,NEG,False
Ireland,IRL,-0.134038025385607,0.47221627856284304,NEG,False
Israel,ISR,-0.03345664023981849,0.858194095358128,NEG,False
Italy,ITA,-0.7876179973382975,1.4576756893164776e-07,NEG,True
Jamaica,JAM,-0.7011539688920686,1.115458325414468e-05,NEG,True
Japan,JPN,-0.2871763509084739,0.11724904816222331,NEG,False
Jordan,JOR,0.5931714631757404,0.00043667069325810913,POS,True
Kazakhstan,KAZ,-0.6770843878409973,2.876786721981512e-05,NEG,True
Kenya,KEN,-0.905270200187669,2.6644643509054084e-12,NEG,True
Kiribati,KIR,0.6753963630703822,3.0644470492114866e-05,POS,True
"Korea, Dem. People's Rep.",PRK,-0.8762218841041306,1.0621727269760477e-10,NEG,True
"Korea, Rep.",KOR,0.7163738978167894,5.835769640203083e-06,POS,True
Kuwait,KWT,-0.47873019388551574,0.006440907220991199,NEG,True
Kyrgyz Republic,KGZ,-0.9012675811536878,4.728839672602959e-12,NEG,True
Lao PDR,LAO,-0.8815542818024313,5.812164321366397e-11,NEG,True
