Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,-0.8146252202582867,2.4453191188786583e-08,NEG,True
Albania,ALB,-0.7547012684118668,9.34775110283906e-07,NEG,True
Algeria,DZA,-0.9532822159574177,1.2881453698415936e-16,NEG,True
Andorra,AND,0.4148632660910759,0.0203070712512387,POS,True
Angola,AGO,-0.9415966548127798,3.04096009408631e-15,NEG,True
Antigua and Barbuda,ATG,0.6085908673815991,0.0002805095360600652,POS,True
Argentina,ARG,-0.9589470115349691,2.0502851457523757e-17,NEG,True
Armenia,ARM,-0.4903142885673544,0.005107128739361428,NEG,True
Australia,AUS,-0.24055366606286005,0.19238838270434142,NEG,False
Austria,AUT,0.4951560987548099,0.0046241299232593494,POS,True
Azerbaijan,AZE,0.2595489959675438,0.15853361624180906,POS,False
"Bahamas, The",BHS,-0.2473726116857772,0.17970139041642186,NEG,False
Bahrain,BHR,-0.8754092590616178,1.1615694303124535e-10,NEG,True
Bangladesh,BGD,-0.9946059890040624,4.264266044154278e-30,NEG,True
Barbados,BRB,0.34095082149079975,0.06051711532399268,POS,False
Belarus,BLR,0.4952351878169115,0.004616577306953762,POS,True
Belgium,BEL,0.8116306558655609,3.0220594792567054e-08,POS,True
Belize,BLZ,0.34334262622890455,0.05861966271299422,POS,False
Benin,BEN,-0.9884983941132909,2.4060719790777034e-25,NEG,True
Bhutan,BTN,-0.8686664587758393,2.384253657343895e-10,NEG,True
Bolivia,BOL,-0.9232606289966074,1.4144774876629756e-13,NEG,True
Bosnia and Herzegovina,BIH,-0.6364937828593825,0.00011849697720473652,NEG,True
Botswana,BWA,-0.8834132879828019,4.678374524893316e-11,NEG,True
Brazil,BRA,-0.9408757032763575,3.616102351303093e-15,NEG,True
Brunei Darussalam,BRN,-0.8812519318825932,6.018901100283235e-11,NEG,True
Bulgaria,BGR,0.7534034955624219,9.99878774314451e-07,POS,True
Burkina Faso,BFA,-0.949434792913619,3.958588879928656e-16,NEG,True
Burundi,BDI,-0.8400425928221122,3.428413274595326e-09,NEG,True
Cabo Verde,CPV,-0.9740670159006758,2.892442795572097e-20,NEG,True
Cambodia,KHM,-0.9412269721877045,3.3243360138281466e-15,NEG,True
Cameroon,CMR,-0.7728325819209267,3.488207654574965e-07,NEG,True
Canada,CAN,-0.9712865628217748,1.2442865260441983e-19,NEG,True
Central African Republic,CAF,-0.8938310664074159,1.2903034652458587e-11,NEG,True
