Country_Name,Country_Code,R,P_Value,correlation,Significant
Afghanistan,AFG,0.8146252202582868,2.4453191188786384e-08,POS,True
Albania,ALB,0.7547012684118668,9.34775110283906e-07,POS,True
Algeria,DZA,0.9532822159574177,1.2881453698415936e-16,POS,True
Andorra,AND,-0.4148632660910758,0.0203070712512387,NEG,True
Angola,AGO,0.9415966548127797,3.0409600940863918e-15,POS,True
Antigua and Barbuda,ATG,-0.608590867381599,0.0002805095360600664,NEG,True
Argentina,ARG,0.958947011534969,2.0502851457524552e-17,POS,True
Armenia,ARM,0.4903142885673551,0.005107128739361358,POS,True
Australia,AUS,0.2405536660628587,0.192388382704344,POS,False
Austria,AUT,-0.4951560987548099,0.0046241299232593494,NEG,True
Azerbaijan,AZE,-0.2595489959675438,0.15853361624180906,NEG,False
"Bahamas, The",BHS,0.2473726116857774,0.1797013904164218,POS,False
Bahrain,BHR,0.8754092590616168,1.1615694303125808e-10,POS,True
Bangladesh,BGD,0.9946059890040624,4.264266044154278e-30,POS,True
Barbados,BRB,-0.34095082149079947,0.060517115323992836,NEG,False
Belarus,BLR,-0.49523518781691167,0.004616577306953742,NEG,True
Belgium,BEL,-0.8116306558655614,3.022059479256611e-08,NEG,True
Belize,BLZ,-0.34334262622890455,0.05861966271299422,NEG,False
Benin,BEN,0.9884983941132909,2.4060719790777034e-25,POS,True
Bhutan,BTN,0.8686664587758393,2.384253657343895e-10,POS,True
Bolivia,BOL,0.9232606289966075,1.414477487662947e-13,POS,True
Bosnia and Herzegovina,BIH,0.6364937828593825,0.00011849697720473652,POS,True
Botswana,BWA,0.883413287982802,4.6783745248932557e-11,POS,True
Brazil,BRA,0.9408757032763577,3.616102351302901e-15,POS,True
Brunei Darussalam,BRN,0.8812519318825932,6.018901100283235e-11,POS,True
Bulgaria,BGR,-0.7534034955624219,9.99878774314451e-07,NEG,True
Burkina Faso,BFA,0.9494347929136187,3.9585888799290247e-16,POS,True
Burundi,BDI,0.8400425928221124,3.42841327459529e-09,POS,True
Cabo Verde,CPV,0.9740670159006756,2.892442795572452e-20,POS,True
Cambodia,KHM,0.9412269721877042,3.3243360138283237e-15,POS,True
Cameroon,CMR,0.7728325819209267,3.488207654574965e-07,POS,True
Canada,CAN,0.971286562821775,1.2442865260441295e-19,POS,True
Central African Republic,CAF,0.893831066407416,1.29030346524584e-11,POS,True
Chad,TCD,0.8525888324680071,1.1418849854108153e-09,POS,True
Chile,CHL,0.9045057606734525,2.9787545734548983e-12,POS,True
China,CHN,0.9809981686771234,3.327641448145521e-22,POS,True
Colombia,COL,0.8640653379807606,3.8087846062643613e-10,POS,True
Comoros,COM,0.6354251709329133,0.00012266261529049366,POS,True
"Congo, Dem. Rep.",COD,0.506492255512417,0.0036438404014281136,POS,True
"Congo, Rep.",COG,0.45422458339073246,0.01026183656290482,POS,True
Costa Rica,CRI,0.9750136531586873,1.697146453003813e-20,POS,True
Cote d'Ivoire,CIV,0.9375589030390481,7.809252395410424e-15,POS,True
Croatia,HRV,0.12159358167749557,0.5146540570447448,POS,False
Cuba,CUB,0.13266303131729326,0.4768135539669019,POS,False
Cyprus,CYP,0.18357727783500197,0.32288511671954795,POS,False
Czech Republic,CZE,0.7324008867945854,2.8169057612499883e-06,POS,True
Denmark,DNK,-0.9214698604530436,1.9533211594364714e-13,NEG,True
Djibouti,DJI,0.8477366905798935,1.7673288840637416e-09,POS,True
Dominica,DMA,0.5356613753921565,0.0018993299032619524,POS,True
Dominican Republic,DOM,0.9148937758626066,6.004479929716931e-13,POS,True
Ecuador,ECU,0.9232662019896317,1.4130402086682098e-13,POS,True
"Egypt, Arab Rep.",EGY,-0.32560401955821455,0.07386385922213015,NEG,False
El Salvador,SLV,0.8433740388785023,2.584485867662818e-09,POS,True
Equatorial Guinea,GNQ,0.864412971505806,3.678539128155713e-10,POS,True
Eritrea,ERI,0.3124443348382202,0.08703137961427233,POS,False
Estonia,EST,0.5572513332747998,0.001128096051619226,POS,True
Eswatini,SWZ,0.464000768875202,0.008555588626867372,POS,True
Ethiopia,ETH,0.9786493017867837,1.776552490321172e-21,POS,True
Fiji,FJI,0.8637806389284759,3.918600463937623e-10,POS,True
Finland,FIN,-0.5204074182139224,0.002689516333114529,NEG,True
France,FRA,-0.7808870263319037,2.186524164802723e-07,NEG,True
Gabon,GAB,0.39976746717316186,0.025868491347700324,POS,True
"Gambia, The",GMB,0.9732456969631311,4.522020127572823e-20,POS,True
Georgia,GEO,0.2166865007470328,0.24165672148738743,POS,False
Germany,DEU,-0.9626914392453578,5.247928864091083e-18,NEG,True
Ghana,GHA,0.974701798107153,2.0275164072857573e-20,POS,True
Greece,GRC,-0.47161157149034727,0.007399438722180223,NEG,True
Grenada,GRD,0.5250992093972772,0.0024207423188125758,POS,True
Guatemala,GTM,0.9789949859392464,1.4052156640114818e-21,POS,True
