Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,1.468297277,1.530009354,1.553266405,1.651549618,1.590930701,1.526978949,1.363237568,1.198270835,1.036891271,1.304775418,1.215304648,1.317479415,1.312568634,0.862873934,1.753709793,1.818117155,1.825023329,2.157452951,2.019274665,1.924223719,2.225246,2.288529451,2.303328565,2.161085504,2.138728524,2.565044301,2.495538875,2.495538875,2.495538875,2.495538875,2.495538875
Afghanistan,AFG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,13.62736486,14.18620438,25.38692308,25.88470588,25.95107692,25.81568,26.1040678,25.669,25.14514286,29.51487805,29.05025974,25.80481481,49.67118182,34.49696296,20.11982301,20.12378049,17.01185567,13.0520339,6.765990888,4.522633333,3.129850058,2.512463295,2.947636364,3.490329025,3.474494238,3.533904881,4.317036536,4.317036536,4.317036536,4.317036536,4.317036536
Africa Western and Central,AFW,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,8.540479991,9.358413096,8.875855363,9.489334376,9.544918018,9.403966485,9.512719665,10.48192694,11.28983152,12.31241864,13.45783784,12.38021134,12.80326584,18.48447736,19.35158891,18.45161837,19.19783761,19.31183045,18.76545368,18.25059979,18.17902805,21.99954264,21.91443106,20.77119902,22.53345999,23.26016886,22.34178762,22.34178762,22.34178762,22.34178762,22.34178762
Angola,AGO,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,15.98881517,16.62223583,16.75191523,15.19944928,14.5254858,9.72877551,9.191603856,9.097161125,9.546455585,8.290608696,8.774713015,7.669171185,8.507870778,6.759822321,7.470870918,6.866814937,6.418151426,6.790740741,5.073560606,4.754268877,4.807073256,4.767348948,4.703457851,2.335170628,1.673075368,4.098779863,4.225179328,4.225179328,4.225179328,4.225179328,4.225179328
Albania,ALB,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,7.697669421,6.691605839,8.840089286,7.617439614,4.626588785,2.632717949,2.233705584,2.477702703,1.8335,0.987744108,0.694069401,0.45552795,0.684506667,0.624549878,0.769300699,0.540589681,0.543259259,0.782061611,0.3517506,0.424421296,0.560458515,0.582063492,0.640524017,0.688997912,1.123984674,1.229566075,3.272778905,3.272778905,3.272778905,3.272778905,3.272778905
Andorra,AND,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,36.152596,37.78544987,38.12628653,39.73153521,39.8005392,35.44149885,36.6210604,35.07083502,36.9755152,36.81425448,37.5495357,34.88222518,37.38990551,38.03906281,39.17529038,40.60937902,39.96963304,38.94965334,39.38579411,38.13070886,39.05065432,40.94889629,40.60532458,39.77648608,39.60588679,42.23137569,43.03628343,43.03628343,43.03628343,43.03628343,43.03628343
United Arab Emirates,ARE,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,55.46172022,59.88240813,57.05861838,57.32674497,60.47945673,61.82509499,71.60348371,65.31717127,66.72759213,66.3087407,71.42278448,64.3877353,70.9182552,69.80865739,70.13912711,67.32924837,68.02940145,69.38312628,69.0720064,72.25049179,71.83554355,78.32943062,75.52271325,74.15665942,72.59199902,69.19563234,67.69407751,67.69407751,67.69407751,67.69407751,67.69407751
Argentina,ARG,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,43.31790665,44.93223984,45.03219469,36.78229217,37.53028381,46.77752922,45.50429441,48.34610587,46.30492754,50.43183918,52.68237207,51.94353808,53.34896569,53.85370598,58.49879662,56.06510183,54.02434833,53.32086476,53.63873446,55.9366565,51.74234269,52.27429933,53.4696376,49.3669875,53.74434773,52.85611317,55.49650695,55.49650695,55.49650695,55.49650695,55.49650695
