Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987
Africa Eastern and Southern,AFE,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,12.17627701,12.25337983,12.30022158,12.40551776,12.27251517,11.58806276,10.78103667,9.920691457,8.602542489,7.869035439,7.133390135,7.284390592,6.996434938,7.008815571,7.102714854,7.009716025,7.569857504,7.473038528,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009
Afghanistan,AFG,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,12.30769231,10.94224924,9.6875,8.4375,7.357859532,5.882352941,5.167173252,4.735376045,4.12371134,3.614457831,4.143646409,4.658385093,4.054054054,3.90625,3.937007874,3.778337531,9.852216749,15.29411765,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232
Africa Western and Central,AFW,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,19.74543816,19.79121825,20.32700422,20.67939245,13.29113924,13.33333333,13.17896293,13.13948537,12.72213722,12.90133239,12.55514082,13.07719216,13.0123955,12.54904128,12.67746229,12.18271422,12.31753755,12.44789193,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857
Angola,AGO,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,0.262467192,0.261951539,0.261096606,0.261951539,0.262812089,0.262984878,0.365497076,0.37202381,0.336473755,0.363901019,0.353107345,0.413793103,0.382165605,0.388888889,0.386526781,0.448933782,0.546780073,0.56753689,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635
Albania,ALB,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,4.402515723,4.958677686,5.309734513,4.273504274,2.919708029,2.255639098,2.521008403,3.539823009,3.418803419,4.464285714,4.237288136,5.217391304,4.651162791,4.580152672,5.511811024,5.46875,5.737704918,5.737704918,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877
Andorra,AND,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,10.16720604,10.07943029,9.745533297,9.134615385,8.800513149,8.635167314,8.374443509,8.279047732,7.990479429,7.962032384,10.51581048,10.78348778,10.67141404,10.98360656,10.80094693,10.82205029,11.24169155,11.48546621,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548
United Arab Emirates,ARE,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,82.05128205,80.83832335,79.7752809,79.14438503,78.28282828,80.0,81.29770992,82.53424658,83.59133127,84.22535211,85.19480519,84.98727735,83.53808354,83.17307692,83.21513002,82.67898383,82.81938326,82.98319328,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054
Argentina,ARG,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,1.717825965,1.8089316,1.88365651,1.993262212,2.02020202,2.178649237,2.296056186,2.432504678,2.537796976,2.625937835,2.560202788,2.543881964,2.481825019,2.237953871,2.205547976,2.204869086,2.247941242,2.260245036,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547
