Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Arable land (% of land area),AG.LND.ARBL.ZS,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111
Africa Eastern and Southern,AFE,Arable land (% of land area),AG.LND.ARBL.ZS,5.814058845,5.827014325,5.857189115,5.877196313,5.897039517,5.910404981,5.924508415,5.953289261,5.940661768,6.021674519,6.032334091,6.046716315,6.124416399,6.282424062,6.435511751,6.528305474,6.562550907,6.629740712,6.84299718,7.000948984,7.072272441,7.716099367,8.144944192,8.189016222,8.246971987,8.249165286,8.253303447,8.23118076,8.247616272,8.247616272,8.247616272
Afghanistan,AFG,Arable land (% of land area),AG.LND.ARBL.ZS,12.11592072,12.11592072,12.11592072,11.98419263,11.79885427,11.72226817,11.71307784,11.77128328,11.88156726,11.72226817,11.76821983,11.76821983,11.76056122,11.90454309,11.97193885,11.95508991,11.93824097,11.93824097,11.93824097,11.93670925,11.93670925,11.9336458,11.93211408,11.92445547,11.90301137,11.89382103,11.83867904,11.79272738,11.79885427,11.79885427,11.79885427
Africa Western and Central,AFW,Arable land (% of land area),AG.LND.ARBL.ZS,8.104220974,8.428018369,8.570847401,8.722409787,8.85783205,9.226954447,9.444846105,9.525325621,9.632779042,9.821928015,9.803576917,9.710773421,9.922646803,10.25369509,10.11850056,10.35952897,10.43015417,10.58457314,10.72690581,10.37747657,10.61338878,10.78609363,11.03306183,11.11398354,11.11346949,11.11346949,11.20190851,11.22401827,11.22401827,11.22401827,11.22401827
Angola,AGO,Arable land (% of land area),AG.LND.ARBL.ZS,2.326141012,2.366246892,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.406352771,2.48656453,2.646988048,2.646988048,2.646988048,2.646988048,2.727199807,2.727199807,3.208470362,3.288682121,3.769952675,3.769952675,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193,3.930376193
Albania,ALB,Arable land (% of land area),AG.LND.ARBL.ZS,21.13138686,21.09489051,21.09489051,21.05839416,21.05839416,21.05839416,21.05839416,21.09489051,21.05839416,21.05839416,21.09489051,21.09489051,21.09489051,21.09489051,21.09489051,19.6350365,21.31386861,21.09489051,22.26277372,22.22627737,22.84671533,22.70072993,22.59489051,22.52189781,22.46715328,22.44890511,22.63868613,22.14963504,22.31189781,22.31189781,22.31189781
Andorra,AND,Arable land (% of land area),AG.LND.ARBL.ZS,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,2.127659574,1.595744681,1.808510638,1.829787234,1.723404255,1.70212766,1.659574468,1.638297872,1.617021277,1.638297872,1.638297872,1.638297872,1.617021277,1.723404255,1.70212766,1.723404255,1.744680851,1.744680851,1.765957447,1.765957447,1.765957447
Arab World,ARB,Arable land (% of land area),AG.LND.ARBL.ZS,3.527169589,3.586197247,3.65557672,3.714871285,3.664893674,3.65709157,3.666121932,3.637414533,3.639167914,3.623537005,3.544323311,3.526994203,3.556027357,3.586657744,3.530889992,3.533503613,3.477816502,3.471575515,3.389417375,3.348702566,3.370784886,4.413130618,4.438836103,4.462513626,4.45002531,4.458580926,4.446968488,4.453376714,4.457414207,4.457414207,4.457414207
United Arab Emirates,ARE,Arable land (% of land area),AG.LND.ARBL.ZS,0.492818924,0.492818924,0.535060546,0.563221628,0.591382709,0.60546325,0.647704872,0.633624331,0.506899465,0.60546325,0.844832442,0.999718389,1.056040552,0.901154604,0.887074064,0.957476767,0.712475359,0.627992115,0.7265559,0.702618981,0.712475359,0.635032385,0.52238806,0.528020276,0.61954379,0.620951845,0.626584061,0.626584061,0.595606871,0.595606871,0.595606871
Argentina,ARG,Arable land (% of land area),AG.LND.ARBL.ZS,9.710635841,9.749003358,9.787370875,9.825738392,9.865202124,9.904300451,9.943398777,9.982862509,10.02123003,10.06032835,10.09979208,10.13852501,10.18091198,10.48109212,11.24533652,12.02090847,12.7358232,13.31279758,12.88454301,12.53046564,13.8784444,14.17076834,14.52630733,14.50621006,14.323873,14.323873,14.323873,14.323873,14.323873,14.323873,14.323873
Armenia,ARM,Arable land (% of land area),AG.LND.ARBL.ZS,14.85774499,14.85774499,14.85774499,15.20899192,15.27924131,15.27924131,15.8061117,15.98173516,15.98173516,15.8061117,15.8061117,15.98173516,15.98173516,15.98173516,15.98173516,15.98173516,15.90797331,15.87987355,15.82016157,15.78503688,15.75342466,15.77801194,15.74991219,15.74288725,15.71829996,15.69020021,15.6796628,15.66561293,15.65156305,15.65156305,15.65156305
American Samoa,ASM,Arable land (% of land area),AG.LND.ARBL.ZS,5.0,5.0,6.0,6.0,6.0,7.5,10.0,10.0,12.0,12.5,12.5,12.5,12.5,16.7,16.5,16.5,16.5,15.0,14.8,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Antigua and Barbuda,ATG,Arable land (% of land area),AG.LND.ARBL.ZS,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091,9.090909091
Australia,AUS,Arable land (% of land area),AG.LND.ARBL.ZS,2.207151504,2.23995418,2.112127878,2.227327753,2.322611718,2.191661351,2.498340341,2.721060099,2.779115629,2.993114041,3.05546516,3.150098278,3.08956953,3.025135702,3.350949585,3.436731187,3.15374302,3.010166226,3.123296409,3.533004439,3.312836,4.125704542,4.118219804,4.063991253,4.160251487,4.04705622,3.907556143,3.997909522,4.026770601,4.026770601,4.026770601
Austria,AUT,Arable land (% of land area),AG.LND.ARBL.ZS,17.26810366,17.49818358,17.38919835,17.18333737,17.23177525,17.12279002,17.07435214,17.02591426,17.00169533,16.97747639,16.94114798,16.79583434,16.7716154,16.71143134,16.70259143,16.71954468,16.67716154,16.66303374,16.5782654,16.54920197,16.51669472,16.46782379,16.41471037,16.40474488,16.37967597,16.31240911,16.29289869,16.10445952,16.08276781,16.08276781,16.08276781
Azerbaijan,AZE,Arable land (% of land area),AG.LND.ARBL.ZS,20.4825937,20.4825937,20.4825937,20.61838326,20.71211411,20.7445594,21.44754077,21.64461588,21.77947335,22.06517139,22.10035712,22.22289478,22.23849524,22.24386585,22.2650958,22.29857247,22.28178661,22.43764296,22.51322207,22.68161022,22.79447348,22.81327881,22.94756708,23.29207951,23.30546919,23.44095907,24.18047659,25.33812393,25.38171171,25.38171171,25.38171171
Burundi,BDI,Arable land (% of land area),AG.LND.ARBL.ZS,36.21495327,36.21495327,36.21495327,36.21495327,36.21495327,36.60436137,36.60436137,36.99376947,36.99376947,37.38317757,37.38317757,37.96728972,38.39563863,38.55140187,38.35669782,37.22741433,35.04672897,33.09968847,35.04672897,36.99376947,36.99376947,38.94080997,42.83489097,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196,46.72897196
Belgium,BEL,Arable land (% of land area),AG.LND.ARBL.ZS,23.33942718,23.15661182,25.3503961,25.62461913,28.64107252,26.6301036,26.26447288,26.50822669,26.59963437,26.59963437,28.4676354,27.90620872,27.47688243,27.57595773,27.74108322,27.84015852,27.80713342,27.70805812,27.87318362,27.74108322,27.54293263,27.24570674,26.51915456,26.94848085,26.98150594,27.39431968,28.05151915,27.60898283,28.07133421,28.07133421,28.07133421
Benin,BEN,Arable land (% of land area),AG.LND.ARBL.ZS,14.32245477,14.36679674,14.45548067,14.63284853,15.07626818,15.87442355,17.29336644,18.6236254,19.95388436,20.39730401,21.10677545,21.72756297,22.61440227,23.50124158,23.50124158,23.53671515,22.17098262,22.17098262,22.17098262,22.17098262,22.17098262,22.17098262,23.05782192,23.94466123,23.94466123,23.94466123,24.83150053,24.83150053,24.83150053,24.83150053,24.83150053
Burkina Faso,BFA,Arable land (% of land area),AG.LND.ARBL.ZS,12.81067251,12.71929825,12.62792398,12.53654971,12.28435673,12.35380117,12.71929825,13.81578947,14.25438596,14.25438596,13.52339181,16.44736842,17.17836257,18.64035088,16.8128655,17.90935673,17.17836257,17.90935673,21.92982456,20.83333333,21.92982456,20.83333333,21.92982456,22.66081871,21.92982456,21.92982456,21.92982456,21.92982456,21.92982456,21.92982456,21.92982456
Bangladesh,BGD,Arable land (% of land area),AG.LND.ARBL.ZS,72.64346624,72.09802566,66.13659061,65.34531766,64.59245602,64.56172697,64.20066067,64.45417531,64.94584006,64.80755935,64.14688484,63.78581854,63.40170546,63.20964892,62.55665668,60.77437198,60.53622186,60.04455712,59.94468772,59.89091188,59.85250058,58.98440501,58.92294692,58.98440501,58.91526465,59.40109088,59.64669279,59.59383883,59.70884228,59.70884228,59.70884228
Bulgaria,BGR,Arable land (% of land area),AG.LND.ARBL.ZS,34.85492181,34.92723493,36.58139745,36.72602368,36.16559704,36.13847962,37.99150321,38.85022146,31.96239718,32.34204104,31.87200579,31.33869656,30.83639706,30.55070332,30.46156675,29.20655376,28.83181442,28.40438265,28.43200442,28.97936625,29.34782609,29.93736183,30.55453206,32.0467944,32.11127487,32.32958732,32.20338983,32.13964628,32.0375829,32.0375829,32.0375829
Bahrain,BHR,Arable land (% of land area),AG.LND.ARBL.ZS,2.898550725,2.898550725,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.816901408,2.361111111,2.054794521,2.027027027,1.959459459,1.866666667,1.578947368,1.789473684,2.099737533,2.086049544,2.077922078,2.077922078,2.075226978,2.05655527,2.053915276,2.051282051,2.051282051,2.051282051,2.051282051
"Bahamas, The",BHS,Arable land (% of land area),AG.LND.ARBL.ZS,0.799200799,0.799200799,0.799200799,0.799200799,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.599400599,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.699300699,0.899100899,0.899100899,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799,0.799200799
Bosnia and Herzegovina,BIH,Arable land (% of land area),AG.LND.ARBL.ZS,16.6015625,16.6015625,16.6015625,16.6015625,16.6015625,16.6015625,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.70703125,19.6484375,19.9609375,20.0390625,20.703125,20.09765625,20.09765625,20.09765625
