Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Surface area (sq. km),AG.SRF.TOTL.K2,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Africa Eastern and Southern,AFE,Surface area (sq. km),AG.SRF.TOTL.K2,12718531.0,12718531.0,12718531.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12600931.0,12632899.641,12632902.43,12632902.646,12632897.279,12632895.348,12632894.489,12632895.131,15121164.46,15121164.558,15121160.399,15121160.568,15121160.081,15121155.266,15121155.64,15121157.391,15121157.391,15121157.391
Afghanistan,AFG,Surface area (sq. km),AG.SRF.TOTL.K2,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0
Africa Western and Central,AFW,Surface area (sq. km),AG.SRF.TOTL.K2,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0,9166270.0
Angola,AGO,Surface area (sq. km),AG.SRF.TOTL.K2,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0
Albania,ALB,Surface area (sq. km),AG.SRF.TOTL.K2,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0,28750.0
Andorra,AND,Surface area (sq. km),AG.SRF.TOTL.K2,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0
Arab World,ARB,Surface area (sq. km),AG.SRF.TOTL.K2,11290988.9,11290988.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291008.9,11291018.9,11291028.9,11291038.9,11291038.9,11291048.9,11291058.9,11288518.9,11288520.9,13142632.788,13142634.927,13142446.241,13142326.672,13142335.687,13142335.815,13142338.823,13142337.305,13142337.305,13142337.305
United Arab Emirates,ARE,Surface area (sq. km),AG.SRF.TOTL.K2,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9,98647.9
Argentina,ARG,Surface area (sq. km),AG.SRF.TOTL.K2,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0,2780400.0
Armenia,ARM,Surface area (sq. km),AG.SRF.TOTL.K2,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0,29740.0
American Samoa,ASM,Surface area (sq. km),AG.SRF.TOTL.K2,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Antigua and Barbuda,ATG,Surface area (sq. km),AG.SRF.TOTL.K2,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
Australia,AUS,Surface area (sq. km),AG.SRF.TOTL.K2,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0,7741220.0
Austria,AUT,Surface area (sq. km),AG.SRF.TOTL.K2,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0,83879.0
Azerbaijan,AZE,Surface area (sq. km),AG.SRF.TOTL.K2,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0,86600.0
Burundi,BDI,Surface area (sq. km),AG.SRF.TOTL.K2,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0,27830.0
Belgium,BEL,Surface area (sq. km),AG.SRF.TOTL.K2,33120.0,33120.0,33120.0,33120.0,33120.0,33120.0,33120.0,33120.0,33120.0,33120.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0,30530.0
Benin,BEN,Surface area (sq. km),AG.SRF.TOTL.K2,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0,114760.0
Burkina Faso,BFA,Surface area (sq. km),AG.SRF.TOTL.K2,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0,274220.0
Bangladesh,BGD,Surface area (sq. km),AG.SRF.TOTL.K2,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,148460.0,147630.0,147630.0,147630.0,147977.0,147570.0,147570.0,147570.0
Bulgaria,BGR,Surface area (sq. km),AG.SRF.TOTL.K2,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,110990.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0,111000.0
Bahrain,BHR,Surface area (sq. km),AG.SRF.TOTL.K2,690.0,690.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,710.0,720.0,730.0,740.0,740.0,750.0,760.0,760.0,762.0,767.0,770.0,770.0,771.0,778.0,779.0,780.0,780.0,780.0,780.0
"Bahamas, The",BHS,Surface area (sq. km),AG.SRF.TOTL.K2,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0,13880.0
Bosnia and Herzegovina,BIH,Surface area (sq. km),AG.SRF.TOTL.K2,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0,51210.0
Belarus,BLR,Surface area (sq. km),AG.SRF.TOTL.K2,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0,207600.0
Belize,BLZ,Surface area (sq. km),AG.SRF.TOTL.K2,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0,22970.0
Bermuda,BMU,Surface area (sq. km),AG.SRF.TOTL.K2,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0,4290.0
Bolivia,BOL,Surface area (sq. km),AG.SRF.TOTL.K2,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0,1098580.0
