Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,74.0560444016905,73.4537715011682,74.5915296483781,76.2128480855585,75.2572257104667,74.4485040407341,75.1835867055402,74.9607127060305,72.6354888050201,72.0767433527013,71.4806246701369,71.1340092209425,70.6338357029686,71.5310621998432,71.0231771872277,70.716484571938,70.069933440334,69.8849380452798,69.0872373308548,67.45529638067,67.2844246679058,66.5062916995942,66.1590049421456,64.4687113492775,62.3023254110205,61.2043226107211,61.2043226107211,61.2043226107211,61.2043226107211,61.2043226107211,61.2043226107211
Afghanistan,AFG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.0426340556029371,0.0409561223250231,0.0423462039361769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34756740679432,0.327245712634072,0.299100168469457,0.328209712180323,0.299448043273809,0.305935011167375,0.307258684421283,0.286817279764731,0.324389057884753,0.355608520999103,0.323382921752909,0.388456897176606,0.367485226020439,0.327521028992051,0.326376693400608,0.28730751455934,0.28730751455934,0.28730751455934,0.28730751455934,0.28730751455934,0.28730751455934
Angola,AGO,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.878220367539574,0.722370956946199,0.594013286364151,0.829170254927178,0.909064491204378,1.76742232536419,1.66950805258984,1.70021081454868,1.83769081026503,1.61003453058675,1.92316475573276,2.40139919478956,2.23476231614561,2.16698809536645,2.17809175070905,2.03740314217249,1.94130455630543,1.76274005201624,1.53361331831582,1.35993786399866,1.23553279590234,1.28616709146489,1.23565131597756,1.20975636697385,1.48465707581122,1.51919649198532,1.51919649198532,1.51919649198532,1.51919649198532,1.51919649198532,1.51919649198532
United Arab Emirates,ARE,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,1.30074891604257,1.72687093224922,1.49245718580555,1.91633103806678,3.63991504797929,2.8471237782586,2.75091123037626,2.6224791833799,2.44284710587472,2.61722196676899,2.00314925205264,1.51140209732009,0.960297443548483,1.01814625665544,1.67523586082963,2.06652700230351,1.86583574282533,2.17939766326863,1.59287523436729,1.43948031069809,2.40533916639391,2.83586121724364,2.9205099279642,2.54892937775924,2.21728366463494,2.02956738894983,2.02956738894983,2.02956738894983,2.02956738894983,2.02956738894983,2.02956738894983
