Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,3.86551625192215,4.13946484368526,4.24924944108963,3.20034851456113,4.14806637704994,4.67747743752098,4.60238276021156,4.76645148013619,5.10640258876018,4.81461768918239,4.67971803302343,3.77956391594725,4.02485481937081,4.06813098459341,4.090780740852,3.39505265286809,2.9028000440997,3.15222857040882,3.67162709653208,3.66470184777025,3.30530812510706,3.60778936880686,3.2118030396667,3.731343775564,3.57885778121873,3.57885778121873,3.57885778121873,3.57885778121873,3.57885778121873,3.57885778121873,3.57885778121873
Afghanistan,AFG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,AGO,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Arab Emirates,ARE,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,14.3496255419787,14.4639427111501,12.6715699432723,12.5860724957776,12.7660563969802,10.5439080802805,10.7037281519961,11.0113696091178,10.0699886504891,8.83094933326705,6.94747497469351,7.83332408589025,6.8925911453708,8.22123220688906,7.8560375380622,6.51524774625323,7.1966613330339,6.7188009123493,6.027762244663,6.69378849892141,5.72475511523754,4.91760256261819,4.71513784128529,4.46296322926703,4.16672699106716,4.16672699106716,4.16672699106716,4.16672699106716,4.16672699106716,4.16672699106716,4.16672699106716
Armenia,ARM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,5.46664269016364,37.399420663019,26.6545032343672,25.6662897754805,36.3477348259577,33.6522322927157,34.5865970409051,41.348070302591,36.3206689692783,36.5008291873963,42.9950926072503,44.4369634741626,43.2858596134283,42.6516464471404,43.9781343678364,38.3608072716068,34.2934051144011,28.7580886012942,30.609597924773,31.8064516129032,31.8064516129032,31.8064516129032,31.8064516129032,31.8064516129032,31.8064516129032,31.8064516129032
American Samoa,ASM,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Antigua and Barbuda,ATG,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Australia,AUS,Electricity production from nuclear sources (% of total),EG.ELC.NUCL.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
