Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697
Africa Eastern and Southern,AFE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.9192241869034,25.4082355393619,25.9207188323534,26.4139304583408,26.812287681597,27.1696171819529,27.5059415273442,27.8196969903894,28.1057398208804,28.3845418629392,28.6692864525936,28.9770739787538,29.3041987160712,29.631272540665,29.9618242264524,30.3097046719514,30.6462432499318,30.9140937794251,31.3313210633171,31.7564714042204,32.1934098004161,32.6415481084515,33.0716871573659,33.5075479703347,33.9524243585602,34.4050839061798,34.8651009391134,35.332372600656,35.8077701192774,36.2913220679034,36.7833061490919
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026
Africa Western and Central,AFW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.0008341528857,31.4691088996107,31.8783032730489,32.2815117204946,32.6841178584885,33.0925176661966,33.5047620792523,33.9548907168842,34.4148671478795,34.8841270056148,35.3529813285238,35.9532481550621,36.5579766178363,37.1744363338829,37.7998187771227,38.4313922681047,39.0707904715649,39.7088246996539,40.3459600182028,40.9843167330037,41.6258794507234,42.2646633923943,42.9010354250733,43.5307043161389,44.1571309612333,44.7813730017585,45.4018091116082,46.0193335426773,46.6331382779992,47.2428528783001,47.8486254352506
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.144,38.58,40.039,41.511,43.0,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56.0,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916
Arab World,ARB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.395247579153,50.783052441155,50.778711225923,51.1512105294203,51.409425000622,51.8956860183394,52.0625708701239,52.264069203595,52.4970158338934,52.7408459865358,52.9893016869898,53.2514441589562,53.5156256948691,53.8011672394373,54.1055823150417,54.4703063114514,54.8657362147685,55.1490797361925,55.5790743522523,56.0097688019882,56.4408805184074,56.7918957290399,57.0983962735312,57.4007340495261,57.6923254732887,58.0314661463348,58.3456269803009,58.6423223529406,58.9265950528938,59.2016459579233,59.4717656085526
United Arab Emirates,ARE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.421,67.15,66.878,66.606,66.332,66.057,65.781,65.504,65.226,64.947,64.666,64.385,64.236,64.137,64.038,63.938,63.839,63.739,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,63.219,63.313
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.948,81.886,82.789,83.654,84.485,85.28,86.043,86.771,87.467,88.131,88.587,88.491,88.394,88.297,88.198,88.1,88.0,87.9,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.426,35.465,35.085,34.709,34.334,33.961,33.59,33.221,32.855,32.49,32.127,31.74,31.098,30.464,29.837,29.218,28.606,28.002,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25.0,24.846,24.713,24.599,24.506,24.433
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.433,85.403,85.285,85.157,85.028,84.898,84.767,84.636,84.503,84.37,84.235,84.1,84.222,84.343,84.463,84.582,84.7,84.822,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.96,62.689,62.417,62.144,61.87,61.596,61.32,61.045,60.768,60.491,60.213,59.934,59.655,59.375,59.094,58.813,58.532,58.249,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.749,53.441,53.132,52.824,52.515,52.206,51.896,51.588,51.278,51.185,51.386,51.587,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397
Burundi,BDI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,6.271,6.455,6.637,6.823,7.014,7.211,7.412,7.618,7.83,8.036,8.246,8.461,8.682,8.908,9.139,9.375,9.617,9.864,10.118,10.376,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,13.366,13.708
Belgium,BEL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,96.377,96.461,96.542,96.622,96.7,96.777,96.851,96.924,96.996,97.065,97.129,97.186,97.241,97.296,97.35,97.403,97.454,97.505,97.555,97.603,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,98.041,98.079
Benin,BEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.485,35.247,35.827,36.136,36.447,36.758,37.071,37.385,37.699,38.015,38.333,38.65,39.036,39.536,40.039,40.543,41.049,41.558,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861,48.415
Burkina Faso,BFA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.815,14.07,14.33,14.593,14.86,15.131,15.407,15.875,16.51,17.166,17.844,18.54,19.258,19.996,20.757,21.537,22.339,22.996,23.534,24.079,24.633,25.196,25.767,26.346,26.934,27.53,28.134,28.743,29.358,29.98,30.607
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.811,20.257,20.61,20.966,21.328,21.693,22.064,22.438,22.818,23.202,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177
Bulgaria,BGR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.377,66.717,67.056,67.33,67.557,67.782,68.007,68.231,68.454,68.677,68.899,69.166,69.524,69.879,70.233,70.584,70.932,71.278,71.622,71.963,72.302,72.638,72.975,73.313,73.651,73.99,74.329,74.669,75.008,75.347,75.686
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.14,88.329,88.398,88.395,88.392,88.388,88.385,88.382,88.379,88.376,88.372,88.369,88.373,88.383,88.399,88.422,88.452,88.488,88.53,88.579,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,79.838,80.067,80.293,80.518,80.74,80.961,81.18,81.396,81.611,81.824,82.007,82.049,82.092,82.134,82.176,82.218,82.26,82.302,82.343,82.385,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245
Bosnia and Herzegovina,BIH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.249,39.578,39.887,40.196,40.506,40.817,41.13,41.442,41.755,42.069,42.384,42.698,43.014,43.33,43.648,43.965,44.282,44.601,44.92,45.239,45.558,45.878,46.199,46.519,46.84,47.173,47.518,47.876,48.245,48.626,49.02
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.981,66.374,66.766,67.155,67.541,67.926,68.308,68.687,69.064,69.482,69.973,70.458,70.939,71.415,71.887,72.354,72.816,73.273,73.726,74.172,74.672,75.188,75.697,76.199,76.693,77.181,77.661,78.134,78.595,79.044,79.483
Belize,BLZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.465,47.271,47.059,46.848,46.637,46.425,46.214,46.003,45.793,45.582,45.398,45.381,45.364,45.347,45.33,45.313,45.296,45.279,45.262,45.245,45.228,45.228,45.246,45.282,45.335,45.406,45.495,45.601,45.724,45.866,46.025
Bermuda,BMU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
