Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Progression to secondary school (%),SE.SEC.PROG.ZS,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.69559,99.3961,99.82628,99.52595,99.52595,99.52595,97.76351,97.76351,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371,98.60371
Africa Eastern and Southern,AFE,Progression to secondary school (%),SE.SEC.PROG.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Afghanistan,AFG,Progression to secondary school (%),SE.SEC.PROG.ZS,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,86.26841,92.3154,90.76541,90.76541,90.76541,90.76541
Africa Western and Central,AFW,Progression to secondary school (%),SE.SEC.PROG.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Angola,AGO,Progression to secondary school (%),SE.SEC.PROG.ZS,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,40.8185,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167,52.48167
Albania,ALB,Progression to secondary school (%),SE.SEC.PROG.ZS,99.51973,99.51973,99.51973,99.51973,99.51973,99.51973,99.51973,99.51973,99.51973,99.51973,97.24541,97.24541,97.24541,97.24541,97.24541,97.24541,98.38603,98.21509,99.22479,98.08978,99.18615,99.48943,99.75281,99.80782,99.08036,98.06952,98.17323,98.53003,98.53003,98.53003,98.53003
Andorra,AND,Progression to secondary school (%),SE.SEC.PROG.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Progression to secondary school (%),SE.SEC.PROG.ZS,85.83101,88.52283,88.48546,88.77381,88.8839,88.79104,89.16258,89.18019,89.2055,90.3527,90.21805,91.44694,91.8274,91.83506,91.41852,90.62327,90.68009,90.66842,90.5528,90.52804,90.14646,89.71483,86.4415,86.94968,87.71369,88.19032,89.50132,90.15284,90.15284,90.15284,90.15284
United Arab Emirates,ARE,Progression to secondary school (%),SE.SEC.PROG.ZS,98.26561,94.02025,96.95369,99.48798,98.72636,98.72636,98.03728,98.03728,98.03728,98.70699,99.94577,98.98802,97.74784,98.47823,99.22658,99.87523,99.63031,99.63031,99.63031,97.66702,95.76771,99.42204,98.39354,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103,99.93103
Argentina,ARG,Progression to secondary school (%),SE.SEC.PROG.ZS,97.21217,97.21217,97.21217,97.21217,97.21217,97.21217,97.21217,97.21217,97.21217,98.20092,97.69371,97.39566,96.5178,96.70928,95.86633,95.38558,94.96292,95.16004,95.31151,95.87691,96.17801,96.62407,96.84399,97.31649,97.40726,99.48824,99.85158,99.85158,99.85158,99.85158,99.85158
