Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,CO2 emissions (kt),EN.ATM.CO2E.KT,309980.8254427,304407.723572644,300329.971872206,306574.577075445,312677.028664301,330892.998964482,341412.3664288,357963.108674783,366634.479152127,352429.271543457,358460.646325123,397075.660289217,409057.179215757,434533.137679053,466883.238780711,468365.697902131,476590.299877129,500147.184546258,533634.514562978,515682.543832365,543808.651820938,535604.357505138,559333.857277447,580510.924988882,601860.163982524,586385.004028878,592299.593958805,601323.394690938,600351.133332593,600351.133332593,600351.133332593
Afghanistan,AFG,CO2 emissions (kt),EN.ATM.CO2E.KT,2960.0,2740.0,1430.0,1360.0,1300.0,1250.0,1180.0,1100.0,1050.0,820.0,770.0,810.0,1100.0,1350.0,1130.0,1640.0,1940.0,2360.0,4390.0,6000.0,8670.0,12260.0,10450.0,8510.0,7810.0,7990.0,7390.0,7380.0,7440.0,7440.0,7440.0
Africa Western and Central,AFW,CO2 emissions (kt),EN.ATM.CO2E.KT,90210.0,99880.0,111590.0,115080.0,112220.0,113980.0,121890.0,120450.0,116930.0,118000.0,119510.0,130120.0,133840.0,137380.0,141040.0,155650.0,153210.0,153350.0,157600.0,145550.0,165750.0,179070.0,181740.0,191990.0,198440.0,193060.0,195120.0,201900.0,224380.0,224380.0,224380.0
Angola,AGO,CO2 emissions (kt),EN.ATM.CO2E.KT,6330.0,6530.0,6370.0,6900.0,6690.0,10780.0,11410.0,11730.0,11370.0,12650.0,12370.0,12910.0,13620.0,18010.0,19290.0,18210.0,20340.0,23490.0,25080.0,27150.0,28530.0,29460.0,30250.0,32820.0,34630.0,35160.0,35410.0,30840.0,27340.0,27340.0,27340.0
Albania,ALB,CO2 emissions (kt),EN.ATM.CO2E.KT,6050.0,4110.0,2240.0,2070.0,2140.0,1950.0,1970.0,1480.0,1800.0,2970.0,3170.0,3220.0,3750.0,4110.0,4290.0,4070.0,4050.0,4220.0,4170.0,4320.0,4580.0,5040.0,4580.0,4790.0,5220.0,5070.0,4930.0,5600.0,5560.0,5560.0,5560.0
Andorra,AND,CO2 emissions (kt),EN.ATM.CO2E.KT,410.0,410.0,410.0,410.0,410.0,430.0,450.0,470.0,490.0,510.0,520.0,520.0,530.0,530.0,560.0,580.0,550.0,540.0,540.0,520.0,520.0,490.0,490.0,480.0,460.0,470.0,470.0,470.0,460.0,460.0,460.0
Arab World,ARB,CO2 emissions (kt),EN.ATM.CO2E.KT,639188.590050262,666275.065246126,689384.438411006,737400.915204267,777262.324196623,800120.61768783,827779.554539669,850949.186826231,855870.348430225,865471.635151488,893140.615190274,946781.276673814,986311.260496921,1012262.85556778,1069589.36666085,1166727.07081153,1225851.31236809,1282565.18905739,1385236.68921583,1453510.27408105,1533835.68328257,1564748.61270522,1675996.99451633,1706809.49206951,1784413.19760842,1828844.25666163,1846600.61118379,1865421.54352234,1863603.72668494,1863603.72668494,1863603.72668494
United Arab Emirates,ARE,CO2 emissions (kt),EN.ATM.CO2E.KT,55400.0,61500.0,59640.0,62150.0,68290.0,72640.0,75810.0,81450.0,83850.0,86000.0,84540.0,96260.0,98120.0,103530.0,109980.0,116280.0,121460.0,131690.0,156200.0,157180.0,162820.0,166320.0,175730.0,184100.0,183840.0,194040.0,199460.0,208250.0,200300.0,200300.0,200300.0
Argentina,ARG,CO2 emissions (kt),EN.ATM.CO2E.KT,99840.0,105320.0,107350.0,111030.0,113810.0,113810.0,126560.0,127320.0,133170.0,134190.0,131910.0,124870.0,117470.0,128360.0,141850.0,146320.0,155370.0,163630.0,168150.0,157440.0,168140.0,177260.0,178530.0,184000.0,179910.0,186090.0,184280.0,180120.0,177410.0,177410.0,177410.0
