Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777,10.70426777
Africa Eastern and Southern,AFE,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,18.99377154,19.36028968,19.40744687,19.78834102,19.79057895,19.93948217,20.50350524,20.8777079,20.57693334,21.04398951,21.72555247,22.67119707,22.53156441,22.97458965,23.5476157,23.62328968,24.73577693,24.36578296,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486,24.50932486
Afghanistan,AFG,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,27.98216276,25.24807056,22.91434928,20.69741282,18.08035714,15.31728665,13.49446123,12.16981132,11.08108108,9.941027801,10.57601511,11.75213675,9.562109026,9.146341463,8.90052356,8.568980291,26.86366689,38.67403315,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931,45.0608931
Africa Western and Central,AFW,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,30.26007981,29.45602352,29.39134072,29.29301086,29.107122,29.68495491,30.81833779,31.9131061,32.80596182,34.27546166,34.90874313,37.14454976,38.19903042,38.28858092,39.39606988,39.39980639,39.24130384,39.13000494,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191,38.92010191
Angola,AGO,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,24.93934983,26.1531146,27.34047508,28.61736334,29.71145176,30.94390027,33.52059925,34.37354448,32.81452659,34.97536946,34.86956522,36.75742574,37.41418764,36.54371585,38.30138797,40.11571842,44.32328416,45.07587028,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372,48.27283372
Albania,ALB,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,16.39344262,14.16666667,12.0,9.269662921,5.811138015,3.883495146,4.050632911,4.266666667,4.143646409,4.06504065,4.0,4.33604336,4.67032967,4.619565217,5.013927577,5.30726257,5.099150142,5.294117647,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895,5.263157895
Andorra,AND,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,48.38148792,48.74406466,48.45349979,48.00067659,47.55356676,48.09505847,48.12294982,47.99777368,48.03359628,47.92397982,47.81823973,48.70616497,48.79838098,49.09086429,49.28338606,49.41963453,49.47247178,49.14472941,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918,49.23217918
United Arab Emirates,ARE,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,79.29854577,78.45257903,77.65182186,76.81388013,75.9202454,78.22853279,80.0,81.47540984,82.70189432,83.64635822,84.52078032,81.49010477,78.90597068,76.72413793,74.88400866,73.08470656,71.17829895,69.33701657,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072,67.57633072
Argentina,ARG,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,10.26924894,10.87450312,11.25895599,11.8829469,12.28442313,12.74347666,13.44396793,13.90851618,14.09929078,13.66813834,13.47956676,13.50511696,13.07433032,12.33324943,12.18236173,12.12799469,11.81166504,11.62376558,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678,11.61100678
Armenia,ARM,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,57.10306407,55.84795322,55.52050473,55.10204082,53.06859206,50.95785441,47.96747967,45.2173913,42.38095238,38.46153846,33.33333333,33.5106383,33.67875648,34.34343434,34.31372549,34.7826087,35.81395349,37.05357143,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853,38.52813853
American Samoa,ASM,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652,0.007762652
Antigua and Barbuda,ATG,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,AUS,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,21.12278903,21.59229535,22.92969002,22.55812422,21.29297757,22.21998793,23.77031877,25.28257402,24.94354342,20.8426144,20.73614508,19.38072742,19.47717892,25.22224845,22.14039592,26.22670807,23.6018124,25.13291445,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908,28.39025908
Austria,AUT,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,10.19878997,9.296264118,9.275618375,9.008189263,7.728557964,8.399209486,8.291203236,7.924921794,8.055853921,8.178844057,8.277404922,8.636363636,8.400460299,8.440797186,8.056872038,7.776427704,8.064516129,7.994923858,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694,7.958921694
Azerbaijan,AZE,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,68.21232459,68.05555556,69.99325691,69.88795518,69.63768116,68.44444444,69.48324022,70.15121631,70.77114428,71.42857143,72.04724409,73.125,74.22178988,75.09107468,75.98627787,76.773409,80.09320905,82.62100198,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126,84.4242126
Burundi,BDI,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,60.8974359,61.875,62.42424242,64.07185629,67.27272727,67.05882353,67.06586826,66.46706587,68.55345912,65.77181208,62.85714286,61.31386861,60.60606061,58.46153846,55.81395349,53.125,50.74626866,50.0,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667,47.91666667
Belgium,BEL,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,11.71579743,10.73573574,9.665144597,10.11583012,8.859784284,8.848207475,8.936825886,8.528951487,8.379888268,8.253968254,8.415841584,8.793103448,8.762420958,9.326923077,9.444985394,9.8,10.04056795,10.26970954,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709,10.8994709
Benin,BEN,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,28.14814815,27.85714286,27.97202797,28.37370242,27.36156352,29.79452055,27.21712538,27.08333333,26.28571429,27.72861357,26.08695652,31.02409639,30.3030303,32.4099723,34.06593407,32.26600985,35.07462687,36.19047619,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381,38.80952381
Burkina Faso,BFA,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,9.70464135,9.68622101,9.707446809,9.778357236,9.656925032,9.617755857,9.034653465,8.163265306,7.553956835,6.872037915,6.033519553,6.797235023,7.182320442,6.300630063,6.62598082,6.852791878,7.227891156,7.302904564,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948,7.309236948
Bangladesh,BGD,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,3.059956508,3.071672355,3.043812452,3.055427606,3.017895056,3.089845508,3.21073259,3.287507472,3.41507447,3.42355523,3.481288077,3.597852894,3.602449096,3.631245602,3.718365616,3.703703704,3.766889586,3.827427644,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369,3.80790369
Bulgaria,BGR,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,16.41244661,14.77864583,16.73414305,18.34319527,19.52259165,19.63394343,19.45364238,18.11091854,17.01357466,14.64788732,15.70482498,15.562249,16.96712619,17.49745677,14.07089151,15.31531532,14.8409894,16.33605601,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117,17.12907117
Bahrain,BHR,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,19.87381703,19.75308642,19.63746224,19.52662722,18.85714286,19.56521739,20.04175365,20.44198895,20.55921053,20.80237741,21.00271003,20.703125,20.40050063,20.16908213,20.04662005,19.81981982,19.19406151,18.63727455,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354,18.15589354
"Bahamas, The",BHS,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,6.25,6.25,11.76470588,11.76470588,11.76470588,11.76470588,11.76470588,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,10.52631579,10.52631579,9.523809524,10.0,10.0,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524,9.523809524
Bosnia and Herzegovina,BIH,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,38.41584158,38.38383838,17.53846154,8.163265306,8.571428571,9.417040359,15.93625498,20.27027027,22.6993865,21.05263158,20.67039106,20.94972067,27.79661017,27.04402516,26.78571429,26.30057803,25.82417582,26.50918635,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564,25.64102564
Belarus,BLR,Energy related methane emissions (% of total),EN.ATM.METH.EG.ZS,5.525136884,5.23906409,6.363636364,6.33213859,6.403013183,6.481481481,7.272727273,7.723855092,7.417582418,7.013888889,7.945597709,7.938820102,8.203991131,8.443465492,8.53485064,8.266860044,8.621908127,9.684065934,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541,8.371187541
