Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568,6.029340568
Africa Eastern and Southern,AFE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,84.39929413,84.21630918,84.10258828,83.88605442,83.95240317,84.64546767,85.41970717,86.24685378,87.70219164,88.38712678,89.06560636,88.89522452,89.37165775,89.37330889,89.28756701,89.48334098,88.7329368,89.0149541,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578,88.93729578
Afghanistan,AFG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,83.38461538,84.80243161,85.625,86.5625,86.95652174,88.5620915,89.36170213,90.25069638,90.97938144,91.56626506,90.33149171,88.81987578,90.0,90.10416667,90.02624672,90.17632242,83.74384236,78.11764706,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762,75.1565762
Africa Western and Central,AFW,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,77.79905384,77.72277228,77.12025316,76.58045977,47.99367089,48.18724474,49.04544895,49.52247704,51.07096622,50.93619769,52.52799457,50.9036847,51.27125973,53.14693043,52.83939663,54.78247046,54.64353713,54.50372012,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169,54.7830169
Angola,AGO,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,99.08136483,99.08316961,99.08616188,99.01768173,99.01445466,98.94806049,98.75730994,98.73511905,98.78869448,98.61717613,98.58757062,98.55172414,98.53503185,98.66666667,98.61954721,98.54096521,98.2381531,98.24063564,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186,97.96407186
Albania,ALB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,84.90566038,83.47107438,84.95575221,88.03418803,91.97080292,94.73684211,93.27731092,92.03539823,92.30769231,91.96428571,91.52542373,90.43478261,92.24806202,91.60305344,91.33858268,90.625,90.16393443,90.16393443,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719,90.35087719
Andorra,AND,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,81.32416397,81.18323747,81.4970222,82.38045738,82.09108403,82.06542173,82.26446878,81.99692053,82.23960104,82.04355109,79.68273978,79.31760741,79.63377416,79.14959016,79.55217992,79.67117988,78.13312783,77.24613062,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415,75.93537415
United Arab Emirates,ARE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,14.74358974,16.16766467,17.41573034,17.64705882,18.68686869,17.39130435,16.03053435,14.7260274,13.93188854,13.23943662,12.46753247,12.46819338,13.75921376,14.18269231,13.94799054,14.3187067,13.65638767,13.44537815,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429,13.57285429
Argentina,ARG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,95.86032104,95.67552289,95.59556787,95.36777092,95.35899536,95.09803922,94.92166397,94.70729751,94.57343413,94.53376206,94.72750317,94.58153142,94.50990223,94.8618406,94.74761255,94.57969683,94.61384376,94.76130123,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739,94.47465739
Armenia,ARM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,87.5,86.74698795,86.66666667,84.61538462,84.48275862,84.21052632,85.96491228,85.71428571,87.03703704,86.53846154,86.79245283,87.03703704,87.3015873,88.52459016,89.39393939,87.5,91.57894737,89.87341772,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718,87.17948718
American Samoa,ASM,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982,92.60292982
Antigua and Barbuda,ATG,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333
Australia,AUS,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,95.8039266,95.90962213,95.43187188,94.8414265,94.73961767,94.55890122,93.72677908,93.37777134,93.4031556,94.56593771,94.78005271,94.8410153,94.13550029,89.4719897,92.28082431,89.14077362,91.77268872,91.04842865,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733,88.19645733
Austria,AUT,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,66.12244898,65.17311609,65.74468085,64.08602151,64.7826087,63.39869281,63.1130064,62.93103448,62.20302376,61.33909287,60.13071895,61.88340807,60.68965517,58.75576037,67.54617414,67.36842105,66.57824934,65.84699454,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562,65.4353562
Azerbaijan,AZE,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,90.52631579,83.16151203,81.17647059,78.29787234,77.13004484,75.89285714,75.46296296,76.21145374,76.52173913,77.21518987,77.31092437,78.98832685,79.55390335,79.7833935,80.34482759,80.33898305,80.84415584,80.64516129,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657,81.45896657
Burundi,BDI,Agricultural nitrous oxide emissions (% of total),EN.ATM.NOXE.AG.ZS,76.47058824,76.66666667,76.2295082,74.59016393,73.5042735,73.7704918,73.55371901,73.7704918,68.21705426,68.18181818,67.66917293,67.40740741,66.66666667,65.2173913,65.49295775,64.82758621,65.33333333,65.56291391,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822,66.24203822
