Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.13799109,20.12511326,19.93065715,20.6717344,20.567869,20.52550339,22.73763596,21.62800975,24.57696746,25.25116169,24.72545344,24.67595365,24.41430425,24.84702974,24.86035023,23.7438129,23.13825104,23.37865977,20.39168106,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987,19.90980987
Africa Eastern and Southern,AFE,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.223055178,1.921790282,1.843580748,1.780081383,2.096280668,1.892502075,2.119161631,1.891437259,1.870551101,1.529472931,1.780453779,2.10284606,1.891439909,1.962472436,2.481918891,2.565777177,2.699952494,2.15637696,2.935179204,2.688251433,12.17627701,12.25337983,12.30022158,12.40551776,12.27251517,11.58806276,10.78103667,9.920691457,8.602542489,7.869035439,7.133390135,7.284390592,6.996434938,7.008815571,7.102714854,7.009716025,7.569857504,7.473038528,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009,7.596857009
Afghanistan,AFG,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.823609974,4.863614408,5.652229471,5.255055447,5.028315997,4.835251305,4.750730974,4.649725351,4.827350224,4.919422508,4.926474689,5.036097092,4.876279951,5.040067616,4.629187217,4.302347793,4.014456574,3.858829956,3.814315349,3.788616967,12.30769231,10.94224924,9.6875,8.4375,7.357859532,5.882352941,5.167173252,4.735376045,4.12371134,3.614457831,4.143646409,4.658385093,4.054054054,3.90625,3.937007874,3.778337531,9.852216749,15.29411765,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232,18.99791232
Africa Western and Central,AFW,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.024726152,2.173332821,2.284991104,2.209241319,2.995608005,2.694156957,2.656548898,2.247679633,2.731223714,2.519129109,2.030965806,2.430583202,2.122795538,2.376185442,2.506043526,2.80330951,2.822949411,2.685906237,2.922626409,2.704296389,19.74543816,19.79121825,20.32700422,20.67939245,13.29113924,13.33333333,13.17896293,13.13948537,12.72213722,12.90133239,12.55514082,13.07719216,13.0123955,12.54904128,12.67746229,12.18271422,12.31753755,12.44789193,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857,12.45044857
Angola,AGO,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.294567613,0.526912957,0.52654243,0.503074281,0.598200819,0.514904862,0.603893664,0.560065601,0.575454099,0.433694922,0.575876435,0.71492905,0.629104989,0.662404416,1.100715503,1.137374376,1.219374404,0.744517572,1.336172446,1.09260645,0.262467192,0.261951539,0.261096606,0.261951539,0.262812089,0.262984878,0.365497076,0.37202381,0.336473755,0.363901019,0.353107345,0.413793103,0.382165605,0.388888889,0.386526781,0.448933782,0.546780073,0.56753689,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635,0.658682635
Albania,ALB,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.480101495,4.396255756,4.621085892,4.183107225,4.206658067,4.27609166,3.940092105,3.713527605,3.34663821,3.638520579,3.665937142,3.17738871,3.352100956,2.991849346,3.301392131,3.160963004,2.976350899,3.090415505,3.101887632,2.703972895,4.402515723,4.958677686,5.309734513,4.273504274,2.919708029,2.255639098,2.521008403,3.539823009,3.418803419,4.464285714,4.237288136,5.217391304,4.651162791,4.580152672,5.511811024,5.46875,5.737704918,5.737704918,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877,6.140350877
Andorra,AND,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arab World,ARB,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.69565809,3.815320779,4.005816481,4.244789507,4.699378649,4.425258564,4.75419534,4.452907938,4.871727668,4.692340985,4.189529311,4.092610872,3.762551361,3.938154816,3.880505308,3.877777961,3.802230445,3.687893201,3.749348137,3.596563084,10.16720604,10.07943029,9.745533297,9.134615385,8.800513149,8.635167314,8.374443509,8.279047732,7.990479429,7.962032384,10.51581048,10.78348778,10.67141404,10.98360656,10.80094693,10.82205029,11.24169155,11.48546621,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548,11.9425548
United Arab Emirates,ARE,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,47.20309899,50.82229945,51.03934393,52.71289509,51.42953642,51.90289637,57.03953482,52.31992598,51.62172377,40.22421685,35.60733222,30.01170689,27.91244175,26.34007641,20.03434585,18.46512768,15.01132515,13.01259689,12.54068027,11.65528306,82.05128205,80.83832335,79.7752809,79.14438503,78.28282828,80.0,81.29770992,82.53424658,83.59133127,84.22535211,85.19480519,84.98727735,83.53808354,83.17307692,83.21513002,82.67898383,82.81938326,82.98319328,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054,82.63473054
Argentina,ARG,Nitrous oxide emissions in energy sector (% of total),EN.ATM.NOXE.EG.ZS,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.183652582,2.29401661,2.221889037,2.30063632,2.426392792,2.339339018,2.34269228,2.44544804,2.509682795,2.64539174,2.701636898,2.769916639,2.77997846,2.743584741,2.781530778,3.222654187,2.650255444,2.604512087,2.695121223,2.485113704,1.717825965,1.8089316,1.88365651,1.993262212,2.02020202,2.178649237,2.296056186,2.432504678,2.537796976,2.625937835,2.560202788,2.543881964,2.481825019,2.237953871,2.205547976,2.204869086,2.247941242,2.260245036,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547,2.436371547
