Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,12306.7176791493,13495.79430054,14045.4745656146,14938.6815734932,16239.9878515928,16439.3563609282,16583.8758560136,17927.9594391833,19077.6874273513,19355.3335357274,20617.7504673528,20670.3670051627,20436.8871286309,20833.976357295,22568.3749910043,23300.7383630907,24046.2263769373,25834.1117784233,27083.6348596914,24631.1820522439,23513.527696809,24985.0139185797,24712.4932628907,26441.6199357378,26893.0115056581,28396.9084228616,28452.1706146796,29350.8050189137,30253.2793580195,30253.2793580195,30253.2793580195
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,698.048374060864,705.498632971128,684.375596222535,666.986221244707,661.318383530982,724.062189968291,703.573119312598,720.738063422644,662.202759089881,636.80778581739,673.967014400832,592.637414655198,590.750863105046,759.434685444393,919.005361685002,1040.44646144838,1145.95106313512,1282.32293524015,1360.08478795144,1329.72704315466,1554.18337860429,1686.69576257001,1672.36365831011,1653.18843593743,1658.65006182338,1507.80025630571,1404.95316439875,1540.23247267839,1534.17176660592,1485.30742493168,1330.1402316926
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,179.426579211394,190.683814295088,211.382074198939,242.031313175022,263.733601866274,359.693157866109,364.660679028164,438.076142403179,543.302967401909,591.162798293135,641.871437960934,637.165463951798,613.856505217398,578.466352941708,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,594.899599576292,558.5990402193,547.823070701764,438.26231068767,376.354920811847,459.364903240959,495.779036379884,486.52301634998,484.090741631737,500.436179658533,502.031661993901,516.927933754648,605.061007142956,681.882359233506,826.816538201166,988.839393612544,1224.05761209197,1400.08600739197,1666.89984716336,1444.20189894288,1655.13013813728,1827.51834682635,1936.39096169927,2123.39243327941,2166.74330941761,1886.24815793403,1666.42240647892,1606.97833161683,1695.95921508335,1772.33915484035,1714.42679990415
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,948.338177965671,948.338177965671,948.338177965671,948.338177965671,251.078348367302,398.79099821209,522.679624255226,514.385174425759,423.619048972815,387.785124062555,556.838631674927,527.333528536691,872.494441791273,982.96100777685,1255.56451325546,1902.42214975937,2599.56594793067,3121.99608528081,4080.94103372417,3122.7815987074,3587.88364462837,4615.46821863819,5100.09702685927,5254.88112606683,5408.41170002082,4166.97983330278,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1895.77086891313
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416339644261,750.604449178826,1009.97766752106,717.380567391734,813.790263555599,1033.2416930932,1126.68331762741,1281.65939343074,1425.12484888368,1846.11881331912,2373.57984371994,2673.78728253113,2972.74326462176,3595.03716321514,4370.54012699014,4114.14011404922,4094.3503344202,4437.14288515077,4247.62998374252,4413.06086120676,4578.6319939825,3952.80121524465,4124.05572595352,4531.02080555986,5284.38018438156,5355.84779459031,5215.27675237003
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,18878.8523130643,19534.2636301538,20549.8055751695,16515.6583953924,16235.0680377239,18458.1739929996,19016.2881877293,18355.6278604321,18895.110661321,19262.3089910407,21854.2468030614,22970.5122133619,25067.2400639132,32272.8458909877,37966.1872524395,40064.2249292197,42674.7589681092,47804.8499340211,48719.6587699036,43504.2156523202,40850.2481432297,43334.8114127088,38686.4612635075,39540.7248137461,41303.9293714464,35770.7767044085,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,40897.3308728669
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,2681.19016905511,1810.70299606025,1903.35889665708,1876.28829763335,1881.05361463804,1993.06234598999,2135.62820222378,2250.80004314114,2126.6675897813,2316.73671858252,2610.38682949744,2472.44802546257,2421.82428925411,2627.66950655955,3055.36552488392,3670.41546371341,4249.48385734211,4837.8101194555,5993.74217612165,5049.16569571793,5797.80346543532,6695.85847731234,7265.96635133965,7314.82720108179,7247.97277832949,6185.08362961816,5938.79132841909,5941.06459437909,6402.38081068648,6403.54077174642,5654.95057417349
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,27729.3905933305,26612.253110068,26420.8598834079,25596.7393895625,25848.016250094,27221.9344117425,28975.0799572712,29512.6747918254,26899.601766231,28470.885858149,33291.3662541838,31280.7558649555,31567.5463066439,33499.1027760786,36333.1873330517,39365.4596409245,41907.4214695701,41809.4621626311,44498.9405069137,32024.1977823245,33893.2638727391,39194.672239975,40976.4907464015,42412.6395002704,43751.8056478669,38663.4005026605,38141.8671313451,40644.7911901772,43839.3244866903,43103.3362929869,43103.3362929869
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,4333.48337168025,5735.3599805848,6823.53883710424,6969.11972904571,7483.14033425721,7408.70866363112,7721.35410460355,8213.12512693705,8289.5075682025,7774.73620280001,7708.09911454041,7208.37311355372,2593.404563368,3349.80630031036,4277.72157290954,5109.85224490403,5919.01233837714,7245.44685667197,9020.87332314274,8225.13758261645,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11633.4980086503,9912.28180859863,8441.9194391094
