Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Land area (sq. km),AG.LND.TOTL.K2,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0,180.0
Africa Eastern and Southern,AFE,Land area (sq. km),AG.LND.TOTL.K2,14777964.271,14777964.271,14777964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14676964.271,14806228.599,14806282.048,14806278.615,14806251.567,14806236.327,14806235.254,14806927.65,14807137.359,14807138.97,14807144.332,14807112.678,14807162.338,14807070.342,14807044.032,14807043.228,14807043.228,14807043.228
Afghanistan,AFG,Land area (sq. km),AG.LND.TOTL.K2,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0,652860.0
Africa Western and Central,AFW,Land area (sq. km),AG.LND.TOTL.K2,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0,9045780.0
Angola,AGO,Land area (sq. km),AG.LND.TOTL.K2,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0,1246700.0
Albania,ALB,Land area (sq. km),AG.LND.TOTL.K2,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0,27400.0
Andorra,AND,Land area (sq. km),AG.LND.TOTL.K2,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0,470.0
Arab World,ARB,Land area (sq. km),AG.LND.TOTL.K2,13716764.271,13716764.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716784.271,13716604.271,13716594.271,13716604.271,13716664.271,13716684.271,13716694.271,13714184.271,13714176.271,13082202.861,13082210.89,13082017.197,13081869.416,13081879.206,13081769.201,13081768.953,13081763.715,13081763.715,13081763.715
United Arab Emirates,ARE,Land area (sq. km),AG.LND.TOTL.K2,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0,71020.0
Argentina,ARG,Land area (sq. km),AG.LND.TOTL.K2,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0,2736690.0
Armenia,ARM,Land area (sq. km),AG.LND.TOTL.K2,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0,28470.0
American Samoa,ASM,Land area (sq. km),AG.LND.TOTL.K2,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0
Antigua and Barbuda,ATG,Land area (sq. km),AG.LND.TOTL.K2,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0,440.0
Australia,AUS,Land area (sq. km),AG.LND.TOTL.K2,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7682300.0,7692020.0,7692020.0,7692020.0,7692020.0,7692020.0
Austria,AUT,Land area (sq. km),AG.LND.TOTL.K2,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82580.0,82578.0,82578.0,82578.0,82571.0,82561.0,82554.0,82531.0,82523.0,82520.0,82520.0,82520.0,82520.0,82520.0,82520.0
Azerbaijan,AZE,Land area (sq. km),AG.LND.TOTL.K2,83217.0,83217.0,83217.0,83217.0,83217.0,83217.0,83217.0,83217.0,83092.0,82705.0,82605.0,82604.0,82618.0,82652.0,82672.0,82660.0,82637.0,82629.0,82627.0,82622.0,82656.0,82658.0,82658.0,82659.0,82663.0,82663.0,82670.0,82662.0,82654.0,82654.0,82654.0
