Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Rural land area (sq. km),AG.LND.TOTL.RU.K2,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762,9.008321762
Africa Eastern and Southern,AFE,Rural land area (sq. km),AG.LND.TOTL.RU.K2,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02,11699793.02
Afghanistan,AFG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Rural land area (sq. km),AG.LND.TOTL.RU.K2,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942,5610850.942
Angola,AGO,Rural land area (sq. km),AG.LND.TOTL.RU.K2,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625,1248198.625
Albania,ALB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094,26686.71094
Andorra,AND,Rural land area (sq. km),AG.LND.TOTL.RU.K2,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Rural land area (sq. km),AG.LND.TOTL.RU.K2,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63,13247809.63
United Arab Emirates,ARE,Rural land area (sq. km),AG.LND.TOTL.RU.K2,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938,70575.10938
Argentina,ARG,Rural land area (sq. km),AG.LND.TOTL.RU.K2,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5,2690269.5
