Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,74.9138788166927,74.3166127076494,75.4580324952152,77.1074458508969,76.3925220046495,75.7982300759306,76.3737570244229,76.448273708015,73.9206307843838,73.8451411406965,73.4974716348688,72.9150127977174,72.2349163041194,73.2131860121571,73.163299816486,73.1456022054432,72.7092637018554,72.7864813003782,72.2212776854769,70.8615860959605,69.8947411515324,69.4781353790394,69.7574387810494,68.4532024375605,66.5848124732792,65.9063964892756,65.9063964892756,65.9063964892756,65.9063964892756,65.9063964892756,65.9063964892756
Afghanistan,AFG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,36.1930336641549,31.9646782392065,33.1510282243213,34.7537414741243,37.3954858352107,37.0184604202713,37.5895053256379,37.8146424707156,39.8180822520921,38.9600752321037,37.2952700357224,37.3035691081003,40.7717453424834,41.6138868179984,44.7645467043043,45.4952469771433,45.7373870420879,48.5174072191498,45.9338656127329,46.6414622914674,49.9770695608035,52.5041388944663,52.4288567737349,52.4533254736592,54.3912705686204,59.0046432728722,59.0046432728722,59.0046432728722,59.0046432728722,59.0046432728722,59.0046432728722
Angola,AGO,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,13.7931034482759,17.3447537473233,11.29883843717,6.31578947368421,6.282722513089,6.25,10.0194552529183,23.6474694589878,19.5751138088012,33.0337078651685,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,19.3889897156685,22.3811004041032,24.5909528392685,34.6568109820486,32.0425766195632,29.0921960714918,39.2005157962605,41.9790652385589,46.8248945147679,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295
Albania,ALB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,13.5922330097087,7.85751702462022,4.94991160872127,6.09237744403514,4.31362598325298,6.01386094343841,4.27950518221331,3.82555470543229,3.67978077901742,2.67084177564929,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,1.68356263577118,2.51748251748252,0.0,0.0192233756247597,0.0132135306553911,1.4077785731329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,84.7494565440167,84.7632308456308,84.8313650588919,84.6783989928293,84.8128085180623,85.0459457137208,84.7901507625048,85.370073047112,85.530340864696,86.6011190692125,87.5417677532965,89.4408237943882,91.0225657413442,91.5781598256627,91.7333465947839,90.0853538734945,89.922484938789,89.9847877496621,90.3294562343198,86.8171913538847,85.8455372831921,86.0365281737414,86.7452028557574,87.057507375065,86.2433897653434,86.100436770305,86.100436770305,86.100436770305,86.100436770305,86.100436770305,86.100436770305
United Arab Emirates,ARE,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.905857543635,99.7416929836606,99.7675988882433,99.7675988882433,99.7675988882433,99.7675988882433,99.7675988882433,99.7675988882433
Argentina,ARG,"Electricity production from oil, gas and coal sources (% of total)",EG.ELC.FOSL.ZS,50.2089081592432,55.0994908901031,52.4579016123548,48.4799272443809,44.6323654797154,49.2427068566739,55.8964497890538,49.6016487316385,53.5399664919202,63.8746318366535,59.8931503767855,50.336791877046,49.5435330894107,53.8270129305661,60.5091598861878,59.9596174081201,55.6756402698631,63.438998277708,67.6285319561857,64.3788088813064,65.6897886846076,62.7764270001158,66.0237268390512,64.0525460532938,64.2570688132501,66.935022110005,66.935022110005,66.935022110005,66.935022110005,66.935022110005,66.935022110005
