Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,11.9387674983914,12.8937267801666,11.7101409016075,11.1273316719234,10.952999854013,10.965851449401,10.4383213583193,10.1788820728646,12.2908831371401,12.6840816102251,13.0819880970814,14.5424530819491,15.057877745959,13.924104330273,13.8909017854161,14.6255128406428,15.5441381176566,15.23916031772,15.2164717866352,16.496023216685,17.791676746485,17.9032071758848,18.0558464005087,18.6916357485399,19.6886473528755,19.5349843477032,19.5349843477032,19.5349843477032,19.5349843477032,19.5349843477032,19.5349843477032
Afghanistan,AFG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,50.4262491500585,54.6449185944251,53.4620824694233,51.8585999801472,49.2189936352927,49.5993617186241,49.0383456238295,48.8157385952773,43.6555605416327,45.0439540976699,47.9977715916038,46.5348287630018,41.3762205081314,40.7977978039284,40.4254858419642,38.9486249976693,34.8214243195042,32.0914570852552,36.8172205292897,36.2720691419085,33.5069532291504,32.9182944748599,30.8022065432092,29.8793548906731,29.5919273226989,26.3100881432214,26.3100881432214,26.3100881432214,26.3100881432214,26.3100881432214,26.3100881432214
Angola,AGO,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,86.2068965517241,82.6552462526767,88.70116156283,93.6842105263158,93.717277486911,93.75,89.9805447470817,76.3525305410122,80.4248861911988,66.9662921348315,63.1141868512111,62.0879120879121,64.7592067988669,62.2055137844612,78.405017921147,79.6482412060301,80.6110102843315,77.6188995958968,75.4090471607315,65.3431890179514,67.9574233804368,70.9078039285082,60.7994842037395,58.0209347614411,53.1751054852321,53.1749283080705,53.1749283080705,53.1749283080705,53.1749283080705,53.1749283080705,53.1749283080705
Albania,ALB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,86.4077669902913,92.1424829753798,95.0500883912787,93.9076225559649,95.686374016747,93.9861390565616,95.7204948177867,96.1744452945677,96.3202192209826,97.3291582243507,96.1490163248221,95.3083109919571,93.9539860888176,97.8565705128205,97.5026757046022,98.713944515892,98.3164373642288,97.4825174825175,100.0,99.9807766243752,99.9867864693446,98.5922214268671,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Andorra,AND,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,7.19807199977056,6.65010884263576,5.73180086572603,5.35182789393234,5.28513634249897,5.04728195227579,5.2646147177812,5.13594839528354,4.77622531254643,4.8147210962451,4.38936134503233,4.49702696534352,3.65106258058486,3.81062394712385,3.75890025354014,4.32286023693058,3.97078183544413,3.96372413879962,3.17926904335477,3.10696289318962,3.54752325596881,3.24906136651157,3.21002534852469,3.39073692282828,2.83490847880908,2.43845551579809,2.43845551579809,2.43845551579809,2.43845551579809,2.43845551579809,2.43845551579809
United Arab Emirates,ARE,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,Electricity production from hydroelectric sources (% of total),EG.ELC.HYRO.ZS,35.2305873078439,30.2500792570352,34.6879977094182,38.7602312589321,42.4155518005798,40.0387972841901,32.8789139855925,38.74934299704,35.7171809976761,26.5848111648253,32.3630637723541,41.0841702269323,42.4496465489681,36.7412800173856,30.389856736385,32.23402944327,35.5107655166606,28.2707256900805,25.0131574619256,27.7774588046162,26.8131850586366,30.6425842306356,27.2320408178313,29.3691309912423,29.6079396562957,26.2415750877847,26.2415750877847,26.2415750877847,26.2415750877847,26.2415750877847,26.2415750877847
