Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.0,0.0,0.0004574988631664,0.0004411231584508,0.0004277680083582,0.0004138994281498,0.0003908605316527,0.0007537679260118,0.0007508863449393,0.0007501157107084,0.0007194032333625,0.0007052083059888,0.0013426252420551,0.0009637836968949,0.112331951507122,0.347532176278713,0.390572238129912,0.342046185779096,0.419001431194526,0.59466269246186,0.669038730340291,0.716106910709701,0.795562054580316,0.862605419829449,1.09021026509215,1.37240524194731,1.37240524194731,1.37240524194731,1.37240524194731,1.37240524194731,1.37240524194731
Afghanistan,AFG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,24.2850139799807,21.3003340799601,20.5923540283923,21.8855874381434,25.2187739186214,22.3327265233184,24.3210353591441,32.8368415292473,33.5043550662771,33.6718798869597,31.8217270220578,31.5987483266586,35.9903258661115,36.4578896503007,39.6563153778687,39.4365719775059,39.2352781154722,40.3619843037342,38.0528990792669,38.2241329380312,42.7329719324277,45.6794843872067,45.3207665554734,45.4366037677956,46.859500720914,51.1290372855397,51.1290372855397,51.1290372855397,51.1290372855397,51.1290372855397,51.1290372855397
Angola,AGO,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,ALB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,47.9432091783946,47.3188777122516,48.4013991464775,51.4690672442075,51.927137545062,51.7527791893504,52.080274184065,51.2224686818207,49.1975801555375,50.7410260016664,51.0907559251247,55.0380310684151,55.5904160102666,56.7999464081284,57.9209905673018,60.5437284686299,61.4616541037026,61.2486014027772,61.6241127287519,61.1128258885623,61.7602660860604,61.7795203475993,61.3309735964376,63.0350443483141,61.5925258712412,64.0714218284369,64.0714218284369,64.0714218284369,64.0714218284369,64.0714218284369,64.0714218284369
United Arab Emirates,ARE,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,96.2939110070258,96.2941617197856,96.2972871742736,96.2908421537046,96.2925513987193,96.893763509727,96.6317928646696,95.8661971830986,96.3494250119789,96.6115390831223,96.9106749449229,97.2018901139627,97.2362130783678,97.2558139534884,97.6648797145964,97.8648390391776,97.9675892643182,98.1368091871863,98.2946904706701,98.4112263036446,98.5214063523248,98.5999172861797,98.6208576998051,98.5963359755983,98.4776191130029,98.5255091625709,98.5255091625709,98.5255091625709,98.5255091625709,98.5255091625709,98.5255091625709
Argentina,ARG,Electricity production from natural gas sources (% of total),EG.ELC.NGAS.ZS,39.1643673630272,39.1641646308487,37.2559546178486,35.6941015980252,33.9281008262669,39.5538312318138,46.5100594093505,44.1547484024454,45.9493055180241,56.4964519616737,54.6473962433922,47.711257837208,47.6845109113945,51.7103118548299,54.8015773972945,52.4461802428643,46.2903180529433,51.0468742726807,54.2186112298938,51.2299149435281,49.9820377924846,44.818802825055,48.3141262432996,47.2353643279311,48.1996785915942,49.4822602564899,49.4822602564899,49.4822602564899,49.4822602564899,49.4822602564899,49.4822602564899
