Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.857834415002253,0.862841206481201,0.866045347974017,0.894156642179934,1.13486852617443,1.34931213576837,1.18977945835108,1.48680723405845,1.28439109301879,1.76764767228454,2.01612756149856,1.78029836846886,1.59973797590871,1.68116002861702,2.02779067775118,2.08158545722648,2.24875802339142,2.55949706931931,2.7150389234276,2.81162702282857,1.94127775328628,2.25573676873556,2.80287178432349,3.12188566845359,3.19227679716654,3.32966863660722,3.32966863660722,3.32966863660722,3.32966863660722,3.32966863660722,3.32966863660722
Afghanistan,AFG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,11.8653856285713,10.6233880369214,12.5163279919929,12.868154035981,12.1767119165893,14.6857338969529,13.2684699664938,4.97780094146834,6.31372718581503,5.28819534514398,5.12597560687031,5.37757506880766,4.48231930790242,4.82778745551732,4.80878328316175,5.75273998847007,6.19485024219437,7.86860563565085,7.55657747558124,8.06172083243711,6.92071470662289,6.43619761008299,6.74060499224104,6.68920067687155,7.20539315430573,7.58829847277315,7.58829847277315,7.58829847277315,7.58829847277315,7.58829847277315,7.58829847277315
Angola,AGO,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,13.7931034482759,17.3447537473233,11.29883843717,6.31578947368421,6.282722513089,6.25,10.0194552529183,23.6474694589878,19.5751138088012,33.0337078651685,36.8858131487889,37.9120879120879,35.2407932011331,37.7944862155388,21.594982078853,20.3517587939699,19.3889897156685,22.3811004041032,24.5909528392685,34.6568109820486,32.0425766195632,29.0921960714918,39.2005157962605,41.9790652385589,46.8248945147679,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295,46.8250716919295
Albania,ALB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,13.5922330097087,7.85751702462022,4.94991160872127,6.09237744403514,4.31362598325298,6.01386094343841,4.27950518221331,3.82555470543229,3.67978077901742,2.67084177564929,3.8509836751779,4.6916890080429,6.04601391118245,2.14342948717949,2.49732429539779,1.28605548410803,1.68356263577118,2.51748251748252,0.0,0.0192233756247597,0.0132135306553911,1.4077785731329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,AND,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,35.9280269980826,36.7219821764329,35.8359526260503,32.3801614936947,31.9766064817959,31.5257441990062,31.04036852585,32.4473935507426,34.4950698988935,34.2500585369594,34.5278470724391,32.0013935311835,33.197387414932,32.6112253221678,31.6342642767731,27.5042222626921,26.5195262787809,26.9734462948687,27.1717301872521,24.3444276013238,22.8497384012294,22.9708407346772,24.1785779433422,22.8127066597771,23.1662068182909,20.5098184498828,20.5098184498828,20.5098184498828,20.5098184498828,20.5098184498828,20.5098184498828
United Arab Emirates,ARE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.70608899297424,3.7058382802144,3.70271282572636,3.70915784629544,3.70744860128076,3.106236490273,3.36820713533042,4.13380281690141,3.65057498802108,3.38846091687766,3.08932505507711,2.79810988603725,2.76378692163223,2.74418604651163,2.33512028540359,2.13516096082243,2.03241073568176,1.86319081281371,1.70530952932993,1.58877369635543,1.47859364767518,1.40008271382027,1.37914230019493,1.30952156803675,1.2640738706577,1.24208972567247,1.24208972567247,1.24208972567247,1.24208972567247,1.24208972567247,1.24208972567247
Argentina,ARG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,9.74379188017343,14.2084553270052,13.7094898087006,10.8694946082889,7.06434960546917,6.84175184660151,6.63547914932698,2.82442114581316,5.1478138680214,4.76095790821082,3.24260488134068,1.11413194251789,0.898724734467692,1.09855481908073,4.03234662806369,5.44691016295229,7.51948647409445,10.2127263417586,11.8170454919246,11.7094136270803,13.3024117257291,15.1217629578171,14.7890906677874,14.2682523476035,13.840106557021,15.4231944645654,15.4231944645654,15.4231944645654,15.4231944645654,15.4231944645654,15.4231944645654
