Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Eastern and Southern,AFE,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-21.0646203930172,-20.0101779787106,-24.0523116930385,-22.801165912311,-24.1143692014654,-24.8826625250929,-24.7003346500813,-27.2508679039627,-28.9027419345229,-28.4434900444593,-31.3910700728529,-29.1363228434745,-32.9108840507047,-32.4199943225502,-31.1618160686318,-35.9394233025396,-38.8057893242221,-41.694275482213,-40.0256390924859,-38.314270953454,-38.2841587171351,-34.6227253100243,-32.2449915534232,-32.0350067306814,-31.655426118373,-31.655426118373,-31.655426118373,-31.655426118373,-31.655426118373,-31.655426118373,-31.655426118373
Afghanistan,AFG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Africa Western and Central,AFW,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-119.371137664242,-119.00609494915,-117.331645731516,-117.923329704402,-123.845113211387,-121.850438036359,-126.846205648984,-133.068881502028,-126.643956064795,-115.455603975616,-120.542230544576,-118.271194270096,-98.8353015531815,-108.572204532582,-111.508331410797,-108.528980959958,-106.886549470491,-99.3167630018818,-91.9476520844552,-88.7090224519418,-95.4026024535284,-90.7796926149948,-85.6644762283699,-76.4861600565048,-78.2114380864684,-78.2114380864684,-78.2114380864684,-78.2114380864684,-78.2114380864684,-78.2114380864684,-78.2114380864684
Angola,AGO,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-387.018022299596,-397.266037863952,-440.718544685688,-386.724353281047,-418.093192540974,-472.406507849653,-507.334018380659,-520.232164701751,-542.370708114417,-519.352405948731,-504.159001757244,-475.111255280346,-550.714185301334,-501.436655943393,-555.809535409895,-735.864294703601,-759.628788823642,-858.188815303372,-885.245940803771,-764.549421482873,-703.772381443532,-619.053894591281,-589.506131357009,-594.546142867359,-540.997471229649,-540.997471229649,-540.997471229649,-540.997471229649,-540.997471229649,-540.997471229649,-540.997471229649
Albania,ALB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,7.9650583526857,-2.78362383080424,-3.37625065068072,-0.0977559707408288,9.33073227807364,6.63591634528518,6.29130250916267,8.69985703820492,18.4129029358224,40.2496724312441,45.0024091494141,51.6887842055878,53.0441009170166,49.0146346811438,46.0038161805316,47.7661709472783,42.3770038434083,47.9983914429519,45.2193265320444,41.6672458370863,23.7139849400341,33.2602886181185,16.2978686080168,12.3207053334506,13.7979708979656,13.7979708979656,13.7979708979656,13.7979708979656,13.7979708979656,13.7979708979656,13.7979708979656
Andorra,AND,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Arab World,ARB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-331.876805392999,-317.169768141152,-308.63151764619,-300.617570248482,-282.05385730437,-279.416241489503,-270.325424116402,-276.436690553554,-291.77000116161,-282.560631079468,-296.436645893175,-267.794144286181,-238.098005637259,-256.861651116822,-258.618606259193,-255.422584345803,-238.909089657922,-224.676770107057,-214.992896087809,-182.798546833642,-178.609565845771,-186.096075188892,-180.638024912416,-178.499291141439,-164.539204700971,-164.539204700971,-164.539204700971,-164.539204700971,-164.539204700971,-164.539204700971,-164.539204700971
United Arab Emirates,ARE,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-439.553111532586,-441.926854026259,-499.196571731654,-458.344879858301,-412.653231500643,-394.967458765432,-379.016629771755,-376.872349469631,-376.628531178432,-341.434733998228,-388.166374977984,-285.944906952115,-271.816526365869,-313.704278904143,-306.340317757657,-294.154192845882,-300.816708967335,-265.599187761877,-212.820850154585,-179.80683983111,-181.459592298821,-191.249161744695,-183.354428506649,-187.524243326506,-183.843970434642,-183.843970434642,-183.843970434642,-183.843970434642,-183.843970434642,-183.843970434642,-183.843970434642
Argentina,ARG,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,-5.10971172102555,-5.7546208283955,-8.78136796092807,-14.0666302905832,-17.1698296019328,-24.2004455481205,-29.5064679435146,-32.7760339001579,-32.9714806525567,-32.320275667854,-34.6525633697612,-45.5351093725045,-45.6221260182281,-41.4171825248214,-29.824428220494,-26.5428025479915,-18.1588190091663,-12.6699465762139,-6.23159275095422,-7.35451320564135,-1.07204129175496,3.21790919768797,6.14144796059768,12.6885776303415,13.0293607429001,13.0293607429001,13.0293607429001,13.0293607429001,13.0293607429001,13.0293607429001,13.0293607429001
Armenia,ARM,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS,98.0705002296298,98.1804916179142,93.3084975367967,82.5109211533322,77.0682903970392,84.3189820864285,57.650767805508,70.3727555097466,70.4979784178239,64.1211544062544,68.0725205996227,69.5860141742844,60.1836090595818,64.5125697992698,63.8140498530854,65.4283630828704,66.4505059427263,70.7846830848914,73.2174260977361,68.1066449039644,64.6512304078486,67.3442167531802,72.706661599216,72.0464797313162,71.3413045219602,71.3413045219602,71.3413045219602,71.3413045219602,71.3413045219602,71.3413045219602,71.3413045219602
