Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,Rural population (% of total population),SP.RUR.TOTL.ZS,49.681,49.696,50.002,50.412,50.823,51.233,51.644,52.054,52.464,52.873,53.283,53.661,54.028,54.394,54.76,55.125,55.489,55.853,56.217,56.579,56.941,57.06,57.043,57.01,56.959,56.892,56.808,56.707,56.589,56.454,56.303
Africa Eastern and Southern,AFE,Rural population (% of total population),SP.RUR.TOTL.ZS,75.0807758130966,74.5917644606381,74.0792811676466,73.5860695416592,73.187712318403,72.8303828180471,72.4940584726558,72.1803030096106,71.8942601791196,71.6154581370608,71.3307135474064,71.0229260212462,70.6958012839288,70.368727459335,70.0381757735476,69.6902953280486,69.3537567500682,69.0859062205749,68.668678936683,68.2435285957796,67.8065901995839,67.3584518915485,66.9283128426341,66.4924520296653,66.0475756414397,65.5949160938201,65.1348990608866,64.667627399344,64.1922298807226,63.7086779320965,63.2166938509081
Afghanistan,AFG,Rural population (% of total population),SP.RUR.TOTL.ZS,78.823,78.734,78.645,78.556,78.466,78.376,78.286,78.195,78.105,78.014,77.922,77.831,77.739,77.647,77.5,77.297,77.093,76.887,76.68,76.472,76.263,76.052,75.84,75.627,75.413,75.197,74.98,74.75,74.505,74.246,73.974
Africa Western and Central,AFW,Rural population (% of total population),SP.RUR.TOTL.ZS,68.9991658471143,68.5308911003893,68.1216967269511,67.7184882795054,67.3158821415115,66.9074823338034,66.4952379207477,66.0451092831158,65.5851328521205,65.1158729943852,64.6470186714762,64.0467518449379,63.4420233821637,62.8255636661171,62.2001812228773,61.5686077318953,60.9292095284351,60.2911753003461,59.6540399817972,59.0156832669963,58.3741205492766,57.7353366076057,57.0989645749267,56.4692956838611,55.8428690387667,55.2186269982415,54.5981908883918,53.9806664573227,53.3668617220008,52.7571471216999,52.1513745647494
Angola,AGO,Rural population (% of total population),SP.RUR.TOTL.ZS,62.856,61.42,59.961,58.489,57.0,55.831,54.654,53.475,52.29,51.103,49.913,48.726,47.539,46.355,45.173,44.0,43.236,42.476,41.718,40.966,40.217,39.472,38.732,37.998,37.269,36.554,35.851,35.161,34.486,33.823,33.175
Albania,ALB,Rural population (% of total population),SP.RUR.TOTL.ZS,63.572,63.3,62.751,62.201,61.646,61.089,60.527,59.965,59.399,58.831,58.259,57.565,56.499,55.427,54.349,53.269,52.185,51.098,50.009,48.924,47.837,46.753,45.67,44.613,43.577,42.566,41.579,40.617,39.681,38.771,37.888
Andorra,AND,Rural population (% of total population),SP.RUR.TOTL.ZS,5.288,5.47,5.676,5.889,6.11,6.339,6.575,6.81999999999999,7.07299999999999,7.334,7.605,7.944,8.35899999999999,8.79300000000001,9.249,9.715,10.193,10.692,10.996,11.088,11.181,11.274,11.369,11.463,11.559,11.655,11.752,11.85,11.938,12.016,12.084
Arab World,ARB,Rural population (% of total population),SP.RUR.TOTL.ZS,49.604752420847,49.2169475588451,49.221288774077,48.8487894705797,48.590574999378,48.1043139816606,47.9374291298761,47.735930796405,47.5029841661066,47.2591540134642,47.0106983130102,46.7485558410438,46.4843743051309,46.1988327605628,45.8944176849583,45.5296936885486,45.1342637852315,44.8509202638075,44.4209256477477,43.9902311980118,43.5591194815926,43.2081042709601,42.9016037264688,42.5992659504739,42.3076745267113,41.9685338536652,41.6543730196991,41.3576776470594,41.0734049471063,40.7983540420767,40.5282343914474
United Arab Emirates,ARE,Rural population (% of total population),SP.RUR.TOTL.ZS,20.949,21.094,21.24,21.386,21.533,21.681,21.507,21.062,20.622,20.19,19.764,19.345,18.933,18.528,18.129,17.738,17.352,16.977,16.613,16.258,15.913,15.577,15.251,14.934,14.625,14.326,14.035,13.752,13.478,13.211,12.952
Argentina,ARG,Rural population (% of total population),SP.RUR.TOTL.ZS,13.016,12.672,12.458,12.248,12.04,11.836,11.634,11.436,11.241,11.048,10.858,10.671,10.49,10.314,10.14,9.96899999999999,9.8,9.634,9.47,9.309,9.151,9.01000000000001,8.879,8.751,8.623,8.497,8.373,8.251,8.13,8.009,7.889
Armenia,ARM,Rural population (% of total population),SP.RUR.TOTL.ZS,32.579,32.85,33.122,33.394,33.668,33.943,34.219,34.496,34.774,35.053,35.334,35.615,35.764,35.863,35.962,36.062,36.161,36.261,36.36,36.46,36.56,36.66,36.76,36.836,36.888,36.915,36.918,36.897,36.851,36.781,36.687
American Samoa,ASM,Rural population (% of total population),SP.RUR.TOTL.ZS,19.052,18.114,17.211,16.346,15.515,14.72,13.957,13.229,12.533,11.869,11.413,11.509,11.606,11.703,11.802,11.9,12.0,12.1,12.201,12.303,12.406,12.498,12.58,12.652,12.712,12.762,12.802,12.83,12.847,12.853,12.847
Antigua and Barbuda,ATG,Rural population (% of total population),SP.RUR.TOTL.ZS,64.574,64.535,64.915,65.291,65.666,66.039,66.41,66.779,67.145,67.51,67.873,68.26,68.902,69.536,70.163,70.782,71.394,71.998,72.595,73.182,73.762,74.297,74.474,74.65,74.825,75.0,75.154,75.287,75.401,75.494,75.567
