Rule1Name,tag1,Rule2Name,tag2,frequency
Access to electricity (% of population),high,CO2 emissions (kt),low,0.4794007490636704
GDP per capita (current US$),low,CO2 emissions (kt),low,0.40823970037453183
Fuel imports (% of merchandise imports),high,CO2 emissions (kt),low,0.3857677902621723
Food imports (% of merchandise imports),high,CO2 emissions (kt),low,0.31835205992509363
Land area (sq. km),below_average,CO2 emissions (kt),low,0.26217228464419473
Fuel exports (% of merchandise exports),low,CO2 emissions (kt),low,0.2247191011235955
Fuel exports (% of merchandise exports),high,CO2 emissions (kt),low,0.20224719101123595
Renewable energy consumption (% of total final energy consumption),high,CO2 emissions (kt),low,0.1947565543071161
Forest area (% of land area),high,CO2 emissions (kt),low,0.1797752808988764
Agricultural land (% of land area),high,CO2 emissions (kt),low,0.17228464419475656
Food imports (% of merchandise imports),above_average,CO2 emissions (kt),low,0.16104868913857678
Agricultural land (% of land area),above_average,CO2 emissions (kt),low,0.149812734082397
Food exports (% of merchandise exports),average,CO2 emissions (kt),low,0.149812734082397
Food exports (% of merchandise exports),low,CO2 emissions (kt),low,0.14606741573033707
Land area (sq. km),very_low,CO2 emissions (kt),low,0.14606741573033707
Renewable electricity output (% of total electricity output),low,CO2 emissions (kt),low,0.13857677902621723
Agricultural land (% of land area),low,CO2 emissions (kt),low,0.1348314606741573
Land area (sq. km),low,CO2 emissions (kt),low,0.1348314606741573
Renewable energy consumption (% of total final energy consumption),low,CO2 emissions (kt),low,0.13108614232209737
Forest area (% of land area),below_average,CO2 emissions (kt),low,0.13108614232209737
Renewable energy consumption (% of total final energy consumption),below_average,CO2 emissions (kt),low,0.12734082397003746
Forest area (% of land area),average,CO2 emissions (kt),low,0.12359550561797752
Renewable electricity output (% of total electricity output),high,CO2 emissions (kt),low,0.12359550561797752
Renewable energy consumption (% of total final energy consumption),average,CO2 emissions (kt),low,0.12359550561797752
GDP per capita (current US$),below_average,CO2 emissions (kt),low,0.1198501872659176
Food exports (% of merchandise exports),high,CO2 emissions (kt),low,0.1198501872659176
Renewable electricity output (% of total electricity output),above_average,CO2 emissions (kt),low,0.11610486891385768
Forest area (% of land area),above_average,CO2 emissions (kt),low,0.11235955056179775
Food exports (% of merchandise exports),above_average,CO2 emissions (kt),low,0.11235955056179775
Forest area (% of land area),low,CO2 emissions (kt),low,0.10861423220973783
Agricultural land (% of land area),below_average,CO2 emissions (kt),low,0.10861423220973783
