"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","38.6768540271874","38.4068734749838","38.1812162977377","38.453768559524","38.4302517575366","38.4891968091956","26.7635916306887","25.5512883186342","13.3253678297315","11.6900860857792","11.3430248039349","9.90514818122231","9.13746066337608","9.62415967547847","8.9403125148496","8.01542409082439","10.7381834721823","7.88637025329618","6.5492189723632","6.02934056837559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","66.529419197687","66.7808105760912","66.9630533378204","67.2882977849506","66.6211063444623","67.0051664543118","67.6172388417136","68.0477749401422","67.6250258523786","67.5208369834327","68.5166295762459","68.3117035034266","68.7537194961724","68.4625646091667","69.068109372879","68.7374730817299","69.5094111647469","68.5729261775668","69.1937686028799","69.554246399565","84.3992941288692","84.2163091768977","84.1025882796662","83.8860544217687","83.9524031731218","84.6454676660925","85.4197071700956","86.2468537778411","87.7021916435048","88.3871267789043","89.065606361829","88.8952245188881","89.3716577540107","89.3733088941259","89.2875670067439","89.4833409782745","88.7329367966109","89.0149540953374","88.9372957834137","","","","","","","","","","","","",
"Afghanistan","AFG","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","85.987934251299","85.3886825296322","82.261191158813","82.7904570592006","82.5157611116153","83.3499906618305","82.8863949194536","81.9677442603674","80.8986985925098","80.1417840783066","79.9919807659542","79.3217752605778","79.5205286351821","78.2664262103831","77.6083726213339","76.1607517443705","72.9381897367176","73.9383892457355","74.1897310245491","73.875128919315","83.3846153846154","84.8024316109423","85.625","86.5625","86.9565217391304","88.562091503268","89.3617021276596","90.2506963788301","90.979381443299","91.566265060241","90.3314917127072","88.8198757763975","90","90.1041666666667","90.0262467191601","90.176322418136","83.743842364532","78.1176470588235","75.1565762004175","","","","","","","","","","","","",
"Africa Western and Central","AFW","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","71.5234515253634","72.1558183733138","71.8986348809245","71.5819279590637","70.2112772312135","70.8971004791041","71.5858334122155","72.2416475147506","71.6335521301795","71.7186957794357","72.8137062697999","72.5289246930058","72.7547299174637","72.3513106141484","72.090037648982","71.6553322823167","71.9088659420384","71.7660284389101","71.9173898916692","72.3324850865144","77.7990538409552","77.7227722772277","77.120253164557","76.5804597701149","47.9936708860759","48.1872447376689","49.0454489469146","49.5224770363161","51.070966223373","50.9361976873863","52.5279945707499","50.9036847014925","51.2712597290285","53.1469304304581","52.8393966282165","54.7824704573155","54.6435371271419","54.5037201203103","54.7830168996453","","","","","","","","","","","","",
"Angola","AGO","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","67.8550157769694","52.745105457989","56.358580857109","59.63973114141","56.3101121129066","62.8671571247121","62.1208860230148","67.1528070463484","70.0056526825318","76.3976316427727","76.3882906032269","77.0467961449236","80.741867011398","82.3090108508628","83.0945237737515","87.4583512249603","87.4923070534202","88.1668185411009","87.2573073396296","87.6318798276047","99.0813648293963","99.0831696136215","99.0861618798956","99.0176817288802","99.0144546649146","98.948060486522","98.7573099415205","98.7351190476191","98.7886944818304","98.6171761280931","98.5875706214689","98.551724137931","98.5350318471338","98.6666666666667","98.6195472114854","98.5409652076319","98.2381530984204","98.2406356413167","97.9640718562874","","","","","","","","","","","","",
"Albania","ALB","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","75.9671054061056","75.4549218676322","74.9615644879184","74.925919125447","74.8378841927271","74.7534027725172","76.0686380937064","75.232947252754","75.8462086950272","76.1662131404965","75.2485814361646","75.9539671420834","77.1899002053216","67.3491013590022","69.6580985967699","68.0864786429852","66.6890635989149","68.1951189985039","68.9147468073705","68.4289339228646","84.9056603773585","83.4710743801653","84.9557522123894","88.034188034188","91.970802919708","94.7368421052632","93.2773109243697","92.0353982300885","92.3076923076923","91.9642857142857","91.5254237288136","90.4347826086957","92.2480620155039","91.6030534351145","91.3385826771654","90.625","90.1639344262295","90.1639344262295","90.3508771929825","","","","","","","","","","","","",
"Andorra","AND","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","80.625808344902","80.0210681113659","79.0665532470803","78.854532342435","77.3168539485817","77.6523086195925","77.2211043846276","77.0553124867694","76.1939846645541","75.5152499008846","73.1043889829939","70.7307964472467","69.6332197090197","68.5987000074044","68.7135718067921","68.8385923704375","68.3182155057889","68.7889916040046","68.1275671939531","68.4593687406093","81.324163969795","81.1832374691865","81.4970221981592","82.3804573804574","82.0910840282232","82.0654217320466","82.2644687763205","81.9969205258794","82.2396010427292","82.0435510887772","79.6827397835907","79.3176074136478","79.6337741607325","79.1495901639344","79.5521799171434","79.6711798839458","78.1331278296889","77.2461306153265","75.9353741496599","","","","","","","","","","","","",
"United Arab Emirates","ARE","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","35.5794773548071","32.3371850447224","31.366303753934","28.6449908730184","28.3905813135123","23.4091728408531","14.822324529625","16.4222178415388","17.6885487051129","23.3800309047068","20.7452579610651","21.7690745987502","21.87605927267","22.651070203274","14.5443476966106","15.6334308548648","14.5115888214662","15.2431046147946","15.6322490833436","18.1354578642503","14.7435897435897","16.1676646706587","17.4157303370787","17.6470588235294","18.6868686868687","17.3913043478261","16.030534351145","14.7260273972603","13.9318885448916","13.2394366197183","12.4675324675325","12.4681933842239","13.7592137592138","14.1826923076923","13.9479905437352","14.3187066974596","13.6563876651982","13.4453781512605","13.5728542914172","","","","","","","","","","","","",
"Argentina","ARG","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","81.1944316012624","86.5781052325734","84.3539795860397","87.0042766467629","85.7842674266492","84.4764772635162","82.7448564102564","86.5813361483417","83.8345083503896","83.0180151171067","82.1348746269681","83.5779807208939","82.8299658365628","82.8451443821351","86.6925381995983","85.4730270089913","84.8111807540671","81.7695507673282","85.1013446722519","85.0714445717858","95.8603210363278","95.6755228942906","95.595567867036","95.3677709152162","95.3589953589954","95.0980392156863","94.9216639654241","94.7072975140337","94.57343412527","94.5337620578778","94.7275031685678","94.5815314169423","94.5099022311356","94.8618406028774","94.7476125511596","94.5796968305007","94.6138437569553","94.7613012251796","94.4746573852512","","","","","","","","","","","","",
"Armenia","ARM","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","81.0137942173175","81.8080801687764","81.3645947488889","81.4341041795896","81.1490320580027","79.845996835443","79.1174360195326","79.3237012544004","79.1747546001321","78.8512703445917","78.8005861699595","78.5240058773359","78.6775670340106","79.4883311864434","79.7444475868381","79.9184105365389","79.685805068583","79.7291595611427","79.0612374236591","78.4449841454014","87.5","86.7469879518072","86.6666666666667","84.6153846153846","84.4827586206897","84.2105263157895","85.9649122807018","85.7142857142857","87.037037037037","86.5384615384615","86.7924528301887","87.037037037037","87.3015873015873","88.5245901639344","89.3939393939394","87.5","91.5789473684211","89.873417721519","87.1794871794872","","","","","","","","","","","","",
"American Samoa","ASM","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","93.6689121480562","93.4108941624563","93.2331434234978","93.1761135633537","93.0432150761486","93.4414078182578","93.4086120183133","93.5973415525478","93.3949533290928","93.582303818204","94.5667151772506","96.3150277333075","92.5471666027886","92.6492198621545","92.6597977085813","92.5898468383505","92.5629221012363","92.4975100036489","92.4165790173204","92.6029298219107","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","55.9248658535476","57.1147765598651","56.0797744091171","53.4765376186209","51.8892390638676","49.2403775795917","47.1187156420492","46.9675642456131","48.5138994153313","55.6139835339884","54.3131790482887","56.1401945508825","51.3300737022629","59.6207155886659","55.4775561211945","59.5444577592411","64.9603174573351","65.0618844756532","59.6985688131625","59.1230549727701","50","50","50","50","50","50","50","50","50","50","50","50","50","50","50","33.3333333333333","33.3333333333333","33.3333333333333","33.3333333333333","","","","","","","","","","","","",
"Australia","AUS","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","82.8247296290603","84.7953975705578","80.8895314595087","83.3015626679291","82.5809409176437","81.6872307732552","79.4481380068655","78.2416681703651","80.4471205990286","77.597449575056","76.5074684701728","80.5021356711346","77.0365186778121","79.4124233263648","79.6430724911507","76.3177809780255","78.6388656658037","80.6438822381302","80.8942373409352","80.6057620667494","95.8039266007956","95.9096221269965","95.4318718823838","94.8414265034873","94.7396176664469","94.5589012150026","93.7267790797371","93.3777713374873","93.4031556039173","94.5659377070908","94.7800527062639","94.8410153028498","94.1355002937145","89.4719896973599","92.2808243101642","89.140773620799","91.7726887192536","91.0484286450283","88.1964573268921","","","","","","","","","","","","",
"Austria","AUT","Agricultural nitrous oxide emissions (% of total)","EN.ATM.NOXE.AG.ZS","","","","","","","","","","","44.2194005916815","44.5633525224452","43.1244089819667","41.5354131938457","41.1024311846731","41.2773867737387","42.7382238767531","42.1675008862432","42.909877606445","43.3950170691789","44.0571920308751","43.988778862659","46.8657057434472","47.7531992380652","49.3216216618019","52.6157543086692","51.1755013401363","53.3409935165842","52.0526989955719","52.9134434085714","66.1224489795918","65.173116089613","65.7446808510638","64.0860215053764","64.7826086956522","63.3986928104575","63.1130063965885","62.9310344827586","62.2030237580993","61.3390928725702","60.1307189542484","61.8834080717489","60.6896551724138","58.7557603686636","67.5461741424802","67.3684210526316","66.57824933687","65.8469945355191","65.4353562005277","","","","","","","","","","","","",
