"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.38747276458","175.334901401951","168.770831965808","163.293105588603","164.569153093089","145.073177713897","139.045679371545","134.302158273381","133.969043670536","133.642516921534","146.500479386385","143.963133640553","142.960905789361","145.889295889296","140.062597809077","138.607151203552","151.599474145486","147.674674895305","161.891280319633","162.882083851024","145.8337622704","142.239676608958","143.804237885046","148.425802450609","","",
"Africa Eastern and Southern","AFE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9492569179227","43.0022809446209","43.8555271057654","46.7287990280986","49.0007116136462","51.2918029095428","50.8830639107668","48.5965188520425","49.5214192781197","47.6151442246428","65.2088358819317","66.4934091558388","62.9517930411331","60.0442748255697","60.9861661708488","63.7969883304108","64.3510031832263","70.3252683267681","77.7482370241479","66.8301557672347","66.5255217881124","67.2406171844135","64.828388052497","64.9315645393649","63.0746606883591","57.6419813891532","53.9804126635975","52.8348520863335","55.8030196402069","55.1013282270206","48.9205186784005",
"Afghanistan","AFG","Trade (% of GDP)","NE.TRD.GNFS.ZS","11.157026581176","12.5506095641626","14.2276444262674","26.0355114281704","26.9444479475307","32.6710826152849","27.1428573129252","20.9827354616946","24.110033071763","25.0788642331499","21.7281100678648","27.0631374536424","32.8690810352185","27.6923087928994","28.8659801551706","26.9483576711852","28.0869566604915","26.4860798295929","24.7138040330125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Trade (% of GDP)","NE.TRD.GNFS.ZS","33.2193942222449","33.0808017871262","29.3815914362636","29.8692447708219","31.3791283101179","33.9120546610352","31.8067958696304","34.7686483019232","33.6606000809217","34.6029448742241","30.3928912917238","33.4471422634117","32.8321172630639","38.3506431319265","46.7619347982986","46.3525751837763","46.866856286341","50.4224367546754","47.1688262459112","47.5311887486744","51.3262990308274","31.3224986943793","27.7353444934643","25.3246458094855","25.9517942112778","27.8089447285284","25.0878306368448","31.443292475373","28.6315701108547","40.2246639706897","37.8521750707789","41.1125893897411","41.9541063509686","39.2088763378549","36.6382066095089","47.2899637857403","48.5106409557517","57.3266772109928","48.8612408295828","45.0568400376275","57.620049944191","57.6944532916906","51.7688491733404","56.9826511112629","47.1165190266117","49.5805827571361","53.8395198443902","52.4609499590442","53.1083417547484","48.9583663763394","55.0481126692587","62.5044053591787","57.4064089467929","45.656204380036","45.2796840710771","38.3811284918727","36.9157830215219","40.8760134151349","45.089375875447","45.5075564992457","35.5050409264421",
"Angola","AGO","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","152.547109454858","150.335794690093","105.301742600149","103.901226814948","103.579924362095","106.590962129525","94.6251593320477","108.060067893978","121.36470790564","122.446142344145","104.123629959119","99.9825078537909","91.8000986064676","86.8119307833605","79.3329275092697","62.8885207850511","53.3701552785467","52.256821448818","66.3781108165459","64.2885787245042","62.6161581717947",
"Albania","ALB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","47.4940925041872","46.1004662837047","44.8105616083383","40.4106676033234","38.1156830212927","35.9348239721958","31.637304878056","32.159563916938","36.89787073527","40.066086463479","39.4369634031142","36.0705200632829","108.785472241159","80.518332770413","53.1025847356112","47.6105948729712","44.8954392242856","45.4255927667713","48.1373951889265","51.0111010608718","63.4542380063455","66.4910446789301","68.525131284197","67.0206365437758","67.0471468695653","70.8723046407458","74.2670943336644","83.2020614301136","77.451702570812","75.0948401942781","76.5434094756067","81.2185485601651","76.5101740083204","75.8737816632559","75.4078340584307","71.801040129135","74.8098214119328","78.1942750821788","76.8558877534769","76.8541258217678","61.330873937357",
"Andorra","AND","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","59.8099500493397","60.3333959924485","63.1624577672634","83.3280909787371","74.7011018420703","83.3426767049816","77.2066165017263","81.6419889197734","79.7783176902299","82.10875835599","86.8092685308868","88.5704334680431","84.2637995558366","76.0011109566927","72.3255021519213","64.8769065518093","57.2122983859076","59.4646170719169","61.4132213681312","66.2394242065121","65.9064937876397","69.2238025402584","64.3708113150564","59.9645186331232","58.2236766265402","61.6298755359616","61.1574337702261","69.429096072565","67.4506177397085","67.5969291634566","72.1712270240212","73.776721203945","74.0206330175875","80.8620817507711","85.4247962237456","89.7005196012862","89.9657919348371","93.970604852877","97.8574789620902","89.6258661115967","87.865299208726","91.3951928352667","92.7695206739774","92.1088680197813","90.895372225297","86.8518421351617","80.7492586310322","84.4065654257042","85.2808638703879","84.0469580103143","",
"United Arab Emirates","ARE","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89.8645799289427","93.0716588147781","102.300169490783","116.622612523831","119.552871642254","119.470669577786","136.798152865771","148.513544025723","153.461944358373","143.877531844201","151.665953575846","164.249347960724","165.275953290011","168.492307775439","175.221307567909","176.747648042171","175.004350441289","159.728773537434","160.936092884701","",
"Argentina","ARG","Trade (% of GDP)","NE.TRD.GNFS.ZS","15.2080960873797","11.9898923109727","14.0755256495637","15.7809062353749","11.1274296795488","10.3764574099485","11.6426054171411","12.4926603729179","11.8881648852942","12.7974266330598","10.3374440809233","12.6151889155439","14.0356431972715","13.3221685115576","13.1915798576321","11.8027242947756","15.0968846246649","16.9422865680472","14.3237963724531","12.8406846410014","11.5456724604615","14.2929774789475","15.6114860999886","14.9876701068591","12.3463814292217","18.009425070688","14.4860327921395","15.448969882952","15.743458608705","19.6377977018838","14.9908589999441","13.7530541588891","14.730980586353","16.223151447784","18.1343458669981","19.7714230903755","21.5064684057215","23.3361788437439","23.3500279730689","21.3827449624898","22.6224447777343","21.8522554515453","41.7527243585642","40.6447480311085","40.692646108947","40.5512709706238","40.4334798719151","40.945170618571","40.4026733790382","34.0571269054879","34.9710132635696","35.2061549999644","30.5265423717108","29.3339290021037","28.4067936452275","22.4862260889792","26.0938878488799","25.2896011376779","31.1749415365976","32.6276437330845","30.5002274511596",
"Armenia","ARM","Trade (% of GDP)","NE.TRD.GNFS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.3357185450209","100.865855188857","101.076759405526","107.973146280234","112.429364602262","86.1148570667578","79.2295601199241","78.5477450545048","71.8424518815414","70.5604791440404","72.2333302273367","69.8642663925336","73.9845018432309","80.0513676022426","73.0706339919371","70.1397385835334","61.0301379818566","56.9750470853147","54.5423279613666","57.2742357441995","64.642975973633","69.4355736620453","75.9616759606704","77.5550481598824","75.778866962639","71.6820743427575","76.0779674593548","87.202376539837","92.473107021212","95.7371808943261","70.0572878031249",
