"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.74440384930716","4.45035121534293","4.09518518217386","4.69283566439065","4.70648201203389","5.03842580148275","5.37036959093173","5.70231338038072","5.01615669019024","4.33","4.53","5.53","6.58","5.77","6.86341232251935","6.92738328003371","6.13331995844646","6.24244108655218","5.78798338143624","5.78798338143624","5.78798338143624","5.78798338143624","",
"Africa Eastern and Southern","AFE","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","4.29412573345992","4.32537038220344","4.31121251092544","4.34529498393897","4.34322048668213","4.36190843978151","4.35104083707503","4.36833441499878","4.50646778122571","4.53698516714383","4.6783590261966","4.5842611536121","4.50810505939624","4.54151825241883","4.51329043297208","4.46725093864261","4.57956189543271","4.50748961474696","4.61074656806893","4.46055525686562","4.64317827521034","5.2855536878039","6.17576158492852","6.12262599084639","6.08182359052287","7.02908361252629","6.55717348968767","7.40935377964149","4.97614724942952","4.81895481862466","4.22373215497746","4.24173941941159","4.19973250329814","4.30510952446972","4.48368783909431","4.43366212006233","4.36781922366936","4.23031447554038","4.16219276562949","4.33466939727252","4.51243103403928","4.71617853706919","4.79818544121726","4.47195301613965","4.41177002195416","4.33543020797027","4.30508762845887","4.45611502393849","4.52218632730133","4.62460962738963","",
"Afghanistan","AFG","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","1.0177784","1","1","1.3","1.5168933","1.2","1.5168933","1.4","1.5168933","1.4","1.6","1.7","1.6","1.64445844155824","1.68891688311648","1.73337532467471","1.77783376623295","1.82229220779119","1.86675064934942","1.91120909090766","1.9556675324659","2.00012597402415","2.04458441558238","2.08904285714062","2.13350129869886","2.1779597402571","2.22241818181533","2.26687662337357","2.31133506493181","2.35579350649004","2.40025194804829","2.44471038960653","2.48916883116477","2.533627272723","2.57808571428124","2.62254415583948","2.66700259739772","2.71146103895595","2.75591948051419","2.80037792207244","2.84483636363068","2.86292073824863","2.20789279951852","2.79876799271427","2.98447395362018","2.59352048920558","2.59352048920558","2.59352048920558","2.59352048920558","2.59352048920558","",
"Africa Western and Central","AFW","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","2.41441775459669","2.68729521176028","3.64634186529192","3.60964020426987","2.90407313635003","2.65261916533332","3.56223662876991","2.73575367406071","3.55708197408115","3.05259700062756","3.53760643542356","4.85528320773161","4.76197994826983","4.36990726390093","3.88682213480833","3.60653237067629","3.39001546397355","3.16852717126457","2.89560219200382","2.7839512410603","2.61537943802555","2.52082702113792","2.59024020893049","2.90174602470554","2.32112448047006","2.14521378724544","1.99587186723848","1.94871161525704","1.96595948257599","1.99683694846249","1.92572570585414","1.96129882906213","1.96071167876711","2.09411211231136","2.02102328863083","1.93760809972956","1.73451240112112","1.75553879475767","1.77776119161461","1.92346461529457","1.87551846409296","2.0811340745204","1.9781575127206","1.97385502438391","1.82011724923461","1.73963657510499","1.89940476750208","1.99479296382704","2.00232465378875","1.92866076151495","",
"Angola","AGO","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","5.0181138","4.8","6.7","5.3","5.0011017","5.0011017","4.4","4.4182264","4.4182264","4.4182264","4.4182264","4.4182264","4.4182264","4.4182264","2.8","2.99979","2.99","2.915","2.84","2.765","2.68999999999999","2.61500000000001","2.54","2.79750000000005","3.05500000000007","3.3125000000001","3.57","3.57","3.57","3.57","3.57","3.57","3.57","3.57","3.57","3.57","",
"Albania","ALB","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.8","2.842804","2.842804","2.842804","2.842804","2.86531999442772","2.88783598885545","2.91035198328317","2.93286797771089","2.95538397213861","2.97789996656633","3.00041596099406","3.02293195542178","3.04544794984951","3.06796394427722","3.09047993870495","3.11299593313267","3.13551192756039","3.15802792198812","3.18054391641584","3.15239245048183","3.12424098454782","3.57259165362544","3.30333022302158","3.30333022302158","3.30333022302158","",
"Andorra","AND","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.3","3.04142857142864","2.78285714285715","2.52428571428576","2.26571428571436","2.00714285714287","1.74857142857148","1.49","1.54","2.05","2.45733358026392","2.86466716052782","3.14","3.01","3.12","2.78","2.44","2.44","2.44","2.44","2.44","2.44","2.44","",
"Arab World","ARB","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","3.89713846172831","3.85288109546655","3.76900664051928","3.90597936549612","3.50212638619377","3.17783501490533","3.32872407630082","3.40801819769254","3.59885836068007","3.84764748154938","3.04847743446872","3.09567961508202","3.52198734248085","4.19077941638864","4.32262858228561","4.67949954657227","4.2883217337989","4.47491571367021","4.41116406721668","4.60713909125462","4.59893424292348","4.37395777116596","4.71843131745312","4.95152049379161","4.99727811902426","4.69790867674076","4.37400870329692","4.1904891854889","5.1550033517438","5.14004646110891","5.16082296160645","5.1586647653398","5.07834479354","5.12761783522026","5.04918821325639","5.08065746639449","4.85363690073921","4.77867865989559","4.81408763114526","4.8245988152505","4.83265968373936","4.96624394499062","4.92767544456869","4.93365238769188","4.96470056235638","4.96646148445049","4.98403530011564","5.04136580457692","5.07955008330091","5.10397072779443","",
"United Arab Emirates","ARE","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Adjusted savings: education expenditure (% of GNI)","NY.ADJ.AEDU.GN.ZS","","","","","","","","","","","1.4","2.2587129","1.8","1.7","1.8","1.7","1","1.5","1.6","2","2.2","1.8973854","1.5","1.5","2.4","1.3","1.2","1.2","1.161534","1.1","1","2.1010855","3.1","3.6","4.1","3.4713688","3.5","3.1765508","3.94959671798092","4.44","4.6","4.92","4.3","3.74","3.3","3.48999999999999","3.68","3.86","4.25","4.81","4.52","4.86695621132771","5.21391242265534","5.2434063489762","5.10012910252492","5.2609217909595","5.05679088527757","4.99359832798671","4.99359832798671","4.99359832798671","",
