"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.205985334256","12.5493332143826","12.8877052744847","13.2263347774934","13.5755915831281","13.9243539706952","14.2660310520972","14.5962971181626","14.9552860566119","15.2810233296453","15.6312911024101","15.9812561302977","16.320474865037","16.6432428558172","16.9946949543723","17.3131682773135","17.6049500630141","","","","",
"Afghanistan","AFG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8","9.51","10.39","11.46","12.43","13.49","14.81","15.99","17.44","18.84","20.68","22.33","24.08","26.17","27.99","30.1","32.44","","","","",
"Africa Western and Central","AFW","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.90964640300417","5.06196096350256","5.24557929773397","5.40223734639705","5.62554249285137","5.85774153184073","6.09499446493502","6.33539757139376","6.62588701077031","6.90756668695701","7.2287555528149","7.55921110661372","7.92848122699368","8.29518563400425","8.70836872392952","9.15899826244474","9.62951109641276","","","","",
"Angola","AGO","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.27","37.96","38.49","39.24","39.94","40.75","41.39","41.91","42.58","43.32","44.1","44.8","45.36","46.15","46.67","47.36","48.05","","","","",
"Albania","ALB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8","42.7","45.23","47.62","50.53","53.25","55.57","58.14","60.75","63.24","65.23","67.81","69.96","71.78","73.98","75.37","77.42","","","","",
"Andorra","AND","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Arab World","ARB","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.7024969934552","74.944858542399","76.2580659438521","77.1204645424229","78.0944394052279","79.0620019628621","79.8516823469299","80.5705365032685","81.2108836772367","81.8096311688039","82.3681009091237","82.7832181221041","83.1200958063736","83.5331307614721","83.8973307800787","84.1715958810689","84.5107329364941","","","","",
"United Arab Emirates","ARE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.57","97","97.21","97.53","97.74","97.96","98.09","98.14","98.34","98.44","98.4","98.47","98.5","98.55","98.58","98.63","98.51","","","","",
"Argentina","ARG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.8","95.21","95.62","96.02","96.28","96.68","96.84","97.02","97.34","97.49","97.63","97.82","97.94","98.1","98.16","98.29","98.4","","","","",
"Armenia","ARM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.97","83.79","85.48","86.88","88.6","89.72","90.91","91.67","92.55","93.33","94.04","94.77","95.1","95.69","96.12","96.62","96.9","","","","",
"American Samoa","ASM","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96.66","96.97","97.2","97.4","97.57","97.7","97.9","98.03","98.1","98.24","98.34","98.43","98.48","98.55","98.61","98.67","98.75","","","","",
"Australia","AUS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Austria","AUT","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Azerbaijan","AZE","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.19","76.11","78.64","80.9","83.01","84.79","86.11","87.67","89.21","90.38","91.38","92.25","92.96","93.71","94.44","95.1","95.54","","","","",
"Burundi","BDI","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.619999999999998","0.619999999999998","0.629999999999997","0.639999999999996","0.649999999999995","0.670000000000004","0.670000000000004","0.690000000000002","0.700000000000001","0.690000000000002","0.719999999999998","0.760000000000005","0.770000000000004","0.770000000000004","0.81","0.829999999999997","0.849999999999995","","","","",
"Belgium","BEL","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Benin","BEN","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.83","2.06","2.28","2.58","2.89","3.24","3.49","3.91","4.19","4.46","4.78","4.99000000000001","5.34","5.58","5.85","6.06","6.44","","","","",
"Burkina Faso","BFA","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.83","3.06","3.35","3.57","3.85","4.21","4.48","4.8","5.16","5.51","6.01","6.43","6.82","7.33","7.88","8.46","8.93000000000001","","","","",
"Bangladesh","BGD","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.24","7.78","8.16","8.73","9.2","9.74","10.36","10.92","11.59","12.2","12.9","13.63","14.33","15.06","15.96","16.68","17.72","","","","",
"Bulgaria","BGR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.96","68.7","72.09","75.09","77.62","79.75","81.48","83","84.2","85.22","86.04","86.7","87.27","87.71","88.11","88.42","88.65","","","","",
"Bahrain","BHR","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Bahamas, The","BHS","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","","","",
"Bosnia and Herzegovina","BIH","Access to clean fuels and technologies for cooking (% of population)","EG.CFT.ACCS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.07","39.56","41.48","42.57","44.63","45.7","47.63","49.34","50.79","52.48","54.24","55.89","57.44","58.82","60.38","62.22","63.38","","","","",
