"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","57.51533742","","","","","67.6565168186212","","","","","81.1070523954405","","","","","95.0315846832682","","","","","83.508072780126","","","","","80.49730634014","","","","","80.9609710702255","","","","","80.2077037483513","","","","","84.5158197569854","","","","","83.3161624365592","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.00004213","","","","","98.85164512","","","","","98.66544157","","","","","98.43110659","","","","","98.1696273","","","","","98.1696273","","","","","98.1696273","","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","54.72790428","","","","","59.1839698","","","","","79.6894228973715","","","","","76.7230331402722","","","","","72.4861981320662","","","","","69.9101052183183","","","","","67.1915225873291","","","","","64.2329493843054","","","","","64.6008919532788","","","","","64.7905460055538","","","",
"Angola","AGO","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.04166667","","","","","56.37202698","","","","","40.72657744","","","","","27.70393928","","","","","20.78492491","","","","","20.78492491","","","","","20.78492491","","","",
"Albania","ALB","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.33806482","","","","","57.74366288","","","","","52.86449565","","","","","41.89142298","","","","","50.12590033","","","","","63.74137202","","","",
"Andorra","AND","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.2697615298626","","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","76.50163358","","","","","71.12406631","","","","","68.0668667","","","","","72.3858822","","","","","81.53236569","","","","","82.84142071","","","","","82.84142071","","","","","82.84142071","","","",
"Argentina","ARG","Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)","ER.H2O.FWAG.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.36884722","","","","","71.36175073","","","","","72.895539","","","","","73.92800424","","","","","73.92800424","","","",
