"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","33.4675357873","","","","","23.8380197236699","","","","","13.199749404724","","","","","3.50159564441778","","","","","11.4151877188567","","","","","14.6716618454007","","","","","14.5891246918255","","","","","15.4090409950044","","","","","12.1244493994303","","","","","10.6899999336305","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9999578723","","","","","0.9376881711","","","","","0.8595542529","","","","","0.8557600407","","","","","0.9983851096","","","","","0.9983851096","","","","","0.9983851096","","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","32.9023543034","","","","","29.4758240163","","","","","14.9343352972362","","","","","16.2427799842246","","","","","18.9003271242177","","","","","20.7075506618233","","","","","23.056409948471","","","","","25.5194334758656","","","","","25.6106903765145","","","","","25.545245208716","","","",
"Angola","AGO","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9583333333","","","","","25.0763223287","","","","","33.9196940727","","","","","41.3128919024","","","","","45.2677812411","","","","","45.2677812411","","","","","45.2677812411","","","",
"Albania","ALB","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0600223056","","","","","29.0312207262","","","","","33.3565828082","","","","","39.8283965805","","","","","30.4829386225","","","","","19.9323848429","","","",
"Andorra","AND","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6057768922459","","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","14.3691882383","","","","","19.5481872837","","","","","22.4924989284","","","","","20.8338141475","","","","","16.1161171517","","","","","15.4327163582","","","","","15.4327163582","","","","","15.4327163582","","","",
"Argentina","ARG","Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)","ER.H2O.FWDM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.0963136586","","","","","16.1197727228","","","","","15.7400156617","","","","","15.4843832716","","","","","15.4843832716","","","",
