"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","9.0171267894","","","","","8.50546345854807","","","","","5.69319819766387","","","","","1.29576320433839","","","","","5.07720789380213","","","","","4.83103181642724","","","","","4.45028642503346","","","","","4.38267098533798","","","","","3.35973084337378","","","","","5.99383762930368","","","",
"Afghanistan","AFG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0.2106667074","","","","","0.4750041779","","","","","0.7131333673","","","","","0.8319875914","","","","","0.8319875914","","","","","0.8319875914","","","",
"Africa Western and Central","AFW","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","12.3697414126","","","","","11.3402061856","","","","","5.37624180303032","","","","","7.03418687414874","","","","","8.6133634299817","","","","","9.38216538159333","","","","","9.75206746320701","","","","","10.2476171388734","","","","","9.78666724225002","","","","","9.66420878517127","","","",
"Angola","AGO","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","10","","","","","18.5516506922","","","","","25.3537284895","","","","","30.9831688218","","","","","33.9472938509","","","","","33.9472938509","","","","","33.9472938509","","","",
"Albania","ALB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.601912873","","","","","13.2251163961","","","","","13.778921545","","","","","18.2801804359","","","","","19.3911610437","","","","","16.3262431328","","","",
"Andorra","AND","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.12446157764252","","","",
"United Arab Emirates","ARE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","9.1291781855","","","","","9.3277464019","","","","","9.4406343763","","","","","6.7803036547","","","","","2.3515171579","","","","","1.7258629315","","","","","1.7258629315","","","","","1.7258629315","","","",
"Argentina","ARG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5348391221","","","","","12.5184765493","","","","","11.3644453361","","","","","10.5876124934","","","","","10.5876124934","","","",
"Armenia","ARM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.1629267387","","","","","4.4190608054","","","","","4.8891250443","","","","","7.8952737164","","","","","4.2710586922","","","",
"American Samoa","ASM","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.293398533","","","","","20.8502024291","","","","","21.2435233161","","","","","21.5384615385","","","","","21.7391304348","","","","","21.7391304348","","","",
"Australia","AUS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7472902233","","","","","15.0808884014","","","","","16.7800736625","","","","","16.0807055697","","","",
"Austria","AUT","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","78.1091806217","","","","","76.5898788249","","","","","78.4955921286","","","","","78.4007025054","","","","","79.0907313076","","","","","79.5102087919","","","","","77.1741931789","","","","","77.1741931789","","","",
"Azerbaijan","AZE","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2868781632","","","","","23.2061947115","","","","","28.5858916714","","","","","25.1670741646","","","","","25.9732664996","","","","","23.9563121988","","","",
"Burundi","BDI","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","3.7946428571","","","","","5.3459119497","","","","","5.6874034546","","","","","5.3552302749","","","","","5.3552302749","","","","","5.3552302749","","","",
"Belgium","BEL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","85.7454179914","","","","","87.6850071961","","","","","89.7444742345","","","","","88.4265279584","","","","","88.5129118433","","","","","87.6586299519","","","","","84.7617140569","","","","","80.3705558338","","","",
"Benin","BEN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.105403937","","","","","14.9986957656","","","","","18.3063511831","","","","","21.6271884655","","","","","16.4576802508","","","","","13.2827324478","","","","","12.8205128205","","","",
"Burkina Faso","BFA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","0","","","","","1.0588235294","","","","","2.4239380402","","","","","2.6528117359","","","","","2.6528117359","","","","","2.6528117359","","","",
"Bangladesh","BGD","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1466406468","","","","","2.1466406468","","","",
"Bulgaria","BGR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2336212153","","","","","62.0452265889","","","","","72.4844437699","","","","","72.4844437699","","","","","66.7891513561","","","","","69.6651055934","","","",
"Bahrain","BHR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.447200567","","","","","4.9474895346","","","","","5.5144820388","","","","","5.2013661591","","","","","4.6870215651","","","","","3.2458563536","","","",
"Bahamas, The","BHS","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.9221967963","","","","","29.3791325787","","","","","29.9123447772","","","","","31.545412498","","","","","31.7108088762","","","",
"Belize","BLZ","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","23.0038882358","","","","","21.707458355","","","","","20.9900990099","","","","","20.9900990099","","","","","20.9900990099","","","","","20.9900990099","","","",
"Bermuda","BMU","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","3.5898573224","","","","","2.6366001735","","","","","2.0789421808","","","","","1.6746143467","","","","","1.5325670498","","","","","1.5325670498","","","",
"Brazil","BRA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0467475992","","","","","17.7143863356","","","","","17.3225184709","","","","","18.7115687116","","","","","14.480595606","","","",
"Barbados","BRB","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6543209877","","","","","7.6543209877","","","","","7.6543209877","","","","","7.6543209877","","","","","7.6543209877","","","",
"Brunei Darussalam","BRN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8875739645","","","","","0.8875739645","","","",
"Botswana","BWA","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.3539823009","","","","","18.6384747006","","","","","18.4605780177","","","","","18.2188119407","","","","","18.6824498199","","","","","12.1243523316","","","",
"Central African Republic","CAF","Annual freshwater withdrawals, industry (% of total freshwater withdrawal)","ER.H2O.FWIN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.618556701","","","","","17.893870835","","","","","16.9397389614","","","","","16.5890570431","","","","","16.5517241379","","","","","16.5517241379","","","","","16.5517241379","","","",
