"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.06721","26.9492","28.2486","26.13369","28.99817","","26.70415","26.73218","","","","","","","24.32748","24.23744","26.21662","23.84105","27.52589","","","","",
"Africa Eastern and Southern","AFE","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","26.53717","","","","36.81436","","","","43.59369","47.29202","42.30996","42.82383","44.01152","","","","","","","","","","","","","","","","","","","","","","","","","","","62.13647","61.97491","59.11301","60.00801","59.1065","56.69549","43.30205","44.1906","","","",
"Africa Western and Central","AFW","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.11833","50.00324","43.547835","48.44996","47.133055","45.07309","46.70011","43.20938","43.14119","","","","","","",
"Angola","AGO","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.49876","31.43351","","","","","","","","","","","","","","",
"Albania","ALB","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.80033","","","","","","","","","","","","","","","","","","","","","56.76693","","57.60767","","","",
"Andorra","AND","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.13887","","29.27523","24.13593","23.76173","25.64062","","26.37233","28.89524","28.80875","","32.14382","22.28986","22.07571","21.50379","22.04794","21.42039","","",
"Arab World","ARB","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","28","","27.69517","31.71021","32.3764","25.97148","25.0985","40.324","40.54391","41.44551","40.55377","","42.27821","39.95483","39.06241","5.1061","5.04961","4.7429","","2.96848","3.26374","","","","","","38.74074","","35.07048","36.34503","35.69129","37.91883","35.4339","38.0148","36.69546","34.19573","35.04241","35.47537","35.11319","32.80265","33.05494","31.96866","31.79885","30.03234","30.06039","30.04134","30.07402","29.59458","","","",
"Armenia","ARM","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.67795","20.11078","","19.3593","20.66574","19.37351","","","",
"American Samoa","ASM","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","85.06311","90.17017","70.5559","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.10893","","","28.55169","","","","","","","41.61324","","","","","","","","","","","",
"Australia","AUS","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.32973","31.1816","30.9417","29.28808","","","","34.06792","","","","","34.62461","34.96822","35.14115","35.42323","35.9633","36.80703","35.97164","34.14038","32.81864","32.62542","31.78434","32.99107","","","","",
"Austria","AUT","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","29.5366","28.78403","26.95643","24.36956","24.33579","23.29126","19.71989","19.75428","19.22727","18.49873","17.77629","15.86493","16.11188","15.14402","17.30624","17.48344","16.96239","17.57817","17.79489","17.98538","18.12517","18.19999","18.55665","18.39869","","21.55519","20.9069","","19.40117","19.38196","19.6978","19.63966","19.79905","19.72309","18.95076","18.99533","18.56855","18.03007","17.83971","17.42743","17.13281","17.09498","15.49043","16.30241","16.29671","16.56793","16.60016","","","","",
"Azerbaijan","AZE","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Burundi","BDI","Expenditure on primary education (% of government expenditure on education)","SE.XPD.PRIM.ZS","","","","","","","","","","","","","","","","","","","","38.85003","","39.01914","","","","","","","","","45.72394","","44.17657","","42.13683","39.97287","41.53402","","","37.4676","37.78079","40.08182","42.86891","","50.65756","51.55736","","","51.78716","53.26733","45.41761","49.70045","43.99556","45.42999","","","","","","","",
