"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.99765","29.22213","27.69825","29.55082","28.01178","","28.42047","26.76837","","","","","","","31.29913","31.47156","34.43069","30.67691","33.24558","","","","",
"Africa Eastern and Southern","AFE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.29918","","","","","","","","","","",
"Afghanistan","AFG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","40.82087","","","","36.84718","","","","21.31231","21.50639","24.53649","22.49563","23.06347","","","","","","","","","","","","","","","","","","","","","","","","","","","26.69373","26.62432","25.39486","25.77935","25.39206","24.3563","21.83389","22.25369","","","",
"Africa Western and Central","AFW","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.90274","25.91333","28.34971","27.648255","28.48812","28.64948","26.11279","29.029405","","","","","","",
"Angola","AGO","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.21764","42.42431","","","","","","","","","","","","","","",
"Albania","ALB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.674","","","","","","","","","","","","","","","","","","","19.83156","","21.58166","25.36938","21.5625","","","",
"Andorra","AND","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.15862","","18.76191","20.61861","21.49304","24.6467","","26.12787","20.93461","21.35985","","35.24732","20.50635","24.91345","23.97025","24.76438","25.30678","","",
"Arab World","ARB","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Expenditure on secondary education (% of government expenditure on education)","SE.XPD.SECO.ZS","","","","","","","","","","","30.28571","","31.97026","33.01663","23.76396","30.86385","36.55797","29.68849","26.65889","28.08603","26.62529","","26.16797","27.6454","26.94889","37.82183","43.64731","42.37857","","45.12031","43.72448","","","","","","33.63842","","33.21242","36.90678","35.70325","36.62538","39.24177","37.2599","37.79909","41.68709","40.02116","39.24554","39.19364","40.77314","39.64997","40.47189","40.43839","41.52728","41.47732","41.33272","40.93612","39.5394","","","",
