"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6199998855591","","","16.1499996185303","","","",
"Africa Western and Central","AFW","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8400001525879","","","","","9.14999961853027","","15.8100004196167","","","13.8500003814697","","","","","","",
"Albania","ALB","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2299995422363","15.6099996566772","15.6000003814697","15.7600002288818","14.6000003814697","14.8299999237061","18.7999992370605","21.7800006866455","20.5","17.6499996185303","15.289999961853","10.3100004196167","8.93000030517578","",
"Andorra","AND","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.52999997138977","","","","","","","","","","3.90000009536743","","","","","","","","","","","","3.70000004768372","","","",
"Argentina","ARG","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.1599998474121","17.9400005340576","15.5299997329712","12.8199996948242","11.8500003814697","","8.34000015258789","9.27999973297119","9.03999996185303","8.27999973297119","8.52999973297119","8.25","8.31999969482422","","","9.13000011444092","10.6899995803833","11.2299995422363","",
"Armenia","ARM","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.8299999237061","23.5599994659424","19.0499992370605","19.3299999237061","18.1599998474121","17.1800003051758","16.0900001525879","18.0100002288818","18.8400001525879","18.2299995422363","17.6800003051758","19.9200000762939","19.4300003051758","",
"American Samoa","ASM","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7199993133545","","8.48999977111816","7.23999977111816","","6.42000007629395","6.19000005722046","5.69000005722046","5.44000005722046","5.09000015258789","4.32000017166138","5.1100001335144","3.78999996185303","3.80999994277954","5.78000020980835","5.15999984741211","4.8600001335144","5.21000003814697","5.88000011444092","","","","","","","",
"Austria","AUT","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.98000001907349","","","","4.71999979019165","4.34999990463257","4.15999984741211","3.60999989509583","4.73999977111816","4.23000001907349","5.01999998092651","4.8600001335144","4.5","4.09000015258789","3.55999994277954","4.63000011444092","4.3600001335144","3.98000001907349","4.40999984741211","4.73000001907349","5.03000020980835","5.44000005722046","5.76999998092651","5.05000019073486","4.23999977111816","3.94000005722046","",
"Azerbaijan","AZE","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.96999979019165","6.25","5.03999996185303","4.55000019073486","4.32999992370605","4.44999980926514","","","","","","","","",
"Burundi","BDI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7000007629395","","","","","","",
"Belgium","BEL","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.0600004196167","8.3100004196167","6.78000020980835","5.01999998092651","6.53999996185303","7.98999977111816","7.38000011444092","8.51000022888184","8.10999965667725","7.59000015258789","6.94000005722046","8.06999969482422","8.13000011444092","6.76999998092651","7.75","8.21000003814697","8.78999996185303","8.69999980926514","8.03999996185303","7.1100001335144","5.94999980926514","5.30000019073486","",
"Benin","BEN","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05000019073486","","","","","","","","","",
"Burkina Faso","BFA","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.86999988555908","","","","8.71000003814697","","",
"Bangladesh","BGD","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.78999996185303","","","","6.55999994277954","","","6.98000001907349","","","9.71000003814697","8.47999954223633","","","",
"Bulgaria","BGR","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.8199996948242","19.3600006103516","17.6700000762939","12.5","11.25","9.22000026702881","7.69000005722046","5.76000022888184","4.51000022888184","6.15999984741211","9.6899995803833","10.460000038147","11.6700000762939","12.3299999237061","10.6499996185303","8.32999992370605","6.71999979019165","5.26000022888184","4.51000022888184","3.39000010490417","",
"Bahrain","BHR","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.58000004291534","1.53999996185303","","","","","","","","",
"Bahamas, The","BHS","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9599990844727","30.0400009155273","24.5200004577637","25.0499992370605","28.6399993896484","29.1200008392334","29.7399997711182","29.2399997711182","28.0699996948242","29.2000007629395","26.1800003051758","21.6900005340576","18.8999996185303","16.3799991607666","",
"Belarus","BLR","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.15999984741211","","","","",
"Belize","BLZ","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7399997711182","","","","","","","13.6499996185303","10.6700000762939","9.80000019073486","9.77000045776367","9.39000034332275","9.60000038146973","","","",
"Bermuda","BMU","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.13000011444092","","","","","","","","","5.42000007629395","5.01000022888184","","5.63000011444092","","","","","","","","",
"Bolivia","BOL","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.13000011444092","","8.98999977111816","7.21000003814697","","","8.23999977111816","8.8100004196167","10.4499998092651","4.48999977111816","3.76999998092651","","3.65000009536743","2.99000000953674","2.86999988555908","3.09999990463257","4.59000015258789","4.84999990463257","5.01000022888184","5.03000020980835","5.17999982833862","",
"Brazil","BRA","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.19000005722046","6.71999979019165","8.18000030517578","9.38000011444092","10.8299999237061","","10.0500001907349","10.6599998474121","11.0900001525879","10.4700002670288","10.8199996948242","9.93000030517578","9.86999988555908","8.72999954223633","9.97000026702881","","7.90999984741211","4.15000009536743","4.26000022888184","4.01000022888184","7.3600001335144","13.460000038147","14.5799999237061","14.1099996566772","13.6700000762939","",
"Barbados","BRB","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6300001144409","10.8599996566772","10.0699996948242","9.01000022888184","9.78999996185303","",
"Brunei Darussalam","BRN","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.59000015258789","","","9.85999965667725","8.71000003814697","6.86999988555908","",
"Bhutan","BTN","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0100002288818","8.8100004196167","","7.26999998092651","7.28999996185303","","","","","","","",
"Botswana","BWA","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.6400003433228","24.9500007629395","","","","","","","","","26.0599994659424","",
"Central African Republic","CAF","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.76000022888184","10.2200002670288","10.8900003433228","11.5600004196167","10.1800003051758","9.60000038146973","9.76000022888184","9.17000007629395","8.57999992370605","7.78000020980835","7.01000022888184","7.21999979019165","7.82999992370605","7.73999977111816","7.44000005722046","7.13000011444092","6.53000020980835","6.3600001335144","6.57000017166138","9.40999984741211","9.0600004196167","8.47000026702881","8.22000026702881","8.23999977111816","8.06999969482422","8.32999992370605","8.28999996185303","7.44000005722046","6.96000003814697","7.15999984741211","12.8299999237061",
"Central Europe and the Baltics","CEB","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.90101528846742","11.5232818614431","14.7547841673633","16.4609778978916","17.0900146826767","16.1337936249399","15.7356033833963","14.6629626619286","11.4920558375529","8.38419210044291","6.81405138142334","9.4423403719324","11.4215062234978","10.9258603809712","11.1655419009988","11.2992329812125","10.1934293962272","8.93393630827599","7.45703854647965","6.16601471665858","4.96918867475581","4.20470739956767","",
"Switzerland","CHE","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8400000333786","2.53999996185303","3.89000010490417","3.72000002861023","3","","","3.16000008583069","2.70000004768372","2.41000008583069","2.04999995231628","2.6800000667572","3.73000001907349","3.98000001907349","4.01999998092651","3.8199999332428","3.44000005722046","3.34999990463257","3.89000010490417","4.78000020980835","4.09999990463257","4.36999988555908","4.57999992370605","4.67000007629395","4.48999977111816","4.82999992370605","4.61999988555908","4.71000003814697","4.3600001335144","",
"Channel Islands","CHI","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.61999988555908","","10.4899997711182","","","10.8400001525879","","","7.13000011444092","8.51000022888184","","12.0799999237061","9.47000026702881","8.43000030517578","7.57999992370605","7.01000022888184","7.44999980926514","7.34000015258789","7.6399998664856","7.59999990463257","7.84000015258789","8.15999984741211","",
"China","CHN","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8600006103516","12.1599998474121","","","5.73999977111816","6.40000009536743","","","",
"Cameroon","CMR","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.21000003814697","","","","","","","7.44999980926514","","","","","","",
"Congo, Dem. Rep.","COD","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.53000020980835","","","","","","","6.67000007629395","","","","","","","","",
"Congo, Rep.","COG","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.4400005340576","","","","","","","","","","","","","","","",
"Colombia","COL","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.7000007629395","19.3600006103516","18.0400009155273","15.6700000762939","14.2799997329712","13.8999996185303","13.9099998474121","14.6099996566772","13.8900003433228","13.0200004577637","12.0100002288818","11.2600002288818","10.4300003051758","9.82999992370605","9.98999977111816","10.6899995803833","10.75","11.6300001144409","",
"Comoros","COM","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5600004196167","","","","","","","","","","9.06999969482422","","","","","","",
"Cabo Verde","CPV","Unemployment with intermediate education (% of total labor force with intermediate education)","SL.UEM.INTM.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.1800003051758","","15.8199996948242","16.5300006866455","13.6300001144409","",
